// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.99847,24.1033,0.998804
1,shared,1,0.998581,16.8381,0.998134
2,individual,2,0.994072,35.4355,0.990118
3,shared,1,0.998935,13.1379,0.998894
4,shared,0,0.99859,28.5771,0.998143
5,shared,1,0.998581,48.6029,0.998134
6,individual,6,0.998229,18.2407,0.998582
7,individual,7,0.998462,16.8481,0.998136
8,shared,0,0.99859,40.3079,0.998143
9,individual,9,0.992369,16.9215,0.989379
10,shared,0,0.998544,14.6843,0.998133
11,individual,11,0.998462,11.1429,0.998136
12,individual,12,0.99243,18.9924,0.989397
13,individual,13,0.99849,16.2548,0.998116
14,shared,0,0.998544,23.5447,0.998133
15,individual,15,0.992659,11.1947,0.989021
16,shared,0,0.998712,21.5514,0.998733
17,individual,17,0.99849,44.209,0.998116
18,individual,18,0.99091,15.11,0.987283
19,shared,1,0.998813,16.7146,0.998756
20,shared,0,0.998751,28.6288,0.998549
21,individual,21,0.989195,12.7481,0.981624
22,individual,22,0.998233,13.8792,0.998582
23,shared,1,0.998897,15.1512,0.998531
