// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0118836,0.013201,-0.011437,-0.449383,0.0598259,27,30,33,0.998333,0.00522306,66.5007,0.998333,0.000485947
1,0,-0.00364808,0.00656872,-0.00935862,1.38568,0.0556876,24,27,30,0.99611,0.0040944,23.0351,0.99611,0.00055446
2,0,-0.0188133,0.0140941,-0.003428,0.0727948,0.0607886,24,27,30,0.979237,0.00313231,48.4577,0.979237,0.000487831
3,0,-0.00712141,-0.00802383,0.00626062,-0.979179,0.0594013,27,30,33,0.998304,0.00364398,13.8466,0.998304,0.000786185
4,0,0.0191059,-0.0153295,0.00977969,-0.445867,0.0552588,24,27,30,0.996109,0.00285673,33.1617,0.996109,0.000471769
5,0,0.014805,-0.00747083,-0.00200314,0.333284,0.0603496,24,27,30,0.99611,0.00285729,9.26188,0.99611,0.000914947
6,0,-0.00844177,-0.00622291,0.00811044,-0.972995,0.0589798,28,31,34,0.998274,0.0038097,13.3728,0.998274,0.00082714
7,0,0.0179182,-0.0100103,-0.00250576,-0.975045,0.0548335,25,28,31,0.996109,0.00284745,39.6628,0.996109,0.000463738
8,0,-0.0118102,0.0065538,0.00147752,-0.450845,0.0599139,25,28,31,0.996109,0.00334965,7.25409,0.996109,0.000989961
9,0,0.0196857,-0.0110152,-0.0017267,-0.712156,0.0585614,29,32,35,0.985057,0.00375675,20.399,0.985057,0.000785961
10,0,0.00590519,-0.0112555,0.00724042,0.0777059,0.0544114,25,28,31,0.996108,0.00382354,31.5922,0.996108,0.000504032
11,0,-0.00846626,0.0128268,-0.00415733,1.11541,0.0594814,26,29,32,0.996109,0.00396925,34.9951,0.996109,0.000536468
12,0,-0.0145119,0.0150297,-0.0094101,-0.449409,0.058146,29,32,35,0.985057,0.00530825,59.0808,0.985057,0.000538592
13,0,0.00722776,-0.0104739,0.0101931,0.338277,0.0539927,26,29,32,0.996108,0.00449726,42.8159,0.996108,0.000473803
14,0,0.0193547,-0.0114989,-0.00156509,-0.974486,0.059052,26,29,32,0.996108,0.00334041,34.1455,0.996108,0.000582798
15,0,-0.0024648,-0.0113093,0.00265791,-0.980007,0.0577336,30,33,36,0.984252,0.0045387,17.3269,0.984252,0.000747493
16,0,0.018616,-0.0138891,0.00597798,-0.445919,0.0535772,27,30,33,0.998333,0.00271749,18.5276,0.998333,0.000645849
17,0,-0.011164,0.00206758,0.00673714,-0.714169,0.0586258,27,30,33,0.996108,0.00394074,11.4327,0.996108,0.000897541
18,0,0.00401986,0.0102971,-0.00551125,0.0741753,0.0573242,30,33,36,0.984252,0.00475124,15.4356,0.984252,0.000802444
19,0,0.017378,-0.005662,-0.00602445,-0.975837,0.053165,27,30,33,0.998304,0.0028983,28.541,0.998304,0.000533968
20,0,-0.00800125,0.00123884,0.00644801,-0.450932,0.0582028,27,30,33,0.997455,0.00468911,10.2986,0.997455,0.000936134
21,0,-0.018194,0.00648375,0.00625286,0.33489,0.0569178,31,34,37,0.962078,0.00418241,18.0175,0.962078,0.000840169
22,0,-0.00940236,0.0126845,-0.00354823,1.12485,0.0527561,28,31,34,0.998274,0.00434953,41.9352,0.998274,0.000474117
23,0,-0.0120865,0.0127957,0.000385635,1.11911,0.0577828,28,31,34,0.997409,0.00443435,49.9705,0.997409,0.000494971
0,1,-0.00759095,-0.000334911,0.00468468,-0.374727,0.0598293,27,30,33,0.998482,0.00378365,32.9665,0.998482,0.000634344
1,1,-0.0128846,0.0059025,0.000682503,1.46236,0.055691,24,27,30,0.996389,0.00349192,60.213,0.996389,0.000397175
2,1,-0.00266503,-0.00453194,0.0038952,0.146068,0.0607919,24,27,30,0.979884,0.00328673,39.5798,0.979884,0.000507049
3,1,0.0129259,-0.00172015,-0.00300953,-0.910834,0.0594047,27,30,33,0.998453,0.00493762,167.853,0.998453,0.000315201
4,1,-0.00115677,0.00437546,-0.00556478,-0.368128,0.0552622,24,27,30,0.996389,0.00450951,38.9334,0.996389,0.000484647
5,1,-0.0121431,0.00940675,-0.00363928,0.40523,0.060353,24,27,30,0.996389,0.00574716,260.972,0.996389,0.000275424
6,1,0.0132629,-0.00288353,-0.00329714,-0.898354,0.0589832,28,31,34,0.998424,0.00540187,164.541,0.998424,0.000330902
7,1,-0.00156355,0.00646166,-0.00172944,-0.902909,0.0548369,25,28,31,0.996388,0.00358836,54.9572,0.996388,0.000389155
8,1,0.0139948,-0.0100333,0.00421123,-0.377611,0.0599173,25,28,31,0.996389,0.00615895,316.523,0.996389,0.000261255
9,1,-0.00864276,0.00894068,-0.00204113,-0.638493,0.0585647,29,32,35,0.985168,0.00646041,106.127,0.985168,0.000415331
10,1,0.0102002,-0.000169067,-0.00366735,0.155418,0.0544148,25,28,31,0.996388,0.00330536,60.0963,0.996388,0.000396335
11,1,-0.00950033,-0.00182474,0.00319655,1.184,0.0594848,25,28,31,0.996388,0.0030852,51.9779,0.996388,0.000454399
12,1,-0.00226936,-0.00502359,0.00563419,-0.374781,0.0581493,29,32,35,0.985168,0.00501911,39.7272,0.985168,0.000615723
13,1,0.00970208,-0.00151019,-0.00370095,0.414756,0.053996,26,29,32,0.996387,0.00344113,44.8168,0.996387,0.000470632
14,1,-0.00299072,0.00730634,-0.00219266,-0.901298,0.0590554,26,29,32,0.996388,0.0044602,56.2738,0.996388,0.000459073
15,1,0.0110074,0.00245174,-0.00223584,-0.9125,0.0577368,30,33,36,0.984327,0.00465236,90.687,0.984327,0.000401472
16,1,-0.00606653,0.00781158,-0.00564136,-0.368232,0.0535806,27,30,33,0.998482,0.00593008,85.165,0.998482,0.00038665
17,1,0.0138575,-0.00810002,0.000314254,-0.642481,0.0586292,27,30,33,0.996387,0.0059095,196.46,0.996387,0.000317938
18,1,-0.0114868,-0.00149301,0.00322425,0.148788,0.0573274,30,33,36,0.984327,0.00504583,87.2094,0.984327,0.000421766
19,1,-0.00635789,0.00680044,0.000767442,-0.904491,0.0531683,27,30,33,0.998453,0.00468591,97.2313,0.998453,0.000326451
20,1,0.0143916,-0.00812001,0.000637336,-0.377785,0.0582061,27,30,33,0.997549,0.00586713,118.186,0.997549,0.000388083
21,1,0.0118549,-0.00773373,-0.00125344,0.4084,0.0569209,31,34,37,0.963243,0.00732747,183.166,0.963243,0.000350096
22,1,-0.00603829,-0.00395143,0.00326475,1.20251,0.0527594,28,31,34,0.998424,0.00331257,47.5876,0.998424,0.000439276
23,1,-0.00467244,-0.00540547,0.00174243,1.19107,0.0577861,28,31,34,0.997495,0.00335288,45.142,0.997495,0.000491222
0,2,0.00714402,-0.00575366,0.00154095,-0.299728,0.059832,27,30,33,0.99859,0.00444048,257.743,0.99859,0.000225743
1,2,-0.000205644,-0.00301522,0.0025053,1.53903,0.0556932,24,27,30,0.996617,0.00265579,61.8613,0.996617,0.000297884
2,2,0.00753981,-0.00416776,-0.000184122,0.21973,0.0607943,24,27,30,0.980424,0.00316436,448.038,0.980424,0.000151058
3,2,0.000999917,0.0034839,2.37511e-05,-0.842241,0.0594074,27,30,33,0.998561,0.00226282,64.2585,0.998561,0.000314827
4,2,-0.00915657,0.00552241,-0.00135834,-0.290387,0.0552646,24,27,30,0.996616,0.00344152,393.786,0.996616,0.000156761
5,2,-0.00780612,0.0014115,0.0017392,0.477552,0.0603555,24,27,30,0.996617,0.00195975,60.0553,0.996617,0.000341775
6,2,0.000938768,0.00374103,-0.000375107,-0.823371,0.0589859,28,31,34,0.998532,0.00251684,62.8975,0.998532,0.000333408
7,2,-0.0078741,0.00221401,0.00113028,-0.830795,0.0548393,25,28,31,0.996616,0.00274335,438.156,0.996616,0.000131923
8,2,0.00616643,-0.000600302,-0.00213264,-0.303986,0.0599199,25,28,31,0.996616,0.00202454,44.3509,0.996616,0.000398024
9,2,-0.00803397,0.000332922,0.00222235,-0.564501,0.0585674,29,32,35,0.985262,0.0028906,89.1483,0.985262,0.000322707
10,2,-0.00285545,0.0040959,-0.000440816,0.233131,0.0544173,25,28,31,0.996615,0.0028926,107.943,0.996615,0.000229168
11,2,0.00381046,-0.00383318,-0.000268521,1.2529,0.0594875,25,28,31,0.996616,0.00300733,129.134,0.996616,0.000232627
12,2,0.00932793,-0.00467606,-0.000599508,-0.29981,0.0581519,29,32,35,0.985262,0.00462222,349.857,0.985262,0.000208965
13,2,-0.00424538,0.00484434,-0.00160356,0.491231,0.0539986,26,29,32,0.996615,0.00356317,137.971,0.996615,0.000230379
14,2,-0.00875034,0.00216307,0.00139988,-0.827722,0.0590581,26,29,32,0.996615,0.0030873,292.713,0.996615,0.000184189
15,2,-0.00339043,0.00321666,0.0010175,-0.84475,0.0577395,30,33,36,0.984383,0.00324687,103.645,0.984383,0.000268381
16,2,-0.0089643,0.00349104,0.000861267,-0.290543,0.0535831,27,30,33,0.99859,0.00300605,122.961,0.99859,0.000249362
17,2,0.00384317,0.0020004,-0.00243816,-0.570419,0.0586319,27,30,33,0.996615,0.00235812,52.3628,0.996615,0.000374087
18,2,0.00352438,-0.00378388,-0.000930715,0.223742,0.05733,30,33,36,0.984383,0.00357621,106.106,0.984383,0.000281445
19,2,-0.00732963,-0.000341556,0.00124317,-0.833165,0.0531709,27,30,33,0.998561,0.00242134,160.713,0.998561,0.000196016
20,2,0.00153742,0.0029193,-0.00292496,-0.304247,0.0582088,27,30,33,0.997632,0.00307838,53.5725,0.997632,0.000389279
21,2,0.0045324,0.00274786,-0.00190127,0.482239,0.0569234,31,34,37,0.964271,0.00267332,60.8764,0.964271,0.000375438
22,2,0.0062952,-0.00349519,-0.000943926,1.28017,0.0527619,28,31,34,0.998532,0.00354671,301.512,0.998532,0.000163564
23,2,0.00704325,-0.00254548,-0.00121535,1.26305,0.0577888,28,31,34,0.997571,0.00356244,379.028,0.997571,0.000163973
0,3,0.00157842,0.00099441,-0.000752219,-0.224454,0.0598341,27,30,33,0.998669,0.00118946,98.3836,0.998669,0.000175394
1,3,0.00392261,-0.000996061,-0.000394529,-0.478693,0.0556944,23,26,29,0.996806,0.000937879,239.698,0.996806,9.47049e-05
2,3,0.00148355,0.00084138,-0.000278813,0.293714,0.0607956,23,26,29,0.980883,0.00083942,99.662,0.980883,0.000137114
3,3,-0.003217,-0.000366322,0.000206502,-0.773453,0.0594096,27,30,33,0.998641,0.000954804,268.835,0.998641,9.17251e-05
4,3,-0.00024107,-0.00120574,0.000768733,-0.212647,0.0552661,24,27,30,0.996805,0.00136157,119.264,0.996805,0.000135341
5,3,0.00310565,-0.00176823,6.15585e-05,0.550185,0.0603572,24,27,30,0.996806,0.00163072,632.066,0.996806,6.88895e-05
6,3,-0.0033488,-0.00035883,0.000314257,-0.748114,0.0589881,28,31,34,0.998612,0.00101637,241.965,0.998612,0.000104901
7,3,0.000150389,-0.00103362,-4.53048e-05,-0.758707,0.054841,25,28,31,0.996805,0.00103948,139.437,0.996805,9.96622e-05
8,3,-0.00402187,0.00192466,-3.56788e-05,-0.230036,0.0599218,25,28,31,0.996805,0.0016586,748.174,0.996805,6.96322e-05
9,3,0.0034795,-0.00124014,-0.000413248,-0.490245,0.0585696,28,31,34,0.985343,0.00190246,787.972,0.985343,7.07504e-05
10,3,-0.00278358,-0.000368494,0.00035598,0.310841,0.0544191,25,28,31,0.996804,0.00063866,143.881,0.996804,0.000107835
11,3,0.00248837,0.000595485,-0.000195519,1.32205,0.0594894,25,28,31,0.996805,0.000587526,126.758,0.996805,0.000120482
12,3,-0.00125937,0.00182162,-0.000249359,-0.224562,0.0581541,29,32,35,0.985343,0.00191329,190.027,0.985343,0.000139881
13,3,-0.00260405,-0.000378877,0.000633871,-1.5267,0.0540004,26,29,32,0.996804,0.00077544,114.981,0.996804,0.000133024
14,3,0.00107569,-0.0012581,-9.70441e-05,-0.753825,0.0590602,26,29,32,0.996804,0.00139854,192.753,0.996804,0.000108168
15,3,-0.00168611,-0.000984899,-6.63264e-05,-0.77681,0.0577416,30,33,36,0.984425,0.000658981,114.204,0.984425,0.000130098
16,3,0.00236108,-0.00187195,0.000292629,-0.212855,0.053585,26,29,32,0.998669,0.00181874,389.964,0.998669,8.69196e-05
17,3,-0.00405324,0.000943352,0.000513012,-0.498046,0.058634,26,29,32,0.996804,0.00141498,439.488,0.996804,8.83719e-05
18,3,0.00164722,0.0011182,1.796e-05,0.29897,0.0573321,30,33,36,0.984425,0.000807281,118.78,0.984425,0.000140115
19,3,0.00220188,-0.000728098,-0.000275269,-0.761863,0.0531727,27,30,33,0.998641,0.00139942,436.613,0.998641,5.92646e-05
20,3,-0.00411902,0.00076607,0.000657282,-0.230385,0.0582109,27,30,33,0.997707,0.00125003,216.848,0.997707,0.000127078
21,3,-0.00380825,1.10579e-05,0.000597318,0.556339,0.0569255,31,34,37,0.965186,0.00159363,374.882,0.965186,0.000102844
22,3,0.000740725,0.00110563,-3.71912e-05,1.35783,0.0527637,28,31,34,0.998612,0.000953534,122.421,0.998612,0.000117235
23,3,0.000286946,0.00104756,0.000104209,1.33506,0.0577909,28,31,34,0.997639,0.00103107,119.397,0.997639,0.000124497
0,4,-0.0012619,0.000133484,0.00012308,-0.148953,0.0598358,27,30,33,0.998728,0.000411268,167.284,0.998728,3.22696e-05
1,4,-0.000299204,0.000318166,-4.02881e-05,-0.402034,0.0556944,23,26,29,0.996965,0.000483491,96.5606,0.996965,2.83155e-05
2,4,-0.00100517,9.32596e-05,7.02134e-05,0.367969,0.060796,23,26,29,0.981334,0.0003231,77.0416,0.981334,1.68775e-05
3,4,0.000551946,-0.000106533,-4.64337e-06,-0.70451,0.0594112,27,30,33,0.9987,0.00047132,65.0278,0.9987,1.66767e-05
4,4,0.00123893,-0.000184207,-0.000132561,-0.13491,0.0552665,24,27,30,0.996965,0.000269754,119.531,0.996965,3.21911e-05
5,4,0.000658743,0.000196562,-0.000126069,0.623082,0.0603579,24,27,30,0.996965,0.000326133,95.4714,0.996965,4.84167e-05
6,4,0.000679519,-0.000131037,-1.94332e-05,-0.672633,0.0589898,28,31,34,0.998671,0.000517404,92.8541,0.998671,1.62965e-05
