// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.998166,18.3245,0.99873
1,shared,1,0.998591,25.537,0.998137
2,individual,2,0.994082,27.6504,0.99012
3,shared,1,0.998687,12.0478,0.998882
4,shared,0,0.998595,13.5952,0.998145
5,shared,1,0.998591,15.5715,0.998137
6,individual,6,0.997977,10.1286,0.998545
7,individual,7,0.998421,21.815,0.998128
8,shared,0,0.998595,17.0935,0.998145
9,individual,9,0.992296,40.5886,0.989334
10,shared,0,0.998556,16.2897,0.998136
11,individual,11,0.998421,14.2543,0.998128
12,individual,12,0.992353,16.2354,0.989353
13,individual,13,0.998501,19.9599,0.998119
14,shared,0,0.998556,23.2155,0.998136
15,individual,15,0.992571,9.30612,0.989046
16,shared,0,0.998727,17.1178,0.998752
17,individual,17,0.998501,11.8402,0.998119
18,individual,18,0.990911,9.43629,0.987284
19,shared,1,0.998827,21.0398,0.998775
20,shared,0,0.998728,10.9842,0.998536
21,individual,21,0.989195,53.7574,0.981624
22,individual,22,0.998054,17.3326,0.998548
23,shared,1,0.998871,15.7902,0.998545
