// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998944,8.77757,0.998868
1,individual,1,0.998239,19.3806,0.997756
2,individual,2,0.99062,8.30626,0.986493
3,shared,1,0.998917,24.5069,0.998834
4,individual,4,0.998252,11.2269,0.997761
5,individual,5,0.998239,9.12093,0.997756
6,shared,0,0.998714,22.0022,0.998771
7,shared,1,0.998271,7.86142,0.997769
8,individual,8,0.998252,10.6658,0.997761
9,individual,9,0.989285,34.8321,0.986938
10,shared,0,0.998261,37.548,0.997765
11,shared,1,0.998271,15.2428,0.997769
12,individual,12,0.989289,8.76799,0.986933
13,individual,13,0.998258,11.7646,0.997764
14,shared,0,0.998261,11.7153,0.997765
15,individual,15,0.988873,16.9915,0.986173
16,shared,0,0.99877,22.6742,0.998824
17,individual,17,0.998258,16.3793,0.997764
18,individual,18,0.986494,13.3016,0.984845
19,shared,1,0.998774,10.5219,0.9988
20,shared,0,0.998692,20.3297,0.998309
21,individual,21,0.982389,49.2869,0.974831
22,shared,0,0.998714,29.009,0.998771
23,shared,1,0.998622,11.181,0.998213
