// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0123797,0.0132395,-0.0108762,-0.449382,0.0582085,27,30,33,0.998343,0.00494652,75.3849,0.998343,0.000442398
1,0,-0.00445029,0.00705939,-0.00925898,1.38568,0.0541843,24,27,30,0.996111,0.00396099,27.1276,0.996111,0.000496566
2,0,-0.0184999,0.0133641,-0.00275863,0.0727975,0.0591446,24,27,30,0.979242,0.00294371,46.331,0.979242,0.000470814
3,0,-0.00586937,-0.00833215,0.00569242,-0.979173,0.0577957,27,30,33,0.998315,0.00359825,14.7101,0.998315,0.000728885
4,0,0.0185816,-0.0147195,0.009009,-0.445867,0.0537674,24,27,30,0.996111,0.00259453,28.5446,0.996111,0.000474785
5,0,0.0135623,-0.00637862,-0.00259948,0.333288,0.0587178,24,27,30,0.996111,0.00286929,9.57085,0.996111,0.000858981
6,0,-0.00714445,-0.00674244,0.00760056,-0.972994,0.0573858,28,31,34,0.998285,0.00376478,14.0656,0.998285,0.00076923
7,0,0.0174051,-0.00914588,-0.00286056,-0.975045,0.0533537,25,28,31,0.99611,0.0026697,37.9228,0.99611,0.000446892
8,0,-0.0105165,0.00541777,0.00218155,-0.450842,0.0582941,25,28,31,0.996111,0.00340221,7.68,0.996111,0.000922554
9,0,0.0188524,-0.00991683,-0.00235931,-0.712157,0.0569789,29,32,35,0.985058,0.00357249,19.7739,0.985058,0.000754303
10,0,0.00661366,-0.0112211,0.00662401,0.077706,0.0529433,25,28,31,0.996109,0.00369289,35.5913,0.996109,0.000458896
11,0,-0.00908943,0.0125119,-0.00352732,1.1154,0.0578735,26,29,32,0.99611,0.00381857,39.8847,0.99611,0.000486559
12,0,-0.0148116,0.014706,-0.00857296,-0.449409,0.0565749,29,32,35,0.985058,0.00500221,59.2447,0.985058,0.000512038
13,0,0.00790742,-0.010667,0.00973587,0.338277,0.0525361,26,29,32,0.996109,0.00430361,49.6831,0.996109,0.00042721
14,0,0.0187997,-0.0105425,-0.00206814,-0.974484,0.057456,26,29,32,0.996109,0.00313153,32.59,0.996109,0.000561985
15,0,-0.00125233,-0.0112285,0.00204536,-0.980002,0.0561739,30,33,36,0.984253,0.0044442,18.9924,0.984253,0.00068583
16,0,0.0179054,-0.0130241,0.00509172,-0.445919,0.0521321,27,30,33,0.998343,0.0025433,17.3269,0.998343,0.000630968
17,0,-0.00984401,0.0010347,0.00700671,-0.714165,0.0570415,27,30,33,0.996109,0.00390017,12.0982,0.996109,0.000833349
18,0,0.00273501,0.0104529,-0.00481805,0.0741754,0.0557758,30,33,36,0.984253,0.00467771,16.7893,0.984253,0.000738486
19,0,0.0166408,-0.00473158,-0.00605245,-0.975837,0.0517313,27,30,33,0.998315,0.00271737,27.187,0.998315,0.000514674
20,0,-0.00666707,0.000176696,0.0068443,-0.450929,0.0566301,27,30,33,0.997466,0.00465227,11.2627,0.997466,0.000860032
21,0,-0.017149,0.00531124,0.00655589,0.334888,0.0553806,31,34,37,0.962085,0.00400484,17.6375,0.962085,0.000801804
22,0,-0.00993695,0.0122942,-0.00286198,1.12485,0.0513336,28,31,34,0.998285,0.00417529,47.1578,0.998285,0.000432661
23,0,-0.0124863,0.0121291,0.00090343,1.11913,0.0562217,28,31,34,0.99742,0.00422027,55.5735,0.99742,0.000453022
0,1,0.00614485,-0.000844607,-0.00154927,-0.374727,0.0582117,27,30,33,0.998493,0.00190407,110.19,0.998493,0.000235087
1,1,0.00592436,-0.00348702,0.000191602,1.46236,0.0541875,24,27,30,0.99639,0.00238046,563.285,0.99639,0.00010347
2,1,0.00542599,4.45966e-05,-0.00108339,0.146074,0.0591478,24,27,30,0.979888,0.0012379,110.811,0.979888,0.0001924
3,1,-0.005319,0.000961173,0.000820686,-0.910823,0.0577988,27,30,33,0.998465,0.0024226,640.139,0.998465,0.000100811
4,1,-0.00449419,0.00016205,0.0016597,-0.368128,0.0537706,24,27,30,0.99639,0.0014238,70.3206,0.99639,0.000237002
5,1,0.00137985,-0.00305184,0.00126858,0.405238,0.058721,24,27,30,0.99639,0.00230981,112.498,0.99639,0.000211476
6,1,-0.00563454,0.00127075,0.000991828,-0.898354,0.0573889,28,31,34,0.998436,0.00261282,613.049,0.998436,0.000109739
7,1,-0.00330073,-0.00158591,0.000567367,-0.902909,0.053357,25,28,31,0.996389,0.00112425,90.2992,0.996389,0.00018329
8,1,-0.00344023,0.00372142,-0.00147848,-0.377605,0.0582974,25,28,31,0.99639,0.00281604,196.076,0.99639,0.00018256
9,1,0.00200471,-0.0032456,0.000232375,-0.638495,0.056982,29,32,35,0.985168,0.0026845,126.78,0.985168,0.000216346
10,1,-0.0060401,0.00115504,0.00108564,0.155418,0.0529465,25,28,31,0.996389,0.00201102,384.277,0.996389,0.000112756
11,1,0.00587755,-0.000346309,-0.000880091,1.18399,0.0578767,25,28,31,0.996389,0.00182289,317.809,0.996389,0.000127839
12,1,0.00299741,0.0018658,-0.00168557,-0.374781,0.056578,29,32,35,0.985168,0.00192034,76.0104,0.985168,0.000275179
13,1,-0.00645619,0.00170587,0.00120768,0.414756,0.0525393,26,29,32,0.996388,0.00212147,226.669,0.996388,0.000151696
14,1,-0.00229155,-0.00206273,0.000595461,-0.901292,0.0574592,26,29,32,0.996389,0.00142504,80.462,0.996389,0.000223695
15,1,-0.00541916,-0.000963964,0.000404957,-0.912489,0.056177,30,33,36,0.984327,0.00219563,321.414,0.984327,0.00013541
16,1,-0.000567923,-0.00250682,0.00184741,-0.368232,0.0521353,27,30,33,0.998493,0.00219131,84.9296,0.998493,0.00022903
17,1,-0.00494794,0.00337829,4.39251e-05,-0.642473,0.0570447,27,30,33,0.996388,0.00288655,372.778,0.996388,0.00014108
18,1,0.0056123,0.00083496,-0.00069708,0.148788,0.0557788,30,33,36,0.984327,0.00232611,272.915,0.984327,0.00015271
19,1,0.000338604,-0.00241595,-0.000324667,-0.904491,0.0517344,27,30,33,0.998465,0.00172986,105.003,0.998465,0.000177052
20,1,-0.00625362,0.00355699,6.70762e-05,-0.377779,0.0566333,27,30,33,0.997561,0.0030877,518.187,0.997561,0.000132358
21,1,-0.00514337,0.00249441,0.00100675,0.408397,0.0553835,31,34,37,0.96325,0.00334372,395.22,0.96325,0.000146858
22,1,0.00477296,0.00108511,-0.000894578,1.20251,0.0513367,28,31,34,0.998436,0.00158734,133.402,0.998436,0.00017163
23,1,0.00416069,0.00157378,-0.000361907,1.19111,0.0562249,28,31,34,0.997507,0.00140374,116.762,0.997507,0.000191004
0,2,-0.000322129,-0.0003185,5.39886e-05,-0.299729,0.0582143,27,30,33,0.998602,0.000311658,96.5824,0.998602,3.85429e-05
1,2,-0.000887314,0.000151451,7.77721e-05,1.53903,0.0541896,24,27,30,0.996618,0.000292656,77.2909,0.996618,1.55801e-05
2,2,-0.00057491,-0.000177418,3.47304e-05,0.219739,0.05915,24,27,30,0.980428,0.000146303,49.8076,0.980428,2.94572e-05
