// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998953,7.86089,0.998883
1,individual,1,0.998278,20.6097,0.997919
2,individual,2,0.991228,7.52641,0.987349
3,shared,1,0.998928,26.2398,0.998846
4,individual,4,0.998291,9.4386,0.997925
5,individual,5,0.998278,8.0064,0.997919
6,shared,0,0.998629,23.7562,0.998754
7,shared,1,0.998309,6.61118,0.997933
8,individual,8,0.998291,9.87797,0.997925
9,individual,9,0.989753,34.6415,0.987288
10,shared,0,0.9983,37.1347,0.99793
11,shared,1,0.998309,14.929,0.997933
12,individual,12,0.989757,7.46607,0.987281
13,individual,13,0.998296,11.1163,0.997929
14,shared,0,0.9983,10.6388,0.99793
15,individual,15,0.989408,15.8661,0.986599
16,shared,0,0.998709,18.9457,0.99881
17,individual,17,0.998296,16.3667,0.997929
18,individual,18,0.987021,12.6692,0.985129
19,shared,1,0.998716,8.20991,0.998789
20,shared,0,0.998737,21.4499,0.998391
21,individual,21,0.983678,47.6199,0.976614
22,shared,0,0.998629,27.74,0.998754
23,shared,1,0.998676,10.4335,0.998299
