// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0129345,0.0135171,-0.0107616,-0.449002,0.0617638,27,30,33,0.998387,0.00506689,74.3691,0.998387,0.000474409
1,0,-0.00461152,0.00715746,-0.00910451,1.38567,0.0574886,24,27,30,0.996507,0.00405381,25.3998,0.996507,0.000540908
2,0,-0.0192904,0.0135109,-0.00271266,0.0732679,0.062758,24,27,30,0.980233,0.00296479,47.2772,0.980233,0.000496461
3,0,-0.00617745,-0.00826968,0.00539619,-0.978889,0.0613253,27,30,33,0.998358,0.0036628,13.9482,0.998358,0.000787306
4,0,0.0194974,-0.0151422,0.00901852,-0.44587,0.0570458,24,27,30,0.996506,0.00262782,27.7324,0.996506,0.000515597
5,0,0.014245,-0.00658829,-0.00247534,0.333733,0.0623047,24,27,30,0.996507,0.00290949,9.03024,0.996507,0.000935077
6,0,-0.0075135,-0.00671403,0.00727052,-0.972614,0.0608899,28,31,34,0.998329,0.0038465,13.2204,0.998329,0.000834414
7,0,0.0181513,-0.00925831,-0.00266844,-0.975078,0.0566064,25,28,31,0.996505,0.0026458,36.8557,0.996505,0.000479061
8,0,-0.0110758,0.0056356,0.00208474,-0.450372,0.0618547,25,28,31,0.996506,0.00349623,7.28859,0.996506,0.00100563
9,0,0.0197452,-0.0101647,-0.00223098,-0.711793,0.0604577,29,32,35,0.985273,0.00354605,18.8861,0.985273,0.000816924
10,0,0.00685786,-0.0113249,0.0064305,0.0777036,0.0561704,25,28,31,0.996505,0.00379371,34.9525,0.996505,0.000490218
11,0,-0.00941268,0.0125315,-0.00339836,1.11579,0.0614079,26,29,32,0.996505,0.00389145,40.3214,0.996505,0.000513343
12,0,-0.0154944,0.0150462,-0.00852011,-0.449029,0.0600285,29,32,35,0.985273,0.00513305,60.726,0.985273,0.000542799
13,0,0.00824164,-0.0108684,0.00961149,0.338268,0.0557379,26,29,32,0.996504,0.00441713,47.6103,0.996504,0.000462176
14,0,0.0196196,-0.0106935,-0.00191428,-0.974014,0.0609644,26,29,32,0.996505,0.0031064,31.7368,0.996505,0.000602334
15,0,-0.00137107,-0.0111983,0.00198813,-0.979724,0.0596025,30,33,36,0.984465,0.00449861,18.0395,0.984465,0.000739722
16,0,0.0187988,-0.0134226,0.00513697,-0.445921,0.0553087,27,30,33,0.998387,0.0025828,16.8315,0.998387,0.000684493
17,0,-0.0103574,0.0011392,0.00682263,-0.713723,0.0605242,27,30,33,0.996504,0.00395429,11.2137,0.996504,0.000911021
18,0,0.0029157,0.0104751,-0.0046498,0.074556,0.0591796,30,33,36,0.984465,0.00476687,16.0368,0.984465,0.000797172
19,0,0.01737,-0.00483278,-0.00573584,-0.975868,0.0548829,27,30,33,0.998358,0.00269,25.8405,0.998358,0.000557176
20,0,-0.00704181,0.000261462,0.00672902,-0.45046,0.0600871,27,30,33,0.997627,0.00475304,10.5133,0.997627,0.000940687
21,0,-0.0179748,0.0054881,0.0063525,0.335252,0.0587597,31,34,37,0.964566,0.00397534,16.4766,0.964566,0.000875007
22,0,-0.0103399,0.0124419,-0.0028225,1.12485,0.0544605,28,31,34,0.998329,0.00426027,48.0882,0.998329,0.00045714
23,0,-0.0129624,0.0121845,0.000786764,1.11915,0.0596533,28,31,34,0.997581,0.00426399,56.7933,0.997581,0.000477151
0,1,0.00577235,-0.000785464,-0.00124845,-0.374022,0.0617667,27,30,33,0.998536,0.00168916,111.741,0.998536,0.000232511
1,1,0.00552318,-0.00307803,0.000171652,1.46234,0.0574912,24,27,30,0.99676,0.00223819,653.499,0.99676,9.59361e-05
2,1,0.0050357,4.45001e-07,-0.000827854,0.14695,0.0627605,24,27,30,0.980799,0.00107864,111.191,0.980799,0.000189893
3,1,-0.00485142,0.000823533,0.000617081,-0.910304,0.0613282,27,30,33,0.998508,0.00225076,755.09,0.998508,9.03718e-05
