// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998948,9.32246,0.998863
1,individual,1,0.998234,20.1193,0.99783
2,individual,2,0.990918,7.25763,0.986922
3,shared,1,0.998895,23.0557,0.998819
4,individual,4,0.998248,36.6134,0.997836
5,individual,5,0.998234,7.94954,0.99783
6,shared,0,0.998629,21.6218,0.998737
7,shared,1,0.998267,6.81322,0.997844
8,individual,8,0.998248,8.36438,0.997836
9,individual,9,0.989532,94.9379,0.987113
10,shared,0,0.998257,33.6849,0.997841
11,shared,1,0.998267,22.6709,0.997844
12,individual,12,0.989532,8.99469,0.987106
13,individual,13,0.998253,12.4526,0.99784
14,shared,0,0.998257,7.76684,0.997841
15,individual,15,0.989117,15.0223,0.986374
16,shared,0,0.9987,74.7029,0.998792
17,individual,17,0.998253,14.1861,0.99784
18,individual,18,0.986757,12.6026,0.984985
19,shared,1,0.998707,9.81607,0.99877
20,shared,0,0.998721,18.1856,0.998345
21,individual,21,0.983048,83.2565,0.97574
22,shared,0,0.998629,18.3088,0.998737
23,shared,1,0.998628,16.2648,0.998241
