// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0122452,0.0131923,-0.010961,-0.449185,0.0599859,27,30,33,0.99836,0.00507852,71.249,0.99836,0.000467623
1,0,-0.00407142,0.00677808,-0.00912083,1.38567,0.0558362,24,27,30,0.996316,0.00402157,24.4741,0.996316,0.000533713
2,0,-0.0188073,0.0136277,-0.0030214,0.0730413,0.0609511,24,27,30,0.979758,0.00301067,48.6648,0.979758,0.000478757
3,0,-0.006569,-0.00805107,0.00574692,-0.979027,0.0595602,27,30,33,0.998331,0.00360551,14.073,0.998331,0.000766495
4,0,0.0190539,-0.0150438,0.00927882,-0.445869,0.0554063,24,27,30,0.996315,0.00270593,30.6832,0.996315,0.000480592
5,0,0.0143434,-0.00693864,-0.00222108,0.333518,0.060511,24,27,30,0.996316,0.00284466,9.27028,0.996316,0.000900952
6,0,-0.00788099,-0.00639377,0.00759028,-0.972797,0.0591375,28,31,34,0.998302,0.00377646,13.4569,0.998302,0.00080948
7,0,0.0178048,-0.00951036,-0.00256343,-0.975062,0.0549798,25,28,31,0.996315,0.00271113,38.8433,0.996315,0.000458655
8,0,-0.0113021,0.0060167,0.00176804,-0.450599,0.0600741,25,28,31,0.996315,0.00337891,7.36786,0.996315,0.000972039
9,0,0.0194657,-0.0104548,-0.0019646,-0.711968,0.058718,29,32,35,0.985172,0.00360364,19.9207,0.985172,0.000780096
10,0,0.00629553,-0.0111513,0.00674517,0.0777045,0.0545566,25,28,31,0.996314,0.00376018,33.5819,0.996314,0.000484581
11,0,-0.00882221,0.0125221,-0.00372015,1.1156,0.0596404,26,29,32,0.996315,0.00388105,37.9864,0.996315,0.000511441
12,0,-0.0148075,0.0148506,-0.00884984,-0.449212,0.0583014,29,32,35,0.985172,0.00515412,60.772,0.985172,0.000526358
13,0,0.00763037,-0.0105388,0.00978023,0.338272,0.0541367,26,29,32,0.996313,0.0043994,45.6594,0.996313,0.000456078
14,0,0.0192389,-0.010954,-0.00172839,-0.97424,0.0592099,26,29,32,0.996314,0.00318219,33.4521,0.996314,0.000576508
15,0,-0.00189814,-0.0111182,0.00228264,-0.979859,0.0578879,30,33,36,0.984365,0.00445951,17.9077,0.984365,0.000724422
16,0,0.0184696,-0.0134843,0.00548259,-0.445921,0.0537201,27,30,33,0.99836,0.00261366,17.89,0.99836,0.000647718
17,0,-0.0106291,0.00158005,0.00670395,-0.713936,0.0587826,27,30,33,0.996313,0.00389402,11.4738,0.996313,0.000880846
18,0,0.00342922,0.0102622,-0.00500816,0.0743724,0.0574774,30,33,36,0.984365,0.00469785,15.9264,0.984365,0.00077931
19,0,0.0171545,-0.00517673,-0.00581175,-0.975852,0.0533068,27,30,33,0.998331,0.00275521,27.5296,0.998331,0.000531152
20,0,-0.00743234,0.000738953,0.00651529,-0.450686,0.0583583,27,30,33,0.997545,0.00465979,10.5413,0.997545,0.000914232
21,0,-0.0178579,0.00590744,0.0062334,0.335077,0.0570698,31,34,37,0.963377,0.00402136,17.4718,0.963377,0.000834945
22,0,-0.00974137,0.0124079,-0.00313722,1.12485,0.0528968,28,31,34,0.998302,0.00425157,45.4442,0.998302,0.000453642
23,0,-0.0123624,0.0123336,0.000589539,1.11913,0.0579372,28,31,34,0.997498,0.00429379,54.0115,0.997498,0.000473199
0,1,0.0061407,-0.000959814,-0.00137977,-0.374361,0.0599889,27,30,33,0.998511,0.00186229,115.318,0.998511,0.000232757
1,1,0.0056958,-0.00336098,0.000245586,1.46235,0.0558391,24,27,30,0.996583,0.00235427,598.043,0.996583,0.000101402
2,1,0.00539612,-7.13155e-05,-0.000967031,0.146527,0.0609539,24,27,30,0.980365,0.00119971,114.811,0.980365,0.00019075
3,1,-0.00507476,0.000982612,0.000727347,-0.910557,0.0595632,27,30,33,0.998482,0.00237783,666.489,0.998482,9.85736e-05
4,1,-0.00459814,0.0003119,0.00148709,-0.368131,0.0554093,24,27,30,0.996583,0.00135504,70.4648,0.996583,0.000238555
5,1,0.00111327,-0.00282429,0.00119845,0.405666,0.060514,24,27,30,0.996583,0.00225206,107.729,0.996583,0.000216209
6,1,-0.00539723,0.0012869,0.000877917,-0.897988,0.0591406,28,31,34,0.998453,0.00256801,647.676,0.998453,0.000107241
7,1,-0.00338436,-0.00140346,0.000534442,-0.902944,0.0549828,25,28,31,0.996582,0.00106759,91.0746,0.996582,0.000183452
8,1,-0.00314895,0.0034974,-0.00141703,-0.377152,0.0600771,25,28,31,0.996583,0.00276444,185.513,0.996583,0.00018757
9,1,0.0017114,-0.00305097,0.000276465,-0.638144,0.058721,29,32,35,0.985271,0.0025984,121.74,0.985271,0.000220925
10,1,-0.00588604,0.00119508,0.00096261,0.155416,0.0545596,25,28,31,0.996582,0.0019836,424.041,0.996582,0.000108888
11,1,0.0057332,-0.000426058,-0.000786407,1.18437,0.0596435,25,28,31,0.996582,0.0017951,349.335,0.996582,0.00012338
12,1,0.00318205,0.00163291,-0.00157631,-0.374415,0.0583044,29,32,35,0.985271,0.0018276,76.1534,0.985271,0.000277139
13,1,-0.00636055,0.00175296,0.00105845,0.414746,0.0541398,26,29,32,0.996581,0.00209592,246.71,0.996581,0.000148041
14,1,-0.00244663,-0.00185746,0.000570675,-0.90084,0.059213,26,29,32,0.996582,0.0013528,80.18,0.996582,0.000225118
15,1,-0.00531894,-0.000803018,0.000392256,-0.912229,0.0578908,30,33,36,0.984428,0.00215637,353.968,0.984428,0.000130337
16,1,-0.000814552,-0.00227437,0.00173601,-0.368235,0.0537232,27,30,33,0.998511,0.00210741,82.294,0.998511,0.000233646
17,1,-0.00466956,0.00324099,-2.90667e-05,-0.642048,0.0587856,27,30,33,0.996581,0.00283762,364.456,0.996581,0.000143051
18,1,0.00552986,0.000669886,-0.000657383,0.149154,0.0574803,30,33,36,0.984428,0.00229259,301.323,0.984428,0.000147515
19,1,0.000109833,-0.00225514,-0.000252298,-0.904524,0.0533098,27,30,33,0.998482,0.00165485,101.775,0.998482,0.000179527
20,1,-0.00601552,0.00346026,-2.44136e-05,-0.377327,0.0583614,27,30,33,0.997633,0.00305411,550.978,0.997633,0.000130207
