// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998936,8.60018,0.998877
1,individual,1,0.998235,31.1665,0.997831
2,individual,2,0.990919,9.17893,0.986922
3,shared,1,0.998934,29.3897,0.998848
4,individual,4,0.998248,6.27405,0.997836
5,individual,5,0.998235,18.8965,0.997831
6,shared,0,0.998648,25.1091,0.998761
7,shared,1,0.998266,6.83413,0.997844
8,individual,8,0.998248,40.1604,0.997836
9,individual,9,0.989507,22.3,0.987111
10,shared,0,0.998258,17.223,0.997841
11,shared,1,0.998266,12.7461,0.997844
12,individual,12,0.989514,8.76493,0.987106
13,individual,13,0.998254,14.8844,0.99784
14,shared,0,0.998258,11.3583,0.997841
15,individual,15,0.989169,19.5853,0.9864
16,shared,0,0.998719,9.22886,0.998814
17,individual,17,0.998254,24.5424,0.99784
18,individual,18,0.986758,14.314,0.984986
19,shared,1,0.998725,8.06364,0.998793
20,shared,0,0.998706,40.9785,0.998356
21,individual,21,0.983048,21.3928,0.97574
22,shared,0,0.998648,13.5257,0.998761
23,shared,1,0.998669,9.16215,0.998272
