// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0130671,0.0135676,-0.0106839,-0.449186,0.0599859,27,30,33,0.99837,0.0049366,77.9738,0.99837,0.000451036
1,0,-0.00499219,0.00744257,-0.00925042,1.38567,0.0558362,24,27,30,0.996316,0.00399357,28.1959,0.996316,0.000503945
2,0,-0.0189828,0.0132568,-0.00245535,0.0730427,0.0609511,24,27,30,0.979758,0.00290181,44.9358,0.979758,0.000489299
3,0,-0.0054749,-0.00855529,0.0053463,-0.979023,0.0595602,27,30,33,0.998341,0.00365763,14.6091,0.998341,0.000749394
4,0,0.0190206,-0.0148222,0.0087565,-0.445869,0.0554063,24,27,30,0.996315,0.00252174,25.8935,0.996315,0.00050964
5,0,0.0134591,-0.00603072,-0.00285319,0.333521,0.060511,24,27,30,0.996316,0.00293662,9.33532,0.996316,0.000892548
6,0,-0.00677302,-0.00706538,0.00728577,-0.972798,0.0591375,28,31,34,0.998312,0.00383741,13.8385,0.998312,0.000793815
7,0,0.0177508,-0.00890149,-0.00296494,-0.975062,0.0549798,25,28,31,0.996315,0.00260805,35.9429,0.996315,0.000467686
8,0,-0.0102847,0.00503741,0.0024976,-0.450597,0.0600741,25,28,31,0.996315,0.00352011,7.60916,0.996315,0.000955446
9,0,0.0191238,-0.0096291,-0.00262412,-0.71197,0.058718,29,32,35,0.985172,0.00352316,18.7568,0.985172,0.000791018
10,0,0.00717707,-0.0114015,0.00631677,0.0777045,0.0545566,25,28,31,0.996314,0.00372808,37.0377,0.996314,0.000465104
11,0,-0.00968096,0.0125296,-0.00321082,1.1156,0.0596404,26,29,32,0.996315,0.00383025,42.3164,0.996315,0.000489261
12,0,-0.0154929,0.0149023,-0.00824833,-0.449213,0.0583014,29,32,35,0.985172,0.00498505,58.7537,0.985172,0.000530331
13,0,0.00851852,-0.0110001,0.00957455,0.338272,0.0541367,26,29,32,0.996313,0.00432253,51.6778,0.996313,0.000434111
14,0,0.0191768,-0.0102881,-0.00225176,-0.974239,0.0592099,26,29,32,0.996314,0.00306034,30.8977,0.996314,0.0005882
15,0,-0.000722765,-0.0113135,0.00175522,-0.979855,0.0578879,30,33,36,0.984365,0.0044835,19.1788,0.984365,0.000700938
16,0,0.018227,-0.0129637,0.00475053,-0.445921,0.0537201,27,30,33,0.99837,0.00252315,16.336,0.99837,0.000667439
17,0,-0.0095665,0.000594095,0.0071274,-0.713934,0.0587826,27,30,33,0.996313,0.00396181,11.8378,0.996313,0.00086296
18,0,0.00221811,0.0106687,-0.00446421,0.0743716,0.0574774,30,33,36,0.984365,0.00474834,16.9472,0.984365,0.000756064
19,0,0.0168525,-0.00439135,-0.00597871,-0.975852,0.0533068,27,30,33,0.998341,0.00265766,25.5058,0.998341,0.000540823
20,0,-0.00627089,-0.000301176,0.0070593,-0.450684,0.0583583,27,30,33,0.997555,0.00474553,11.2529,0.997555,0.000885837
21,0,-0.0172551,0.00489237,0.00667501,0.335075,0.0570698,31,34,37,0.963377,0.00396784,16.6374,0.963377,0.000841497
22,0,-0.0105341,0.0123336,-0.00255204,1.12485,0.0528968,28,31,34,0.998312,0.00418575,49.7695,0.998312,0.000437154
23,0,-0.0130845,0.0119865,0.00109688,1.11915,0.0579372,28,31,34,0.997509,0.00419095,58.1384,0.997509,0.000458322
0,1,0.00578025,-0.00067306,-0.00140499,-0.374363,0.0599889,27,30,33,0.998522,0.00173225,106.957,0.998522,0.000235211
1,1,0.0057484,-0.00319525,0.000119183,1.46235,0.0558391,24,27,30,0.996583,0.00226315,611.98,0.996583,9.84736e-05
2,1,0.00506883,0.0001119,-0.000931032,0.14653,0.0609539,24,27,30,0.980365,0.00111748,107.559,0.980365,0.00019182
3,1,-0.00509251,0.000800793,0.000697992,-0.910547,0.0595632,27,30,33,0.998494,0.00229516,721.83,0.998494,9.32213e-05
4,1,-0.00417062,4.02507e-05,0.00151693,-0.368131,0.0554093,24,27,30,0.996583,0.00135106,70.1933,0.996583,0.000235368
5,1,0.00149328,-0.00285938,0.00108388,0.405671,0.060514,24,27,30,0.996583,0.002261,121.688,0.996583,0.000202993
