// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998944,8.64114,0.998868
1,individual,1,0.998238,18.9519,0.997755
2,individual,2,0.990609,8.16244,0.986481
3,shared,1,0.998917,23.9144,0.998834
4,individual,4,0.998252,11.3182,0.99776
5,individual,5,0.998238,9.02264,0.997755
6,shared,0,0.998715,21.3417,0.998772
7,shared,1,0.998271,7.82854,0.997768
8,individual,8,0.998252,10.562,0.99776
9,individual,9,0.989278,35.9994,0.986934
10,shared,0,0.998261,36.106,0.997764
11,shared,1,0.998271,14.7096,0.997768
12,individual,12,0.989282,8.80639,0.986929
13,individual,13,0.998258,11.4764,0.997763
14,shared,0,0.998261,11.7748,0.997764
15,individual,15,0.988866,16.6417,0.986168
16,shared,0,0.998771,24.0065,0.998824
17,individual,17,0.998258,16.0026,0.997763
18,individual,18,0.986485,12.8963,0.984841
19,shared,1,0.998775,10.8768,0.998801
20,shared,0,0.998691,19.8004,0.998309
21,individual,21,0.982373,48.5954,0.974815
22,shared,0,0.998715,27.811,0.998772
23,shared,1,0.998621,10.7888,0.998212
