// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998953,7.68739,0.998883
1,individual,1,0.998278,20.1525,0.997919
2,individual,2,0.991217,7.34689,0.987338
3,shared,1,0.998928,25.7305,0.998846
4,individual,4,0.998291,9.52185,0.997925
5,individual,5,0.998278,7.81256,0.997919
6,shared,0,0.99863,23.1218,0.998755
7,shared,1,0.998309,6.53144,0.997932
8,individual,8,0.998291,9.63713,0.997925
9,individual,9,0.989746,36.2356,0.987283
10,shared,0,0.9983,35.6601,0.997929
11,shared,1,0.998309,14.3802,0.997932
12,individual,12,0.98975,7.37402,0.987277
13,individual,13,0.998296,10.7842,0.997929
14,shared,0,0.9983,10.7367,0.997929
15,individual,15,0.9894,15.4537,0.986594
16,shared,0,0.99871,19.7797,0.998811
17,individual,17,0.998296,15.87,0.997929
18,individual,18,0.987012,12.2253,0.985125
19,shared,1,0.998717,8.33379,0.99879
20,shared,0,0.998736,20.8143,0.99839
21,individual,21,0.983664,46.7628,0.976599
22,shared,0,0.99863,26.5189,0.998755
23,shared,1,0.998675,10.0185,0.998298
