// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0136716,0.0142894,-0.0113706,-0.449004,0.0652002,27,30,33,0.998386,0.00535337,70.433,0.998386,0.000529084
1,0,-0.00487867,0.00756837,-0.00961867,1.38567,0.0606825,24,27,30,0.996504,0.00428296,24.0549,0.996504,0.000603179
2,0,-0.0203816,0.0142821,-0.00286757,0.0732655,0.0662507,24,27,30,0.980225,0.00313264,44.7435,0.980225,0.00055385
3,0,-0.00651908,-0.0087376,0.00569884,-0.97889,0.0647368,27,30,33,0.998357,0.00386968,13.205,0.998357,0.000878074
4,0,0.0205964,-0.0160052,0.00953305,-0.44587,0.0602146,24,27,30,0.996504,0.00277607,26.2398,0.996504,0.000575127
5,0,0.0150426,-0.00696199,-0.00261148,0.333731,0.0657717,24,27,30,0.996504,0.00307454,8.54773,0.996504,0.00104299
6,0,-0.00793041,-0.00709362,0.0076792,-0.972616,0.0642767,28,31,34,0.998328,0.00406409,12.5163,0.998328,0.000930616
7,0,0.0191777,-0.00978792,-0.00281871,-0.975078,0.0597503,25,28,31,0.996503,0.00279604,34.8883,0.996503,0.000534348
8,0,-0.0116936,0.00595375,0.00219863,-0.450375,0.0652962,25,28,31,0.996504,0.00369446,6.89841,0.996504,0.00112167
9,0,0.0208603,-0.0107462,-0.00235538,-0.711795,0.0638199,29,32,35,0.985272,0.00374671,17.8691,0.985272,0.0009113
10,0,0.00725323,-0.011971,0.00679262,0.0777036,0.0592896,25,28,31,0.996503,0.00400774,33.0969,0.996503,0.000546661
11,0,-0.00995229,0.0132457,-0.0035887,1.11578,0.0648241,26,29,32,0.996503,0.00411124,38.1753,0.996503,0.000572549
12,0,-0.0163766,0.0159051,-0.00900207,-0.44903,0.0633665,29,32,35,0.985272,0.00542318,57.482,0.985272,0.000605426
13,0,0.00871463,-0.0114897,0.0101544,0.338268,0.0588325,26,29,32,0.996502,0.00466674,45.0937,0.996502,0.000515355
14,0,0.0207294,-0.0113049,-0.00202172,-0.974016,0.0643554,26,29,32,0.996503,0.00328242,30.0338,0.996503,0.00067193
15,0,-0.00144018,-0.0118323,0.00209755,-0.979725,0.0629163,30,33,36,0.984464,0.00475275,17.0782,0.984464,0.000824975
16,0,0.0198581,-0.0141881,0.00543141,-0.445922,0.058379,27,30,33,0.998386,0.00272858,15.9247,0.998386,0.000763487
17,0,-0.0109345,0.00120393,0.00720528,-0.713725,0.0638902,27,30,33,0.996502,0.00417854,10.6147,0.996502,0.00101611
18,0,0.00307192,0.011068,-0.00490989,0.0745542,0.0624694,30,33,36,0.984464,0.00503648,15.1826,0.984464,0.000889044
19,0,0.0183521,-0.00511145,-0.00606005,-0.975868,0.0579291,27,30,33,0.998357,0.00284276,24.4597,0.998357,0.000621442
20,0,-0.00743082,0.000274887,0.00710625,-0.450462,0.0634284,27,30,33,0.997625,0.00502251,9.95086,0.997625,0.00104919
21,0,-0.0189895,0.00580442,0.0067106,0.33525,0.0620257,31,34,37,0.964554,0.00420065,15.59,0.964554,0.000976057
22,0,-0.0109327,0.0131513,-0.00298004,1.12485,0.0574827,28,31,34,0.998328,0.00450073,45.5291,0.998328,0.000509793
23,0,-0.0137032,0.0128791,0.000833725,1.11914,0.06297,28,31,34,0.99758,0.00450494,53.7629,0.99758,0.00053221
0,1,0.00609939,-0.000827188,-0.00131892,-0.374025,0.0652034,27,30,33,0.998536,0.00178499,106.047,0.998536,0.00025936
1,1,0.00583519,-0.00325003,0.000182254,1.46234,0.0606854,24,27,30,0.996758,0.00236519,635.717,0.996758,0.000106998
2,1,0.00532233,2.93649e-06,-0.000875577,0.146945,0.0662536,24,27,30,0.980792,0.0011397,105.775,0.980792,0.000211831
3,1,-0.00512324,0.000870603,0.000650009,-0.910307,0.06474,27,30,33,0.998507,0.00237845,741.459,0.998507,0.000100813
4,1,-0.00451783,0.00019517,0.00143664,-0.368133,0.0602177,24,27,30,0.996758,0.00135524,66.5843,0.996758,0.000264038
5,1,0.00129681,-0.00279047,0.00108235,0.406061,0.0657747,24,27,30,0.996758,0.00232913,110.443,0.996758,0.000231223
6,1,-0.00546024,0.00116011,0.000800279,-0.897652,0.0642799,28,31,34,0.998478,0.00256578,702.306,0.998478,0.000111514
7,1,-0.00326479,-0.00139216,0.000462101,-0.902981,0.0597534,25,28,31,0.996757,0.00105686,85.9547,0.996757,0.000201878
8,1,-0.00334868,0.00345508,-0.00129151,-0.376734,0.0652993,25,28,31,0.996758,0.00283291,198.592,0.996758,0.000197774
9,1,0.0019101,-0.00296325,0.000209207,-0.637825,0.0638231,29,32,35,0.98536,0.002682,126.359,0.98536,0.000235393
10,1,-0.00592097,0.00107865,0.000892275,0.155413,0.0592928,25,28,31,0.996757,0.00194844,397.48,0.996757,0.000120525
11,1,0.00570873,-0.00033983,-0.000702791,1.1847,0.0648273,25,28,31,0.996757,0.00174147,320.718,0.996757,0.000137009
12,1,0.00301798,0.00169079,-0.00145496,-0.374079,0.0633696,29,32,35,0.98536,0.00184171,72.9537,0.98536,0.000304358
13,1,-0.0063999,0.00161872,0.00102526,0.414736,0.0588357,26,29,32,0.996756,0.00204438,225.357,0.996756,0.000165628
14,1,-0.00228988,-0.00182737,0.000491274,-0.900422,0.0643587,26,29,32,0.996757,0.00138224,77.2462,0.996757,0.000245742
15,1,-0.00525772,-0.000824143,0.000333204,-0.911984,0.0629194,30,33,36,0.984515,0.00207742,316.568,0.984515,0.000145477
16,1,-0.000625709,-0.00232131,0.00162078,-0.368237,0.0583822,27,30,33,0.998536,0.00218871,81.2921,0.998536,0.000254225
17,1,-0.00483321,0.00312029,2.39591e-05,-0.641655,0.0638935,27,30,33,0.996756,0.0028777,407.335,0.996756,0.000148291
18,1,0.00547661,0.000717159,-0.000575114,0.14949,0.0624725,30,33,36,0.984515,0.00221787,273.91,0.984515,0.000164164
19,1,0.000276817,-0.00215585,-0.000253392,-0.904558,0.0579323,27,30,33,0.998507,0.00171326,100.731,0.998507,0.000193581
20,1,-0.0061645,0.0033328,4.04696e-05,-0.376909,0.0634316,27,30,33,0.997709,0.00306627,587.829,0.997709,0.000137469
21,1,-0.00501803,0.00230252,0.000836668,0.409066,0.0620288,31,34,37,0.965555,0.0033117,430.211,0.965555,0.000154575
22,1,0.00471275,0.000952079,-0.000747784,1.20251,0.0574859,28,31,34,0.998478,0.00148499,129.252,0.998478,0.000188486
23,1,0.00407827,0.00136895,-0.000301137,1.19113,0.0629732,28,31,34,0.997657,0.00127559,110.659,0.997657,0.000209453
0,2,-0.000267919,-0.000236746,3.50506e-05,-0.298746,0.065206,27,30,33,0.998644,0.000269094,67.2413,0.998644,3.54599e-05
1,2,-0.0007079,0.000103988,4.57141e-05,1.539,0.060687,23,26,29,0.996964,0.000235531,49.1951,0.996964,1.40512e-05
2,2,-0.000463966,-0.000129482,2.59097e-05,0.220964,0.0662552,24,27,30,0.981263,0.000124486,31.3681,0.981263,2.70148e-05
3,2,0.000441978,7.73925e-05,2.86781e-05,-0.841513,0.0647426,27,30,33,0.998616,9.77302e-05,24.2433,0.998616,1.95485e-05
4,2,0.0003377,0.000212016,-9.82024e-05,-0.290395,0.0602195,24,27,30,0.996963,0.00027282,63.2972,0.996963,3.26446e-05
5,2,-0.000319813,0.000214211,-1.17683e-05,0.478718,0.0657767,24,27,30,0.996964,0.000340834,49.1697,0.996964,1.73233e-05
6,2,0.000453318,9.73608e-05,2.74339e-05,-0.822389,0.0642825,28,31,34,0.998587,0.000102511,34.3789,0.998587,2.33252e-05
7,2,0.000134003,0.000158719,2.82519e-06,-0.83091,0.0597555,25,28,31,0.996963,0.000208419,25.4511,0.996963,2.23135e-05
8,2,0.000583964,-0.000223653,-7.41147e-06,-0.302752,0.0653015,25,28,31,0.996963,0.000349716,63.6877,0.996963,1.26487e-05
9,2,-0.000622107,8.05534e-05,3.2638e-05,-0.56357,0.0638257,28,31,34,0.985435,0.000326103,60.2528,0.985435,1.2282e-05
10,2,0.000528623,0.000109404,-1.2111e-06,0.233124,0.059295,25,28,31,0.996962,0.000103886,36.0604,0.996962,2.16553e-05
11,2,-0.00043009,-0.000114643,-1.46316e-05,1.25387,0.0648296,25,28,31,0.996963,7.92628e-05,25.3844,0.996963,2.27378e-05
12,2,0.000423885,-0.000248936,-4.93983e-05,-0.298827,0.0633722,29,32,35,0.985435,0.000428092,78.9577,0.985435,2.02417e-05
13,2,0.000522961,0.00015093,-3.84707e-05,0.4912,0.058838,26,29,32,0.996962,0.000151222,57.7176,0.996962,2.88823e-05
14,2,-0.000105816,0.000169645,1.11801e-05,-0.82649,0.0643611,26,29,32,0.996962,0.000289472,33.0754,0.996962,2.11409e-05
15,2,3.54348e-05,9.32801e-05,4.37845e-05,-0.844036,0.062922,30,33,36,0.98455,0.000208208,22.0249,0.98455,2.40721e-05
16,2,-0.000404339,0.000287057,1.85986e-06,-0.29055,0.0583846,26,29,32,0.998644,0.000403776,75.2654,0.998644,1.78794e-05
17,2,0.000659433,-3.98419e-05,-2.93877e-05,-0.569259,0.063896,27,30,33,0.996962,0.000243491,57.6571,0.996962,1.77526e-05
18,2,2.41395e-05,-0.000116599,-5.21447e-05,0.224724,0.062475,30,33,36,0.98455,0.000253961,32.5868,0.98455,2.55426e-05
19,2,-0.000384968,7.54139e-05,1.00818e-05,-0.833273,0.0579347,27,30,33,0.998616,0.000290367,26.1108,0.998616,8.44704e-06
20,2,0.000681392,2.75048e-05,-5.28695e-05,-0.303015,0.0634342,27,30,33,0.997784,0.000189713,73.9807,0.997784,2.80922e-05
