// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998947,9.11455,0.998863
1,individual,1,0.998234,19.6368,0.99783
2,individual,2,0.990907,7.07463,0.986911
3,shared,1,0.998895,22.4882,0.998819
4,individual,4,0.998248,36.4133,0.997835
5,individual,5,0.998234,7.85918,0.99783
6,shared,0,0.99863,20.9992,0.998738
7,shared,1,0.998267,6.63957,0.997843
8,individual,8,0.998248,8.28606,0.997835
9,individual,9,0.989525,95.4206,0.987108
10,shared,0,0.998257,32.3803,0.99784
11,shared,1,0.998267,21.7643,0.997843
12,individual,12,0.989525,8.91725,0.987101
13,individual,13,0.998253,12.0943,0.997839
14,shared,0,0.998257,7.58152,0.99784
15,individual,15,0.98911,14.5614,0.986369
16,shared,0,0.998701,80.328,0.998793
17,individual,17,0.998253,13.8377,0.997839
18,individual,18,0.986749,12.1933,0.98498
19,shared,1,0.998708,9.86295,0.99877
20,shared,0,0.99872,17.7315,0.998345
21,individual,21,0.983033,81.8209,0.975725
22,shared,0,0.99863,17.5641,0.998738
23,shared,1,0.998627,15.6028,0.99824
