// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998936,8.43728,0.998877
1,individual,1,0.998235,30.3513,0.99783
2,individual,2,0.990908,9.18867,0.986911
3,shared,1,0.998934,28.6654,0.998848
4,individual,4,0.998248,6.44841,0.997836
5,individual,5,0.998235,18.2557,0.99783
6,shared,0,0.998649,24.3471,0.998761
7,shared,1,0.998266,6.8183,0.997843
8,individual,8,0.998248,38.7498,0.997836
9,individual,9,0.9895,23.0414,0.987106
10,shared,0,0.998258,16.6559,0.99784
11,shared,1,0.998266,12.304,0.997843
12,individual,12,0.989507,8.70305,0.987101
13,individual,13,0.998254,14.4075,0.997839
14,shared,0,0.998258,11.9782,0.99784
15,individual,15,0.989161,19.3079,0.986394
16,shared,0,0.998719,9.4431,0.998815
17,individual,17,0.998254,23.7159,0.997839
18,individual,18,0.986749,13.8428,0.984982
19,shared,1,0.998726,8.1028,0.998794
20,shared,0,0.998706,39.4356,0.998356
21,individual,21,0.983033,20.7478,0.975724
22,shared,0,0.998649,13.0682,0.998761
23,shared,1,0.998668,8.83837,0.998271
