// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0138116,0.0143427,-0.0112886,-0.449188,0.0633214,27,30,33,0.998369,0.00521566,73.8456,0.998369,0.000503006
1,0,-0.00528082,0.00786963,-0.00977287,1.38567,0.0589364,24,27,30,0.996313,0.00421929,26.704,0.996313,0.000561939
2,0,-0.0200565,0.0140135,-0.00259567,0.0730401,0.0643413,24,27,30,0.97975,0.00306619,42.5289,0.97975,0.00054584
3,0,-0.00577681,-0.00903941,0.00564614,-0.979025,0.0628716,27,30,33,0.99834,0.0038642,13.8306,0.99834,0.000835766
4,0,0.0200925,-0.015667,0.00925615,-0.445869,0.0584822,24,27,30,0.996313,0.00266402,24.5001,0.996313,0.000568461
5,0,0.0142121,-0.00637279,-0.00301077,0.333518,0.0638763,24,27,30,0.996313,0.00310319,8.83682,0.996313,0.000995515
6,0,-0.00714804,-0.00746491,0.00769534,-0.9728,0.062425,28,31,34,0.998311,0.00405443,13.1015,0.998311,0.000885306
7,0,0.0187545,-0.00941082,-0.00313203,-0.975062,0.0580314,25,28,31,0.996312,0.00275622,34.0256,0.996312,0.000521639
8,0,-0.0108577,0.00532165,0.00263491,-0.4506,0.0634146,25,28,31,0.996313,0.00371966,7.20207,0.996313,0.00106566
9,0,0.0202036,-0.0101802,-0.00277082,-0.711972,0.0619816,29,32,35,0.98517,0.0037226,17.7473,0.98517,0.00088237
10,0,0.00759039,-0.0120519,0.00667245,0.0777045,0.0575843,25,28,31,0.996312,0.00393842,35.0707,0.996312,0.000518645
11,0,-0.0102356,0.0132437,-0.00339053,1.1156,0.0629564,26,29,32,0.996312,0.00404665,40.0635,0.996312,0.000545682
12,0,-0.016375,0.0157531,-0.00871489,-0.449215,0.0615415,29,32,35,0.98517,0.00526675,55.6121,0.98517,0.00059151
13,0,0.0090071,-0.0116289,0.0101154,0.338272,0.0571406,26,29,32,0.996311,0.00456674,48.9469,0.996311,0.000484045
14,0,0.0202614,-0.0108765,-0.00237834,-0.974241,0.0625014,26,29,32,0.996312,0.00323384,29.241,0.996312,0.000656136
15,0,-0.000755225,-0.011954,0.00185145,-0.979857,0.0611045,30,33,36,0.984364,0.00473678,18.1568,0.984364,0.000781698
16,0,0.0192538,-0.0137032,0.00502304,-0.445921,0.0567004,27,30,33,0.998369,0.00266561,15.4561,0.998369,0.000744437
17,0,-0.0100988,0.000627903,0.00752733,-0.713936,0.0620498,27,30,33,0.996311,0.00418645,11.2057,0.996311,0.000962465
18,0,0.00233486,0.0112725,-0.00471379,0.0743697,0.0606707,30,33,36,0.984364,0.00501684,16.0445,0.984364,0.000843171
19,0,0.0178052,-0.00464496,-0.00631669,-0.975852,0.0562636,27,30,33,0.99834,0.00280861,24.1437,0.99834,0.000603177
20,0,-0.00661625,-0.000319643,0.00745528,-0.450687,0.0616016,27,30,33,0.997554,0.00501455,10.6513,0.997554,0.000987971
21,0,-0.0182289,0.00517488,0.0070514,0.335074,0.06024,31,34,37,0.963364,0.00419278,15.7426,0.963364,0.000938643
