// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998944,8.28753,0.99887
1,individual,1,0.998235,19.915,0.997831
2,individual,2,0.990918,7.89432,0.986922
3,shared,1,0.998916,25.3137,0.998834
4,individual,4,0.998248,10.3428,0.997836
5,individual,5,0.998235,8.50098,0.997831
6,shared,0,0.99864,22.8053,0.99875
7,shared,1,0.998266,7.17272,0.997844
8,individual,8,0.998248,10.1985,0.997836
9,individual,9,0.989521,34.8729,0.987112
10,shared,0,0.998257,37.3411,0.997841
11,shared,1,0.998266,15.0673,0.997844
12,individual,12,0.989525,8.04105,0.987106
13,individual,13,0.998254,11.4107,0.99784
14,shared,0,0.998257,11.1945,0.997841
15,individual,15,0.989145,16.3995,0.986387
16,shared,0,0.99871,20.5638,0.998804
17,individual,17,0.998254,16.2879,0.99784
18,individual,18,0.986758,12.9573,0.984985
19,shared,1,0.998717,9.19748,0.998782
20,shared,0,0.998715,20.7977,0.998352
21,individual,21,0.983048,48.4338,0.97574
22,shared,0,0.99864,28.3328,0.99875
23,shared,1,0.99865,10.7726,0.998257
