// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0126614,0.0133875,-0.010829,-0.449186,0.0599859,27,30,33,0.998365,0.00500889,74.8128,0.998365,0.000458661
1,0,-0.00453329,0.00711426,-0.00919119,1.38567,0.0558362,24,27,30,0.996316,0.00400895,26.2375,0.996316,0.000518827
2,0,-0.018902,0.0134481,-0.00273843,0.073042,0.0609511,24,27,30,0.979758,0.00295635,46.7956,0.979758,0.0004839
3,0,-0.00602437,-0.0083087,0.00554923,-0.979025,0.0595602,27,30,33,0.998336,0.00363212,14.3247,0.998336,0.000758166
4,0,0.0190443,-0.01494,0.0090222,-0.445869,0.0554063,24,27,30,0.996315,0.00261297,28.1275,0.996315,0.000495256
5,0,0.0139065,-0.0064868,-0.00254006,0.33352,0.060511,24,27,30,0.996316,0.00289058,9.29536,0.996316,0.000897058
6,0,-0.00733026,-0.00673448,0.00744249,-0.972798,0.0591375,28,31,34,0.998307,0.00380715,13.6327,0.998307,0.000801895
7,0,0.0177849,-0.00920977,-0.00276704,-0.975062,0.0549798,25,28,31,0.996315,0.0026594,37.3738,0.996315,0.000463131
8,0,-0.0107978,0.0055289,0.00213555,-0.450598,0.0600741,25,28,31,0.996315,0.00345052,7.48023,0.996315,0.000964121
9,0,0.0193041,-0.0100471,-0.0022975,-0.711969,0.058718,29,32,35,0.985172,0.00356188,19.3211,0.985172,0.000785717
10,0,0.00673916,-0.0112827,0.00653416,0.0777045,0.0545566,25,28,31,0.996314,0.0037451,35.255,0.996314,0.000474791
11,0,-0.00925574,0.0125326,-0.00346621,1.1156,0.0596404,26,29,32,0.996315,0.00385682,40.092,0.996315,0.00050023
12,0,-0.0151578,0.0148859,-0.00855435,-0.449213,0.0583014,29,32,35,0.985172,0.00507031,59.926,0.985172,0.000527821
13,0,0.00807781,-0.0107758,0.00968347,0.338272,0.0541367,26,29,32,0.996313,0.00436219,48.6055,0.996313,0.000444851
14,0,0.0192163,-0.010626,-0.0019929,-0.97424,0.0592099,26,29,32,0.996314,0.00312094,32.1545,0.996314,0.000582325
15,0,-0.00131083,-0.0112235,0.00201888,-0.979857,0.0578879,30,33,36,0.984365,0.0044728,18.5134,0.984365,0.000712845
16,0,0.0183565,-0.0132311,0.00511889,-0.445921,0.0537201,27,30,33,0.998365,0.00256511,17.0726,0.998365,0.000657837
17,0,-0.0101024,0.00108657,0.00692145,-0.713935,0.0587826,27,30,33,0.996313,0.00392851,11.6442,0.996313,0.000872172
18,0,0.00282501,0.0104731,-0.0047385,0.074372,0.0574774,30,33,36,0.984365,0.00472439,16.4096,0.984365,0.000767914
19,0,0.0170115,-0.00478581,-0.00590001,-0.975852,0.0533068,27,30,33,0.998336,0.00270514,26.4884,0.998336,0.000536053
20,0,-0.00685494,0.000218011,0.00679324,-0.450685,0.0583583,27,30,33,0.99755,0.00470442,10.8786,0.99755,0.000900341
21,0,-0.0175665,0.00540259,0.00646057,0.335076,0.0570698,31,34,37,0.963377,0.00399233,17.0401,0.963377,0.00083843
22,0,-0.0101428,0.0123783,-0.00284529,1.12485,0.0528968,28,31,34,0.998307,0.00422006,47.5928,0.998307,0.000445212
23,0,-0.0127301,0.0121671,0.000845452,1.11914,0.0579372,28,31,34,0.997504,0.00424372,56.1408,0.997504,0.000465416
0,1,0.00596336,-0.000815755,-0.00139401,-0.374362,0.0599889,27,30,33,0.998516,0.00179583,110.928,0.998516,0.000234094
1,1,0.00572559,-0.00327979,0.000181804,1.46235,0.0558391,24,27,30,0.996583,0.00230951,607.972,0.996583,9.97399e-05
2,1,0.00523443,2.13549e-05,-0.000949742,0.146529,0.0609539,24,27,30,0.980365,0.00115728,111.009,0.980365,0.000191372
3,1,-0.00508735,0.000891502,0.00071324,-0.910552,0.0595632,27,30,33,0.998488,0.00233762,697.379,0.998488,9.56692e-05
4,1,-0.00438575,0.000174972,0.00150368,-0.368131,0.0554093,24,27,30,0.996583,0.00135119,70.2517,0.996583,0.000237071
5,1,0.00130537,-0.0028443,0.00114161,0.405668,0.060514,24,27,30,0.996583,0.0022575,114.304,0.996583,0.000209645
6,1,-0.0054052,0.00118322,0.00086982,-0.897989,0.0591406,28,31,34,0.998459,0.00252107,665.914,0.998459,0.000104967
7,1,-0.00319573,-0.00144663,0.000498768,-0.902944,0.0549828,25,28,31,0.996582,0.00106033,90.3952,0.996582,0.000182289
8,1,-0.00330809,0.00349487,-0.0013462,-0.377151,0.0600771,25,28,31,0.996583,0.00274949,202.153,0.996583,0.000180155
9,1,0.00190782,-0.00302157,0.000214485,-0.638146,0.058721,29,32,35,0.985271,0.0026118,129.862,0.985271,0.000213946
10,1,-0.00582397,0.00108805,0.000959738,0.155416,0.0545596,25,28,31,0.996582,0.00192668,398.628,0.996582,0.000110457
11,1,0.00564403,-0.000335444,-0.000767658,1.18436,0.0596435,25,28,31,0.996582,0.00173565,326.144,0.996582,0.000125414
12,1,0.00292954,0.00173005,-0.00152701,-0.374416,0.0583044,29,32,35,0.985271,0.00183016,76.4354,0.985271,0.000274393
13,1,-0.0062592,0.00161942,0.00108467,0.414746,0.0541398,26,29,32,0.996581,0.00202712,231.568,0.996581,0.000150198
14,1,-0.00223074,-0.00189158,0.00052722,-0.900838,0.059213,26,29,32,0.996582,0.00136524,80.9089,0.996582,0.00022228
15,1,-0.00520164,-0.000869368,0.000359058,-0.912224,0.0578908,30,33,36,0.984428,0.00208091,326.583,0.984428,0.000132981
16,1,-0.000579463,-0.00234885,0.00168495,-0.368235,0.0537232,27,30,33,0.998516,0.00213013,85.2885,0.998516,0.000228696
17,1,-0.00476542,0.00316418,3.34525e-05,-0.642045,0.0587856,27,30,33,0.996581,0.00280599,398.027,0.996581,0.000137154
18,1,0.00540229,0.00075484,-0.000618346,0.149153,0.0574803,30,33,36,0.984428,0.00221284,280.257,0.984428,0.000150046
19,1,0.000300182,-0.00222212,-0.00027995,-0.904524,0.0533098,27,30,33,0.998488,0.00167375,105.46,0.998488,0.00017548
20,1,-0.00604947,0.00335555,5.27304e-05,-0.377325,0.0583614,27,30,33,0.997639,0.00299602,562.967,0.997639,0.000127932
21,1,-0.00495009,0.00233459,0.00089563,0.408745,0.0570727,31,34,37,0.964456,0.00323946,421.373,0.964456,0.000142905
22,1,0.00461879,0.000989492,-0.000797568,1.20251,0.0528998,28,31,34,0.998459,0.00149529,134.747,0.998459,0.000170429
23,1,0.00401372,0.00143019,-0.000322495,1.19112,0.0579402,28,31,34,0.997586,0.00130437,116.624,0.997586,0.000189613
0,2,-0.000286385,-0.000268455,4.24747e-05,-0.299216,0.0599913,27,30,33,0.998626,0.000281976,78.1292,0.998626,3.50909e-05
1,2,-0.000771413,0.000121934,5.81913e-05,1.53902,0.0558409,23,26,29,0.9968,0.000255546,58.5395,0.9968,1.40081e-05
2,2,-0.00050383,-0.000148237,2.9365e-05,0.220378,0.0609558,24,27,30,0.980871,0.000131012,37.9583,0.980871,2.67797e-05
3,2,0.000493227,9.38111e-05,2.96846e-05,-0.841849,0.0595656,27,30,33,0.998598,0.000115412,30.4897,0.998598,1.94697e-05
4,2,0.000355908,0.000240217,-0.000112228,-0.290391,0.0554113,24,27,30,0.996799,0.000283227,72.5801,0.996799,3.20784e-05
5,2,-0.000359074,0.000247677,-7.16768e-06,0.478168,0.060516,24,27,30,0.9968,0.000360779,59.108,0.9968,1.75903e-05
6,2,0.00050247,0.000116555,2.77903e-05,-0.822859,0.059143,28,31,34,0.998569,0.00012008,42.4853,0.998569,2.31845e-05
7,2,0.000140132,0.000182118,6.86807e-06,-0.830852,0.0549849,25,28,31,0.996799,0.000217095,31.1679,0.996799,2.22891e-05
8,2,0.000642517,-0.000256491,-1.54769e-05,-0.303338,0.0600793,25,28,31,0.996799,0.000373187,76.0667,0.996799,1.31039e-05
9,2,-0.000685303,8.72154e-05,4.46719e-05,-0.564017,0.0587234,28,31,35,0.985355,0.000353166,73.3116,0.985355,1.25951e-05
10,2,0.000578692,0.000124455,-5.14588e-06,0.233127,0.0545618,25,28,31,0.996798,0.000118928,43.5601,0.996798,2.13594e-05
11,2,-0.000475387,-0.000132169,-1.45908e-05,1.2534,0.0596458,25,28,31,0.996799,8.93253e-05,31.4555,0.996799,2.26152e-05
12,2,0.000466877,-0.000279785,-6.02724e-05,-0.299298,0.0583068,29,32,35,0.985355,0.000453939,94.3806,0.985355,2.05135e-05
13,2,0.000565345,0.000170295,-4.84763e-05,0.491216,0.054142,26,29,32,0.996798,0.000163206,67.3124,0.996798,2.84009e-05
14,2,-0.000123854,0.000193866,1.76131e-05,-0.827075,0.0592153,26,29,32,0.996798,0.000305428,40.615,0.996798,2.13354e-05
15,2,3.91978e-05,0.000111412,4.91423e-05,-0.844366,0.0578932,30,33,36,0.984473,0.000218104,27.6547,0.984473,2.43332e-05
16,2,-0.000445422,0.000322626,7.96624e-06,-0.290547,0.0537254,26,29,32,0.998626,0.000425631,88.5647,0.998626,1.80157e-05
17,2,0.000724329,-4.46214e-05,-4.26669e-05,-0.569806,0.058788,27,30,33,0.996798,0.000266994,69.286,0.996798,1.76831e-05
18,2,2.73186e-05,-0.000137649,-5.91542e-05,0.224253,0.0574826,30,33,36,0.984473,0.00026683,40.315,0.984473,2.57412e-05
19,2,-0.000428738,8.26508e-05,1.57133e-05,-0.833219,0.0533121,27,30,33,0.998598,0.000311513,32.4499,0.998598,8.89351e-06
