// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998944,8.13651,0.99887
1,individual,1,0.998234,19.4587,0.99783
2,individual,2,0.990908,7.73151,0.986911
3,shared,1,0.998916,24.7388,0.998834
4,individual,4,0.998248,10.446,0.997836
5,individual,5,0.998234,8.35033,0.99783
6,shared,0,0.998641,22.143,0.99875
7,shared,1,0.998266,7.11797,0.997843
8,individual,8,0.998248,10.0193,0.997836
9,individual,9,0.989514,36.262,0.987108
10,shared,0,0.998257,35.8763,0.99784
11,shared,1,0.998266,14.5224,0.997843
12,individual,12,0.989518,8.0104,0.987102
13,individual,13,0.998254,11.1013,0.997839
14,shared,0,0.998257,11.2731,0.99784
15,individual,15,0.989137,16.0138,0.986382
16,shared,0,0.998711,21.6257,0.998804
17,individual,17,0.998254,15.8441,0.997839
18,individual,18,0.986749,12.5314,0.984981
19,shared,1,0.998717,9.42107,0.998782
20,shared,0,0.998715,20.2114,0.998351
21,individual,21,0.983033,47.6656,0.975725
22,shared,0,0.998641,27.1224,0.99875
23,shared,1,0.998649,10.3673,0.998256
