// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.013383,0.0141525,-0.0114419,-0.449188,0.0633214,27,30,33,0.998364,0.00529209,70.8532,0.998364,0.000511505
1,0,-0.00479601,0.00752272,-0.00971026,1.38567,0.0589364,24,27,30,0.996313,0.00423557,24.8484,0.996313,0.000578538
2,0,-0.0199711,0.0142157,-0.0028948,0.0730394,0.0643413,24,27,30,0.97975,0.00312372,44.2875,0.97975,0.000539821
3,0,-0.00635732,-0.00877883,0.00586056,-0.979027,0.0628716,27,30,33,0.998335,0.00383727,13.5615,0.998335,0.000845548
4,0,0.0201176,-0.0157916,0.00953693,-0.445869,0.0584822,24,27,30,0.996313,0.00276038,26.6137,0.996313,0.000552419
5,0,0.0146849,-0.00685475,-0.00267987,0.333517,0.0638763,24,27,30,0.996313,0.00305457,8.79868,0.996313,0.00100055
6,0,-0.00773678,-0.00711523,0.00786093,-0.9728,0.062425,28,31,34,0.998306,0.00402252,12.9067,0.998306,0.00089432
7,0,0.0187905,-0.00973662,-0.00292291,-0.975062,0.0580314,25,28,31,0.996312,0.00281041,35.3787,0.996312,0.000516564
8,0,-0.0113997,0.005841,0.00225232,-0.450601,0.0634146,25,28,31,0.996313,0.00364616,7.07981,0.996313,0.00107534
9,0,0.0203942,-0.0106219,-0.00242568,-0.711971,0.0619816,29,32,35,0.98517,0.00376343,18.2808,0.98517,0.000876462
10,0,0.00712779,-0.0119264,0.00690215,0.0777045,0.0575843,25,28,31,0.996312,0.00395638,33.3832,0.996312,0.000529442
11,0,-0.00978646,0.0132469,-0.00366039,1.1156,0.0629564,26,29,32,0.996312,0.00407465,37.9577,0.996312,0.000557908
12,0,-0.0160209,0.0157358,-0.00903825,-0.449215,0.0615415,29,32,35,0.98517,0.0053569,56.7247,0.98517,0.000588702
13,0,0.00854151,-0.0113918,0.0102305,0.338272,0.0571406,26,29,32,0.996311,0.0046087,46.0366,0.996311,0.000496019
14,0,0.0203032,-0.0112336,-0.0021048,-0.974242,0.0625014,26,29,32,0.996312,0.00329778,30.4291,0.996312,0.000649589
15,0,-0.00137652,-0.0118589,0.00213004,-0.979859,0.0611045,30,33,36,0.984364,0.00472549,17.5269,0.984364,0.000794975
16,0,0.0193908,-0.0139858,0.00541231,-0.445921,0.0567004,27,30,33,0.998364,0.00270989,16.1528,0.998364,0.00073373
17,0,-0.010665,0.00114832,0.00730969,-0.713937,0.0620498,27,30,33,0.996311,0.0041513,11.0222,0.996311,0.000972746
18,0,0.00297608,0.0110659,-0.00500362,0.0743702,0.0606707,30,33,36,0.984364,0.0049916,15.5356,0.984364,0.000856388
19,0,0.0179733,-0.00506183,-0.00623352,-0.975852,0.0562636,27,30,33,0.998335,0.00285876,25.073,0.998335,0.000597864
