// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.99896,8.38299,0.998904
1,individual,1,0.998234,19.4716,0.997829
2,individual,2,0.990951,7.88759,0.987019
3,shared,1,0.99894,23.6702,0.998871
4,individual,4,0.998247,11.7835,0.997834
5,individual,5,0.998234,7.79348,0.997829
6,shared,0,0.998673,22.19,0.998791
7,shared,1,0.998264,7.23836,0.997842
8,individual,8,0.998247,9.10255,0.997834
9,individual,9,0.989691,35.7491,0.987383
10,shared,0,0.998256,52.5118,0.997839
11,shared,1,0.998264,16.9007,0.997842
12,individual,12,0.989695,8.13854,0.987378
13,individual,13,0.998253,11.4914,0.997838
14,shared,0,0.998256,10.6312,0.997839
15,individual,15,0.989323,16.2484,0.986667
16,shared,0,0.998735,28.433,0.998842
17,individual,17,0.998253,15.0737,0.997838
18,individual,18,0.986929,13.2468,0.985303
19,shared,1,0.99874,9.38623,0.99882
20,shared,0,0.998709,19.7586,0.998337
21,individual,21,0.983095,69.3662,0.975882
22,shared,0,0.998673,30.9249,0.998791
23,shared,1,0.998651,12.1006,0.998248
