// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0122858,0.0130323,-0.0111146,-0.449162,0.0600345,27,30,33,0.998418,0.00511196,75.0773,0.998418,0.000455783
1,0,-0.00410574,0.00651398,-0.00897102,1.38571,0.055879,24,27,30,0.996312,0.00404661,23.6521,0.996312,0.000536071
2,0,-0.0187992,0.0137817,-0.00356785,0.0730805,0.0609946,24,27,30,0.98005,0.00299173,48.7226,0.98005,0.000477416
3,0,-0.0066738,-0.00768945,0.00617076,-0.978827,0.0596085,27,30,33,0.998391,0.0035962,13.9396,0.998391,0.00076962
4,0,0.019058,-0.0150922,0.00959662,-0.445858,0.0554487,24,27,30,0.996312,0.00270592,30.7751,0.996312,0.000472133
5,0,0.0143101,-0.00726595,-0.00171117,0.333596,0.0605542,24,27,30,0.996312,0.00280298,8.9019,0.996312,0.000907503
6,0,-0.00794608,-0.00598451,0.00785212,-0.972773,0.0591855,28,31,34,0.998362,0.00377802,13.4597,0.998362,0.000811026
7,0,0.0178065,-0.00983519,-0.00209728,-0.974892,0.0550219,25,28,31,0.996311,0.00270958,38.4707,0.996311,0.000461078
8,0,-0.0112267,0.00630374,0.00126508,-0.450558,0.060117,25,28,31,0.996312,0.003333,7.00594,0.996312,0.000978668
9,0,0.0194648,-0.0107834,-0.00137773,-0.711917,0.0587656,29,32,35,0.985535,0.00356092,19.3937,0.985535,0.000786485
10,0,0.00627281,-0.0109941,0.00712001,0.0777162,0.0545984,25,28,31,0.996311,0.00376455,34.1318,0.996311,0.000482094
11,0,-0.00877024,0.0124755,-0.00424684,1.11577,0.059683,25,28,31,0.996311,0.00387874,38.0143,0.996311,0.000511832
12,0,-0.0148498,0.0148059,-0.00925479,-0.449188,0.0583487,29,32,35,0.985535,0.00514853,64.0568,0.985535,0.00051434
13,0,0.00767361,-0.0103515,0.00988792,0.33832,0.0541782,26,29,32,0.99631,0.00443135,46.7145,0.99631,0.000450372
14,0,0.0192397,-0.0112587,-0.00119672,-0.974199,0.0592522,26,29,32,0.996311,0.00316761,32.9307,0.996311,0.000580165
15,0,-0.00200044,-0.0109476,0.00288797,-0.979638,0.0579349,30,33,36,0.984752,0.00446633,17.6041,0.984752,0.000728796
16,0,0.0184576,-0.0136205,0.00594915,-0.445908,0.0537613,27,30,33,0.998418,0.00254495,17.4259,0.998418,0.000646622
17,0,-0.0105792,0.00193439,0.00633867,-0.713851,0.0588245,27,30,33,0.99631,0.00390331,11.1409,0.99631,0.000887395
18,0,0.00348991,0.00999696,-0.0055464,0.074397,0.057524,30,33,36,0.984752,0.0046899,15.7828,0.984752,0.000782157
19,0,0.01717,-0.00560642,-0.00557677,-0.975662,0.0533476,27,30,33,0.998391,0.00276813,27.5367,0.998391,0.000532687
20,0,-0.00733581,0.0010404,0.00612283,-0.450643,0.0584,27,30,33,0.997515,0.00466465,10.1207,0.997515,0.000921188
21,0,-0.0178491,0.00631568,0.00581075,0.335133,0.0571161,31,34,37,0.963753,0.00402822,17.1727,0.963753,0.00084153
22,0,-0.00972927,0.0124109,-0.00368522,1.12486,0.0529372,28,31,34,0.998362,0.00424153,45.6342,0.998362,0.000453536
23,0,-0.0123258,0.0124869,3.32821e-05,1.1193,0.0579786,28,31,34,0.99747,0.00430163,53.7395,0.99747,0.000474767
0,1,0.00612647,-0.00106203,-0.00134088,-0.374316,0.0600376,27,30,33,0.998569,0.00184622,114.65,0.998569,0.000232646
1,1,0.00566173,-0.00339581,0.00033462,1.46243,0.0558819,24,27,30,0.99658,0.00234527,603.648,0.99658,0.000100701
2,1,0.00539871,-0.000164739,-0.00098205,0.146604,0.0609974,24,27,30,0.980659,0.00119528,114.935,0.980659,0.000190399
3,1,-0.0050374,0.0010847,0.000743731,-0.910153,0.0596115,27,30,33,0.998541,0.00237017,658.774,0.998541,9.91865e-05
4,1,-0.00458412,0.000398067,0.00144919,-0.368109,0.0554517,24,27,30,0.99658,0.00134037,69.6293,0.99658,0.000238596
5,1,0.00108901,-0.00278463,0.00126359,0.405821,0.0605571,24,27,30,0.99658,0.00225055,108.192,0.99658,0.000215531
6,1,-0.00536172,0.0013882,0.000878191,-0.897942,0.0591885,28,31,34,0.998513,0.00256119,645.972,0.998513,0.000107309
7,1,-0.00341367,-0.00134084,0.000595283,-0.902604,0.0550249,25,28,31,0.996579,0.00106427,90.9887,0.996579,0.00018336
8,1,-0.00312882,0.00347178,-0.00148808,-0.377073,0.06012,25,28,31,0.99658,0.00276231,187.773,0.99658,0.000186197
9,1,0.0016744,-0.0030478,0.000370183,-0.638043,0.0587686,29,32,35,0.985634,0.0025928,121.941,0.985634,0.000220551
10,1,-0.00586594,0.00128867,0.000953031,0.155439,0.0546014,25,28,31,0.996579,0.00197786,424.652,0.996579,0.000108675
11,1,0.00572082,-0.000520639,-0.000809357,1.1847,0.0596861,25,28,31,0.996579,0.00178897,349.219,0.996579,0.000123259
12,1,0.00318361,0.00154908,-0.00162414,-0.374369,0.0583517,29,32,35,0.985634,0.00182548,76.2299,0.985634,0.000276743
13,1,-0.00633671,0.00183671,0.0010089,0.414842,0.0541812,26,29,32,0.996578,0.00208121,244.769,0.996578,0.000148161
14,1,-0.00247112,-0.00180617,0.000637821,-0.900758,0.0592552,26,29,32,0.996579,0.00134995,80.1205,0.996579,0.000224917
15,1,-0.00532249,-0.000713991,0.000455711,-0.911784,0.0579378,30,33,36,0.984816,0.00214904,353.8,0.984816,0.000130684
16,1,-0.000810226,-0.00221357,0.00177893,-0.36821,0.0537643,27,30,33,0.998569,0.00211185,82.561,0.998569,0.000232965
17,1,-0.00464194,0.0032697,-0.000114973,-0.641879,0.0588276,27,30,33,0.996578,0.00282853,368.604,0.996578,0.000142197
18,1,0.00552828,0.000571969,-0.000721332,0.149201,0.0575269,30,33,36,0.984816,0.00228103,299.686,0.984816,0.000147822
19,1,6.85826e-05,-0.00226783,-0.000195113,-0.904144,0.0533506,27,30,33,0.998541,0.00165725,102.288,0.998541,0.000179333
20,1,-0.00598861,0.00349679,-0.000116291,-0.377243,0.058403,27,30,33,0.997606,0.00303853,557.07,0.997606,0.000129281
21,1,-0.00483261,0.00252215,0.000809201,0.408857,0.0571189,31,34,37,0.964833,0.00326395,388.301,0.964833,0.000148368
22,1,0.00479587,0.000826739,-0.000896332,1.20253,0.0529402,28,31,34,0.998513,0.001543,139.522,0.998513,0.000169568
23,1,0.00421964,0.00132581,-0.000422537,1.19144,0.0579816,28,31,34,0.997555,0.00134992,120.669,0.997555,0.000189125
0,2,-0.00032715,-0.000261652,5.33624e-05,-0.29915,0.06004,27,30,33,0.998677,0.000275082,79.9642,0.998677,3.57707e-05
1,2,-0.000772782,0.000142822,5.6829e-05,1.53914,0.0558836,23,26,29,0.996797,0.00026642,60.1816,0.996797,1.35966e-05
2,2,-0.000533581,-0.000141803,3.47066e-05,0.220489,0.0609992,23,26,29,0.981166,0.000127445,39.5702,0.981166,2.69373e-05
3,2,0.000515276,8.86626e-05,2.66229e-05,-0.841249,0.059614,27,30,33,0.998649,0.000130556,32.6098,0.998649,1.89685e-05
4,2,0.000393788,0.000229244,-0.000122613,-0.290358,0.0554537,24,27,30,0.996796,0.000278392,74.0842,0.996796,3.27243e-05
5,2,-0.000334655,0.000259475,-1.38333e-05,0.478395,0.0605592,24,27,30,0.996797,0.000365651,61.1017,0.996797,1.87058e-05
6,2,0.000528981,0.000110324,2.32647e-05,-0.822791,0.059191,28,31,34,0.998621,0.000132743,44.967,0.998621,2.28116e-05
7,2,0.000172811,0.000188004,4.51012e-06,-0.83034,0.055027,25,28,31,0.996796,0.000212531,33.0934,0.996796,2.29407e-05
8,2,0.000629164,-0.000274145,-7.90794e-06,-0.303223,0.0601222,25,28,31,0.996796,0.000382533,78.2876,0.996796,1.36018e-05
9,2,-0.000684589,0.000108525,4.8693e-05,-0.563864,0.058771,28,31,34,0.985719,0.00036594,76.0086,0.985719,1.2407e-05
10,2,0.000602763,0.000114417,-1.08522e-05,0.233163,0.0546036,25,28,31,0.996795,0.000126855,45.4416,0.996795,2.11343e-05
11,2,-0.000500994,-0.000127931,-1.09037e-05,1.2539,0.0596883,25,28,31,0.996796,9.33548e-05,33.2993,0.996796,2.24874e-05
12,2,0.000439902,-0.000297453,-5.49002e-05,-0.299229,0.0583541,29,32,35,0.985719,0.000457294,97.1941,0.985719,2.18302e-05
13,2,0.000596934,0.000156869,-5.71258e-05,0.49136,0.0541834,26,29,32,0.996795,0.000162359,69.28,0.996795,2.84787e-05
14,2,-9.45912e-05,0.000204795,1.61778e-05,-0.826957,0.0592576,26,29,32,0.996795,0.000304513,42.7669,0.996795,2.23978e-05
15,2,7.38173e-05,0.00012179,5.07219e-05,-0.843704,0.0579401,30,33,36,0.984865,0.000207697,30.2101,0.984865,2.50932e-05
16,2,-0.000420487,0.000336782,-1.57877e-06,-0.290509,0.0537665,26,29,32,0.998677,0.000430222,90.9804,0.998677,1.90625e-05
17,2,0.00073302,-6.51074e-05,-4.6178e-05,-0.569558,0.0588299,26,29,32,0.996795,0.000279942,71.5272,0.996795,1.71729e-05
18,2,-8.65293e-06,-0.000149299,-6.02464e-05,0.224323,0.0575292,30,33,36,0.984865,0.000257392,43.2418,0.984865,2.66367e-05
19,2,-0.000414888,9.78161e-05,1.89757e-05,-0.832647,0.0533529,27,30,33,0.998649,0.000317346,34.5656,0.998649,9.96551e-06
20,2,0.000763795,1.05514e-05,-7.47151e-05,-0.303479,0.0584054,27,30,33,0.997688,0.000222815,89.3635,0.997688,2.73558e-05
21,2,0.000548082,0.000141013,5.23245e-07,0.482886,0.0571212,31,34,37,0.965788,0.000183202,81.0139,0.965788,2.88444e-05
22,2,-6.36949e-05,-0.000213921,-4.42876e-05,1.28021,0.0529425,28,31,34,0.998621,0.000252426,47.7553,0.998621,2.4375e-05
23,2,3.05889e-05,-0.000161382,-4.22681e-05,1.26361,0.057984,28,31,34,0.99763,0.00026143,33.4296,0.99763,2.30233e-05
0,3,-1.29024e-05,-2.37362e-05,-8.51663e-07,-0.223726,0.0600418,27,30,33,0.998756,1.01535e-05,0.0172725,0.998756,1.17314e-07
1,3,1.84846e-05,-2.18988e-05,-6.99542e-06,-0.478545,0.055884,23,26,29,0.996976,4.4541e-06,0.0157136,0.996976,5.53069e-07
2,3,-1.38891e-05,-2.0454e-05,8.86187e-06,0.294675,0.0609999,23,26,29,0.981595,6.25153e-06,0.00666188,0.981595,3.52001e-07
3,3,-2.49444e-05,-3.11677e-06,2.07403e-05,-0.772164,0.0596158,27,30,33,0.998728,7.53396e-06,0.00899667,0.998728,3.04268e-07
4,3,3.32864e-05,9.31192e-06,-1.95541e-05,-0.212608,0.0554545,24,27,30,0.996976,1.01426e-05,0.0250852,0.996976,1.97903e-07
5,3,4.09719e-05,-5.66543e-06,-2.19955e-05,0.55126,0.0605603,24,27,30,0.996976,3.0093e-06,0.020639,0.996976,4.54397e-07
6,3,-2.1628e-05,-2.60533e-06,2.10013e-05,-0.747385,0.0591928,28,31,34,0.9987,9.04295e-06,0.00707129,0.9987,2.77468e-07
7,3,1.83638e-05,2.15936e-05,-8.58072e-06,-0.758104,0.0550281,25,28,31,0.996975,4.88596e-06,0.00316877,0.996975,4.95864e-08
8,3,-3.86112e-05,1.10921e-05,2.09817e-05,-0.229071,0.0601236,25,28,31,0.996976,3.40472e-06,0.0270732,0.996976,7.59295e-07
9,3,2.14094e-05,1.98948e-05,-1.39975e-05,-0.48944,0.0587729,28,31,34,0.985792,8.72529e-06,0.0197572,0.985792,7.9051e-07
10,3,-1.50541e-05,1.80723e-05,1.18488e-05,0.310884,0.0546049,25,28,31,0.996975,7.53363e-06,0.00703507,0.996975,3.51171e-07
11,3,1.5707e-05,-1.86782e-05,-1.24375e-05,1.32334,0.0596899,25,28,31,0.996975,6.20733e-06,0.00372952,0.996975,2.93913e-07
12,3,-1.15438e-05,-2.77574e-05,-1.56673e-06,-0.223832,0.058356,29,32,35,0.985792,3.72371e-06,0.039118,0.985792,8.24526e-07
13,3,-1.97861e-06,2.07659e-05,6.37945e-06,-1.52653,0.0541849,26,29,32,0.996974,1.07197e-05,0.00924801,0.996974,2.96215e-07
14,3,2.19019e-05,2.20943e-05,-8.65677e-06,-0.752855,0.0592593,26,29,32,0.996975,2.74352e-06,0.00935108,0.996975,3.31857e-07
15,3,-1.77298e-05,-1.85593e-06,2.08507e-05,-0.775447,0.057942,30,33,36,0.984899,3.13284e-06,0.00293275,0.984899,3.0191e-07
16,3,3.89595e-05,1.41713e-05,-1.93566e-05,-0.212809,0.0537681,26,29,32,0.998756,2.84131e-06,0.038572,0.998756,7.31849e-07
17,3,-3.00751e-05,2.73063e-06,2.13287e-05,-0.496947,0.0588317,26,29,32,0.996974,9.1997e-06,0.0136144,0.996974,7.26264e-07
18,3,1.62575e-05,8.97068e-07,-2.12066e-05,0.299701,0.0575311,30,33,36,0.984899,2.42211e-06,0.002939,0.984899,3.9163e-07
19,3,1.82005e-05,2.28914e-05,-8.33077e-06,-0.761175,0.0533545,27,30,33,0.998728,3.37535e-06,0.00977489,0.998728,4.53797e-07
20,3,-2.07775e-05,8.92285e-06,1.99804e-05,-0.229412,0.0584072,27,30,33,0.997762,1.2324e-05,0.0210207,0.997762,6.45633e-07
21,3,-6.53639e-06,-1.71119e-05,1.41889e-05,0.557158,0.0571231,31,34,37,0.966639,9.36978e-06,0.0181742,0.966639,1.40522e-07
22,3,3.86047e-06,-2.0122e-05,-1.20542e-05,1.35788,0.0529441,28,31,34,0.9987,4.42656e-06,0.00620747,0.9987,2.72447e-07
23,3,6.86227e-06,-2.02682e-05,-1.23823e-05,1.3358,0.0579858,28,31,34,0.997698,2.30611e-06,0.00448315,0.997698,3.14368e-07
0,4,1.31785e-06,-1.97974e-05,-7.78636e-07,-0.148092,0.0600431,26,29,32,0.998814,9.32736e-07,0.000354428,0.998814,6.17785e-08
1,4,6.83995e-06,-1.99071e-05,-5.48767e-06,-0.40185,0.0558831,23,26,29,0.997126,1.01769e-06,0.000212758,0.997126,4.14943e-08
2,4,-1.63445e-05,-1.88885e-05,7.94598e-06,0.369115,0.0609995,23,26,29,0.982065,3.9055e-07,5.2973e-05,0.982065,5.12631e-08
3,4,-2.45605e-05,-8.72998e-07,1.70399e-05,-0.702935,0.0596172,27,30,33,0.998786,9.44529e-07,0.000682732,0.998786,4.9662e-08
4,4,2.30247e-05,1.0127e-05,-1.55922e-05,-0.134861,0.0554541,24,27,30,0.997126,9.89194e-07,0.000761049,0.997126,4.33975e-08
5,4,2.69283e-05,-4.27016e-06,-1.77358e-05,0.624373,0.0605603,24,27,30,0.997126,3.8716e-07,0.000163209,0.997126,5.48313e-08
6,4,-2.41138e-05,-7.67224e-07,1.76641e-05,-0.67177,0.0591943,28,31,34,0.998758,7.08954e-07,0.000461117,0.998758,3.85097e-08
7,4,1.38756e-05,1.76667e-05,-7.48888e-06,-0.685897,0.0550282,24,27,30,0.997125,2.68256e-07,0.000311825,0.997125,6.46964e-08
8,4,-2.22895e-05,9.69942e-06,1.63064e-05,-0.154661,0.0601241,25,28,31,0.997126,2.44948e-07,0.000206905,0.997126,8.09462e-08
9,4,1.469e-05,1.49266e-05,-1.17774e-05,-0.414818,0.0587743,28,31,34,0.985855,7.17203e-07,0.000382438,0.985855,3.23828e-08
10,4,-1.29569e-05,1.74448e-05,9.53908e-06,0.3886,0.0546053,25,28,31,0.997125,9.6737e-07,0.000290329,0.997125,3.94697e-08
11,4,1.34454e-05,-1.70421e-05,-9.88341e-06,1.39296,0.0596907,25,28,31,0.997125,7.26535e-07,0.000324335,0.997125,8.22056e-08
12,4,1.63439e-06,-1.96453e-05,-7.88382e-07,-0.148225,0.0583574,29,32,35,0.985855,8.27618e-07,0.000311201,0.985855,5.87287e-08
13,4,-7.29799e-06,1.88781e-05,5.52225e-06,-1.45002,0.0541855,26,29,32,0.997124,1.01569e-06,0.000238788,0.997124,3.10552e-08
14,4,1.20172e-05,1.81325e-05,-7.81743e-06,-0.678501,0.0592603,26,29,32,0.997125,3.45063e-07,0.000138597,0.997125,5.97532e-08
15,4,-2.37949e-05,-9.85992e-07,1.70161e-05,-0.70705,0.0579435,29,32,35,0.984921,8.73457e-07,0.000643882,0.984921,4.95848e-08
16,4,1.90585e-05,1.00224e-05,-1.54891e-05,-0.135113,0.0537689,26,29,32,0.998814,8.56798e-07,0.000656889,0.998814,4.1241e-08
17,4,-2.32846e-05,3.80498e-06,1.76463e-05,-0.424089,0.0588329,26,29,32,0.997124,4.32391e-07,0.000148033,0.997124,5.24073e-08
18,4,2.35645e-05,7.93968e-07,-1.76555e-05,0.375288,0.0575325,30,33,36,0.984921,6.25835e-07,0.000406216,0.984921,3.74088e-08
19,4,1.16763e-05,1.73815e-05,-7.37582e-06,-0.689731,0.0533554,27,30,33,0.998786,3.34272e-07,0.000393952,0.998786,6.58272e-08
20,4,-2.02837e-05,9.25447e-06,1.62602e-05,-0.155088,0.0584085,27,30,33,0.997829,2.64474e-07,0.000189812,0.997829,7.40983e-08
21,4,-1.43216e-05,-1.49207e-05,1.17581e-05,0.63163,0.0571245,31,34,37,0.967403,8.33032e-07,0.000422008,0.967403,2.93365e-08
22,4,1.26567e-05,-1.71033e-05,-9.53541e-06,1.43555,0.0529451,27,30,33,0.998758,8.86255e-07,0.000240211,0.998758,4.29782e-08
23,4,1.26675e-05,-1.68482e-05,-9.66336e-06,1.408,0.0579872,28,31,34,0.997759,6.68911e-07,0.000295099,0.997759,8.28348e-08
0,5,-2.14081e-06,-1.71269e-05,-4.82202e-07,-0.0722811,0.0600437,26,29,32,0.998856,6.9454e-07,0.000508341,0.998856,6.8209e-08
1,5,3.29975e-06,-1.78018e-05,-4.12962e-06,-0.325165,0.0558805,23,26,29,0.997254,6.0264e-07,0.000609868,0.997254,7.34063e-08
2,5,-1.53091e-05,-1.57355e-05,6.56416e-06,0.443772,0.0609976,23,26,29,0.98258,6.56692e-07,0.000172764,0.98258,8.23707e-08
3,5,-1.83866e-05,-1.5194e-06,1.45179e-05,-0.63359,0.059618,27,30,33,0.998829,6.04143e-07,0.000189765,0.998829,2.79112e-08
4,5,2.37661e-05,8.24565e-06,-1.33565e-05,-0.0571179,0.0554524,24,27,30,0.997253,1.82668e-07,0.000337889,0.997253,1.05193e-07
5,5,2.34536e-05,-4.9069e-06,-1.48769e-05,0.697698,0.0605593,24,27,30,0.997254,8.07755e-07,0.000694853,0.997254,6.6062e-08
6,5,-1.75673e-05,-8.13613e-07,1.4571e-05,-0.59598,0.0591952,28,31,34,0.998801,7.97955e-07,0.00031328,0.998801,2.61327e-08
7,5,1.12025e-05,1.52185e-05,-6.26754e-06,-0.613721,0.0550271,24,27,30,0.997253,8.15323e-07,0.000152632,0.997253,3.92286e-08
8,5,-1.87993e-05,9.37894e-06,1.38041e-05,-0.0800312,0.0601236,24,27,30,0.997253,7.66858e-07,0.000621462,0.997253,6.23687e-08
9,5,1.31352e-05,1.14055e-05,-1.01726e-05,-0.340031,0.0587754,28,31,34,0.985909,3.44772e-07,0.000457997,0.985909,9.74947e-08
10,5,-9.42035e-06,1.40062e-05,7.8757e-06,0.466311,0.0546048,25,28,31,0.997253,3.27488e-07,0.000361627,0.997253,6.07527e-08
11,5,1.13379e-05,-1.38599e-05,-8.55048e-06,1.46273,0.0596906,25,28,31,0.997253,2.96261e-07,0.000145697,0.997253,5.77578e-08
12,5,-1.66072e-06,-1.6838e-05,-4.99288e-07,-0.0724415,0.0583585,29,32,35,0.985909,6.95676e-07,0.00050996,0.985909,6.47032e-08
13,5,-3.143e-06,1.61247e-05,4.15302e-06,-1.37353,0.0541854,26,29,32,0.997252,6.08421e-07,0.000586158,0.997252,6.54627e-08
14,5,9.94519e-06,1.44849e-05,-6.35407e-06,-0.60393,0.0592606,26,29,32,0.997253,6.51784e-07,0.00016292,0.997253,6.87946e-08
15,5,-1.71925e-05,-1.64744e-06,1.44819e-05,-0.638538,0.0579446,29,32,35,0.984932,6.01139e-07,0.000188106,0.984932,2.79463e-08
16,5,1.80784e-05,7.96578e-06,-1.31479e-05,-0.0574204,0.053769,26,29,32,0.998856,1.8345e-07,0.000316392,0.998856,9.52634e-08
17,5,-1.80324e-05,4.2871e-06,1.46962e-05,-0.351019,0.0588334,26,29,32,0.997252,8.10061e-07,0.000668032,0.997252,6.06957e-08
18,5,1.67206e-05,8.58824e-07,-1.4553e-05,0.451048,0.0575337,30,33,36,0.984932,7.9799e-07,0.000313385,0.984932,2.51426e-08
19,5,8.16962e-06,1.46377e-05,-6.10975e-06,-0.618316,0.0533557,27,30,33,0.998829,8.13244e-07,0.000138465,0.998829,3.20875e-08
20,5,-1.54901e-05,8.73396e-06,1.37048e-05,-0.0805447,0.0584092,27,30,33,0.997891,7.69416e-07,0.000606854,0.997891,5.9492e-08
21,5,-1.25599e-05,-1.13706e-05,1.01507e-05,0.706265,0.0571257,31,34,37,0.968166,3.45006e-07,0.00045417,0.968166,9.39524e-08
22,5,8.63624e-06,-1.34058e-05,-7.85851e-06,1.51322,0.0529456,27,30,33,0.998801,3.28114e-07,0.000349625,0.998801,5.68976e-08
23,5,9.99246e-06,-1.34151e-05,-8.31884e-06,1.4802,0.057988,27,30,33,0.997815,2.85339e-07,0.000145956,0.997815,5.51472e-08
0,6,-2.96097e-07,-1.44774e-05,-7.38028e-08,0.0036779,0.0600438,26,29,32,0.998887,5.82369e-07,0.000197852,0.998887,5.84402e-08
1,6,5.23147e-06,-1.67126e-05,-3.52981e-06,-0.248492,0.0558762,23,26,29,0.997363,6.59765e-07,0.000130499,0.997363,4.45369e-08
2,6,-1.72983e-05,-1.51893e-05,6.37699e-06,0.518617,0.0609944,23,26,29,0.983096,3.60816e-07,3.97841e-05,0.983096,2.30539e-08
3,6,-1.89695e-05,-3.63485e-07,1.25604e-05,-0.564149,0.0596183,27,30,33,0.99886,6.31779e-07,0.000263366,0.99886,2.48633e-08
4,6,2.35882e-05,7.19368e-06,-1.1825e-05,0.0206201,0.0554492,24,27,30,0.997363,7.16022e-07,0.000407477,0.997363,3.50632e-08
5,6,2.53257e-05,-4.15667e-06,-1.29899e-05,0.771208,0.060557,24,27,30,0.997363,2.46282e-07,0.000133567,0.997363,4.30082e-08
6,6,-1.7991e-05,-1.49193e-07,1.29347e-05,-0.520044,0.0591957,27,30,33,0.998833,4.18527e-07,0.000183338,0.998833,3.03636e-08
7,6,1.35465e-05,1.36973e-05,-5.90903e-06,-0.541578,0.0550248,24,27,30,0.997363,1.60024e-07,0.000105681,0.997363,4.04351e-08
8,6,-1.95364e-05,8.19777e-06,1.16983e-05,-0.00520982,0.060122,24,27,30,0.997363,2.02085e-07,0.000198116,0.997363,5.90459e-08
9,6,1.11999e-05,1.029e-05,-8.79248e-06,-0.265106,0.058776,28,31,34,0.985955,6.3627e-07,0.000251135,0.985955,2.32444e-08
10,6,-1.01774e-05,1.3656e-05,6.65517e-06,-1.55038,0.0546031,25,28,31,0.997362,7.03358e-07,8.89064e-05,0.997362,1.08486e-08
11,6,1.10848e-05,-1.33025e-05,-7.1051e-06,1.53262,0.0596897,25,28,31,0.997363,5.94167e-07,0.000127645,0.997363,4.33255e-08
12,6,2.85255e-07,-1.40089e-05,-9.80314e-08,0.00349019,0.0583592,29,32,35,0.985955,5.80963e-07,0.000191282,0.985955,5.42224e-08
13,6,-4.67117e-06,1.42279e-05,3.53305e-06,-1.29705,0.0541843,25,28,31,0.997362,6.54648e-07,0.000124862,0.997362,3.59155e-08
14,6,1.07259e-05,1.33512e-05,-6.05774e-06,-0.529171,0.0592601,26,29,32,0.997362,3.5528e-07,6.44505e-05,0.997362,3.29092e-08
15,6,-1.72199e-05,-5.07609e-07,1.24994e-05,-0.569933,0.0579453,29,32,35,0.984935,6.33724e-07,0.000264142,0.984935,2.42349e-08
16,6,1.60362e-05,6.68233e-06,-1.14653e-05,0.020267,0.0537683,26,29,32,0.998887,7.119e-07,0.000377121,0.998887,2.90055e-08
17,6,-1.81793e-05,3.33252e-06,1.2682e-05,-0.277763,0.0588333,26,29,32,0.997362,2.45337e-07,0.000154497,0.997362,4.46764e-08
18,6,1.67178e-05,2.12911e-07,-1.28991e-05,0.526954,0.0575344,30,33,36,0.984935,4.18594e-07,0.000186425,0.984935,3.03679e-08
19,6,9.59943e-06,1.27193e-05,-5.6808e-06,-0.546932,0.0533554,27,30,33,0.99886,1.62552e-07,0.000129109,0.99886,4.39626e-08
20,6,-1.5002e-05,7.2797e-06,1.15193e-05,-0.00580961,0.0584093,27,30,33,0.997948,2.02012e-07,0.000197616,0.997948,5.74436e-08
21,6,-1.03541e-05,-1.0217e-05,8.75985e-06,0.781038,0.0571265,30,33,36,0.968965,6.35517e-07,0.000252197,0.968965,2.28348e-08
22,6,8.88996e-06,-1.27009e-05,-6.61034e-06,-0.503517,0.0529455,27,30,33,0.998833,7.01281e-07,8.34324e-05,0.998833,1.17203e-08
23,6,9.22311e-06,-1.25594e-05,-6.84294e-06,1.55241,0.0579883,27,30,33,0.997867,6.00458e-07,0.000121268,0.997867,4.16773e-08
0,7,-2.65e-06,-1.35056e-05,-3.67219e-08,0.0797636,0.0600431,26,29,32,0.99891,5.87505e-07,0.000252312,0.99891,4.41713e-08
1,7,3.16077e-06,-1.66051e-05,-2.86996e-06,-0.17183,0.0558699,23,26,29,0.997459,5.18706e-07,0.000366455,0.997459,5.73157e-08
2,7,-1.76802e-05,-1.38434e-05,5.59603e-06,0.593626,0.0609895,23,26,29,0.983594,4.47471e-07,0.000179373,0.983594,7.9676e-08
3,7,-1.55883e-05,-9.45229e-07,1.1154e-05,-0.494631,0.059618,27,30,33,0.998883,5.34762e-07,0.000116752,0.998883,1.71728e-08
4,7,2.61399e-05,6.67276e-06,-1.07452e-05,0.0983527,0.0554443,24,27,30,0.997458,1.4207e-07,0.000179893,0.997458,8.45122e-08
5,7,2.47614e-05,-4.85253e-06,-1.16359e-05,0.844881,0.0605533,24,27,30,0.997459,5.90694e-07,0.000414928,0.997459,5.55056e-08
6,7,-1.45103e-05,-1.51326e-07,1.10983e-05,-0.443984,0.0591956,27,30,33,0.998856,6.30439e-07,0.000209155,0.998856,2.42437e-08
7,7,1.25983e-05,1.27571e-05,-5.15324e-06,-0.469468,0.055021,24,27,30,0.997459,6.01715e-07,4.84051e-05,0.997459,4.34531e-08
8,7,-1.88147e-05,8.36984e-06,1.05304e-05,0.0697794,0.0601193,24,27,30,0.997458,5.38714e-07,0.000325908,0.997458,4.89056e-08
9,7,1.12563e-05,8.41721e-06,-7.95175e-06,-0.190065,0.0587761,28,31,34,0.985996,2.18748e-07,0.000269464,0.985996,7.33736e-08
10,7,-8.23792e-06,1.19776e-05,5.77263e-06,-1.47268,0.0546003,25,28,31,0.997458,3.0938e-07,0.000265744,0.997458,5.0667e-08
