// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998959,8.22926,0.998904
1,individual,1,0.998234,19.0335,0.997828
2,individual,2,0.990941,7.71857,0.987008
3,shared,1,0.998939,23.0681,0.998871
4,individual,4,0.998247,11.7326,0.997833
5,individual,5,0.998234,7.68225,0.997828
6,shared,0,0.998674,21.5442,0.998791
7,shared,1,0.998264,7.17024,0.997841
8,individual,8,0.998247,8.98355,0.997833
9,individual,9,0.989684,36.5989,0.987379
10,shared,0,0.998256,50.5521,0.997838
11,shared,1,0.998264,16.2844,0.997841
12,individual,12,0.989689,8.10861,0.987373
13,individual,13,0.998253,11.1867,0.997837
14,shared,0,0.998256,10.623,0.997838
15,individual,15,0.989316,15.7985,0.986662
16,shared,0,0.998735,29.3548,0.998842
17,individual,17,0.998253,14.6842,0.997837
18,individual,18,0.986921,12.8108,0.985298
19,shared,1,0.998741,9.64623,0.998821
20,shared,0,0.998708,19.2284,0.998337
21,individual,21,0.98308,68.2868,0.975867
22,shared,0,0.998674,29.5985,0.998791
23,shared,1,0.99865,11.6416,0.998247
