// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0129861,0.0137771,-0.0117437,-0.449164,0.0633728,27,30,33,0.998417,0.00540106,71.108,0.998417,0.000508287
1,0,-0.00434429,0.00688842,-0.00947758,1.38571,0.0589816,24,27,30,0.99631,0.00427542,22.399,0.99631,0.000597772
2,0,-0.0198626,0.0145683,-0.00377126,0.073078,0.0643873,24,27,30,0.980042,0.003161,46.11,0.980042,0.000532591
3,0,-0.00704347,-0.00812445,0.00651729,-0.978828,0.0629226,27,30,33,0.99839,0.00379937,13.1971,0.99839,0.000858324
4,0,0.0201321,-0.0159524,0.010144,-0.445858,0.058527,24,27,30,0.99631,0.00285861,29.1193,0.99631,0.000526631
5,0,0.0151113,-0.00767809,-0.00180395,0.333594,0.0639219,24,27,30,0.99631,0.00296199,8.42595,0.99631,0.00101221
6,0,-0.00838745,-0.00632269,0.00829373,-0.972775,0.0624757,28,31,34,0.998361,0.00399184,12.7429,0.998361,0.000904508
7,0,0.0188134,-0.0103976,-0.00221515,-0.974892,0.0580759,25,28,31,0.996309,0.00286337,36.4152,0.996309,0.000514281
8,0,-0.011853,0.00665976,0.00133245,-0.450561,0.06346,25,28,31,0.99631,0.00352198,6.63072,0.99631,0.00109157
9,0,0.020564,-0.0114,-0.00145374,-0.711918,0.0620319,29,32,35,0.985533,0.00376234,18.3491,0.985533,0.000877321
10,0,0.00663513,-0.0116214,0.00752118,0.0777161,0.0576284,25,28,31,0.996309,0.00397694,32.3207,0.996309,0.000537578
11,0,-0.00927356,0.0131866,-0.00448525,1.11577,0.0630014,25,28,31,0.996309,0.00409774,35.9911,0.996309,0.000570839
12,0,-0.0156956,0.0156513,-0.0097784,-0.44919,0.0615914,29,32,35,0.985533,0.0054396,60.6388,0.985533,0.000573656
13,0,0.00811447,-0.0109435,0.0104465,0.33832,0.0571844,26,29,32,0.996308,0.00468183,44.2458,0.996308,0.000502174
14,0,0.020328,-0.0119023,-0.00126346,-0.974201,0.0625461,26,29,32,0.996309,0.003347,31.1623,0.996309,0.000647185
15,0,-0.00210512,-0.0115673,0.00304836,-0.97964,0.0611541,30,33,36,0.98475,0.00471869,16.6662,0.98475,0.000812764
16,0,0.0194975,-0.0143973,0.00628967,-0.445908,0.0567438,27,30,33,0.998417,0.00268855,16.4869,0.998417,0.000721224
17,0,-0.0111689,0.00204422,0.00669383,-0.713854,0.0620942,27,30,33,0.996308,0.00412469,10.5454,0.996308,0.000989734
18,0,0.00367861,0.0105627,-0.00585728,0.0743952,0.0607199,30,33,36,0.98475,0.00495525,14.9421,0.98475,0.000872277
19,0,0.0181408,-0.00592904,-0.00589193,-0.975662,0.0563067,27,30,33,0.99839,0.00292529,26.0643,0.99839,0.000594118
20,0,-0.00774145,0.00109798,0.00646564,-0.450645,0.0616456,27,30,33,0.997513,0.00492913,9.579,0.997513,0.00102742
21,0,-0.0188567,0.00667896,0.00613812,0.335131,0.0602889,31,34,37,0.963739,0.00425643,16.2483,0.963739,0.000938689
22,0,-0.0102876,0.0131186,-0.00389163,1.12486,0.0558731,28,31,34,0.998361,0.00448091,43.2067,0.998361,0.000505749
23,0,-0.0130307,0.0131986,3.75497e-05,1.1193,0.0612003,28,31,34,0.997469,0.00454464,50.8727,0.997469,0.000529525
0,1,0.00647361,-0.00111941,-0.00141658,-0.37432,0.0633762,27,30,33,0.998568,0.00195098,108.784,0.998568,0.000259502
1,1,0.00598161,-0.00358581,0.000354469,1.46243,0.0589849,24,27,30,0.996578,0.00247836,584.359,0.996578,0.00011231
2,1,0.00570592,-0.000171611,-0.00103851,0.146599,0.0643905,24,27,30,0.980651,0.00126294,109.285,0.980651,0.00021239
3,1,-0.00531977,0.0011466,0.000783819,-0.910157,0.062926,27,30,33,0.99854,0.00250464,640.82,0.99854,0.000110643
4,1,-0.00484678,0.000418993,0.00153332,-0.368109,0.0585303,24,27,30,0.996578,0.00141631,66.0081,0.996578,0.000266138
5,1,0.00114757,-0.00294212,0.00133755,0.405816,0.0639252,24,27,30,0.996578,0.00237828,102.708,0.996578,0.000240439
6,1,-0.00566254,0.00146731,0.000925831,-0.897946,0.062479,28,31,34,0.998512,0.00270655,624.999,0.998512,0.000119701
7,1,-0.00360833,-0.00141931,0.000629813,-0.902604,0.0580793,25,28,31,0.996577,0.00112462,86.4511,0.996577,0.000204513
8,1,-0.00330325,0.00366743,-0.00157473,-0.377078,0.0634633,25,28,31,0.996578,0.00291907,178.543,0.996578,0.00020772
9,1,0.00176734,-0.00322275,0.000392558,-0.638047,0.0620353,29,32,35,0.985633,0.00273986,115.705,0.985633,0.000246034
