// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998961,8.80267,0.998903
1,individual,1,0.998238,18.7145,0.997754
2,individual,2,0.990648,8.21341,0.986585
3,shared,1,0.998942,22.6214,0.998873
4,individual,4,0.998251,12.3111,0.997759
5,individual,5,0.998238,8.38291,0.997754
6,shared,0,0.998748,21.1561,0.998814
7,shared,1,0.998269,7.87986,0.997766
8,individual,8,0.998251,9.59046,0.997759
9,individual,9,0.989459,35.5107,0.987214
10,shared,0,0.99826,52.5154,0.997763
11,shared,1,0.998269,16.7664,0.997766
12,individual,12,0.989463,8.88315,0.98721
13,individual,13,0.998257,11.6748,0.997762
14,shared,0,0.99826,11.0808,0.997763
15,individual,15,0.989057,16.4571,0.986461
16,shared,0,0.998798,29.9061,0.998864
17,individual,17,0.998257,15.0635,0.997762
18,individual,18,0.986671,13.3236,0.985169
19,shared,1,0.998799,10.9298,0.998841
20,shared,0,0.998684,19.0505,0.998293
21,individual,21,0.982433,69.0393,0.974975
22,shared,0,0.998748,31.125,0.998814
23,shared,1,0.998621,12.3185,0.998201
