// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0123544,0.0132537,-0.0114734,-0.449358,0.0598744,27,30,33,0.998398,0.0051923,73.9392,0.998398,0.000463804
1,0,-0.0041496,0.00665041,-0.00928785,1.38572,0.0557302,24,27,30,0.996106,0.00411076,23.7767,0.996106,0.000542134
2,0,-0.0189174,0.0140813,-0.00370411,0.0728356,0.060832,24,27,30,0.979529,0.00305906,46.8056,0.979529,0.000491218
3,0,-0.00668484,-0.00792851,0.00650431,-0.978976,0.0594495,27,30,33,0.99837,0.00366087,13.9402,0.99837,0.000781503
4,0,0.0191175,-0.0152898,0.00985258,-0.445857,0.0553012,24,27,30,0.996106,0.00276385,30.4142,0.996106,0.000477998
5,0,0.0143459,-0.00734996,-0.00181097,0.333364,0.0603927,24,27,30,0.996106,0.00285826,8.89913,0.996106,0.000918511
6,0,-0.00796136,-0.00616285,0.00823876,-0.97297,0.0590277,28,31,34,0.998342,0.00384257,13.5366,0.998342,0.000821583
7,0,0.0179168,-0.010044,-0.00223529,-0.974875,0.0548754,25,28,31,0.996105,0.00279413,37.8453,0.996105,0.000470673
8,0,-0.0112393,0.00635534,0.00134308,-0.450803,0.0599567,25,28,31,0.996106,0.00337503,6.98558,0.996106,0.000989732
9,0,0.0195443,-0.0109471,-0.00146898,-0.712105,0.0586089,29,32,35,0.985419,0.00366795,19.2527,0.985419,0.000798452
10,0,0.00633476,-0.0112427,0.00741774,0.0777176,0.0544531,25,28,31,0.996105,0.00381585,33.6535,0.996105,0.000491677
11,0,-0.00885995,0.0128045,-0.00444605,1.11557,0.0595238,25,28,31,0.996105,0.00394496,36.8748,0.996105,0.000525664
12,0,-0.014923,0.015041,-0.00953457,-0.449385,0.0581932,29,32,35,0.985419,0.00522222,61.7303,0.985419,0.000526844
13,0,0.00772793,-0.0105382,0.010217,0.338325,0.054034,26,29,32,0.996104,0.00449667,46.6156,0.996104,0.000456433
14,0,0.0193527,-0.0114868,-0.00129058,-0.974443,0.0590942,26,29,32,0.996105,0.00326393,32.3534,0.996105,0.000592315
15,0,-0.00197799,-0.0112584,0.00301888,-0.979784,0.0577804,30,33,36,0.984637,0.00455917,17.5436,0.984637,0.000741048
16,0,0.0185098,-0.0137872,0.00608929,-0.445907,0.0536182,27,30,33,0.998398,0.00259323,17.1924,0.998398,0.000655309
17,0,-0.0105961,0.00192595,0.00659563,-0.714082,0.0586677,27,30,33,0.996104,0.00398453,11.2398,0.996104,0.000896272
18,0,0.00347683,0.0102576,-0.00579801,0.0742004,0.0573707,30,33,36,0.984637,0.00477052,15.7191,0.984637,0.000794544
19,0,0.0172687,-0.00570618,-0.00587929,-0.975647,0.0532057,27,30,33,0.99837,0.00286094,27.4914,0.99837,0.000540534
20,0,-0.00733314,0.00101523,0.00634201,-0.450887,0.0582443,27,30,33,0.997427,0.00474145,10.1735,0.997427,0.000930142
21,0,-0.0179153,0.00639231,0.00606253,0.334945,0.0569639,31,34,37,0.962452,0.00415556,17.2585,0.962452,0.000850854
22,0,-0.00980507,0.0126739,-0.00381717,1.12486,0.0527964,28,31,34,0.998342,0.00431057,44.053,0.998342,0.000465465
23,0,-0.0124346,0.0127978,7.32581e-05,1.11929,0.057824,28,31,34,0.997382,0.00439541,51.6857,0.997382,0.000488549
0,1,0.00649085,-0.00113612,-0.00153131,-0.374681,0.0598778,27,30,33,0.998547,0.00200979,110.757,0.998547,0.000246999
1,1,0.00602268,-0.00370945,0.000370786,1.46244,0.0557336,24,27,30,0.996386,0.00248367,548.905,0.996386,0.000110393
2,1,0.00575412,-0.000159592,-0.0011507,0.146148,0.0608353,24,27,30,0.980176,0.0013137,111.826,0.980176,0.000202296
3,1,-0.00541299,0.00120451,0.000877919,-0.910427,0.0594529,27,30,33,0.998519,0.00252397,596.03,0.998519,0.000110168
4,1,-0.00483196,0.00040844,0.00164497,-0.368107,0.0553046,24,27,30,0.996385,0.00145362,67.7835,0.996385,0.000252097
5,1,0.00118719,-0.0030708,0.00144353,0.405389,0.0603961,24,27,30,0.996386,0.00236803,103.941,0.996386,0.000229563
6,1,-0.00574467,0.00153441,0.00102745,-0.898307,0.059031,28,31,34,0.998491,0.00272807,584.586,0.998491,0.000118389
7,1,-0.00362658,-0.00151304,0.000696133,-0.902569,0.0548788,25,28,31,0.996385,0.00116145,88.472,0.996385,0.000194814
8,1,-0.00334555,0.00379914,-0.00168041,-0.377529,0.0599601,25,28,31,0.996385,0.00290904,178.16,0.996385,0.000199112
9,1,0.00181175,-0.00336567,0.000417977,-0.638393,0.0586122,29,32,35,0.98553,0.00273955,116.095,0.98553,0.000235521
10,1,-0.00625338,0.00140793,0.00110664,0.155442,0.0544565,25,28,31,0.996384,0.00212085,400.102,0.996384,0.000117377
11,1,0.00612341,-0.000561801,-0.000952279,1.18432,0.0595273,25,28,31,0.996385,0.00192926,332.137,0.996385,0.000132943
12,1,0.00335139,0.00172118,-0.00184194,-0.374734,0.0581964,29,32,35,0.98553,0.00197369,73.8376,0.98553,0.000293204
13,1,-0.00671944,0.00198969,0.00115426,0.414852,0.0540374,26,29,32,0.996384,0.00223647,233.105,0.996384,0.000158298
14,1,-0.00261303,-0.00202604,0.000740889,-0.901213,0.0590976,26,29,32,0.996384,0.00145089,77.562,0.996384,0.000239149
15,1,-0.00569914,-0.00081606,0.000529517,-0.912051,0.0577837,30,33,36,0.984714,0.00232505,337.518,0.984714,0.000141015
16,1,-0.000829455,-0.00243026,0.00200488,-0.368207,0.0536216,27,30,33,0.998547,0.00223603,80.1117,0.998547,0.000246429
17,1,-0.0049543,0.00358765,-0.000125391,-0.642308,0.0586711,27,30,33,0.996384,0.00299004,338.265,0.996384,0.000154338
18,1,0.00590306,0.000654094,-0.000835684,0.148836,0.0573739,30,33,36,0.984714,0.00246044,283.249,0.984714,0.000159258
19,1,0.000100196,-0.00253468,-0.000233643,-0.904111,0.053209,27,30,33,0.998519,0.00176276,99.1757,0.998519,0.000191099
20,1,-0.00636367,0.0038095,-0.000123137,-0.377697,0.0582477,27,30,33,0.997525,0.00321769,501.311,0.997525,0.00014134
21,1,-0.00516211,0.00277123,0.000934501,0.408508,0.056967,31,34,37,0.963619,0.00346265,356.505,0.963619,0.000160881
22,1,0.00509466,0.000936026,-0.0010327,1.20254,0.0527997,28,31,34,0.998491,0.00168161,134.418,0.998491,0.000180492
23,1,0.00449673,0.00150151,-0.000488988,1.19143,0.0578274,28,31,34,0.997473,0.00148961,117.38,0.997473,0.000201412
0,2,-0.000379242,-0.000317967,6.97177e-05,-0.299662,0.0598805,27,30,33,0.998654,0.000312825,101.978,0.998654,4.14898e-05
1,2,-0.000914205,0.000182294,7.83561e-05,1.53916,0.0557359,23,26,29,0.996614,0.000312988,83.8386,0.996614,1.60307e-05
2,2,-0.000625768,-0.000173254,4.25829e-05,0.219849,0.0608376,24,27,30,0.980719,0.000147306,54.2089,0.980719,3.12917e-05
3,2,0.000623432,0.000115918,2.70341e-05,-0.841626,0.0594556,27,30,33,0.998627,0.000164309,47.2572,0.998627,2.21302e-05
4,2,0.000448952,0.000279975,-0.000150689,-0.290354,0.055307,24,27,30,0.996613,0.000314173,94.0793,0.996613,3.78115e-05
5,2,-0.000408765,0.000323618,-8.03351e-06,0.477789,0.0603986,24,27,30,0.996614,0.000418465,84.6307,0.996614,2.22045e-05
6,2,0.000635927,0.000142519,2.20805e-05,-0.823304,0.0590337,28,31,34,0.998599,0.000166893,63.5149,0.998599,2.65667e-05
7,2,0.00019633,0.000231849,1.07051e-05,-0.830285,0.0548813,25,28,31,0.996612,0.000240238,46.2269,0.996612,2.69098e-05
8,2,0.000750467,-0.000339794,-1.96439e-05,-0.303864,0.0599627,25,28,31,0.996613,0.00044118,108.68,0.996613,1.64888e-05
9,2,-0.000816335,0.000126584,7.08097e-05,-0.564353,0.0586149,28,31,34,0.985625,0.000427506,107.416,0.985625,1.50241e-05
10,2,0.000716986,0.000138952,-1.98017e-05,0.233167,0.054459,25,28,31,0.996612,0.000157319,63.1924,0.996612,2.45261e-05
11,2,-0.000599652,-0.000157492,-9.36797e-06,1.25339,0.0595299,25,28,31,0.996612,0.000116375,47.2024,0.996612,2.62059e-05
12,2,0.000523286,-0.000359009,-7.20436e-05,-0.299742,0.0581991,29,32,35,0.985625,0.000524329,132.568,0.985625,2.5853e-05
13,2,0.000701035,0.000189414,-7.7541e-05,0.491375,0.0540399,26,29,32,0.996611,0.000192319,90.8048,0.996611,3.29409e-05
14,2,-0.000122126,0.000250968,2.6698e-05,-0.827596,0.0591003,26,29,32,0.996612,0.000347183,59.8465,0.996612,2.64481e-05
15,2,9.11182e-05,0.000156766,6.0418e-05,-0.844073,0.0577863,30,33,36,0.984773,0.0002347,42.8069,0.984773,2.96872e-05
16,2,-0.000504814,0.000408745,6.40691e-06,-0.290505,0.0536241,26,29,32,0.998654,0.000491893,123.491,0.998654,2.2535e-05
17,2,0.000872583,-7.95745e-05,-7.03249e-05,-0.57016,0.0586738,27,30,33,0.996611,0.000330832,99.4735,0.996611,2.01388e-05
18,2,-1.24386e-05,-0.000190063,-7.25568e-05,0.223811,0.0573765,30,33,36,0.984773,0.000292207,60.0609,0.984773,3.14163e-05
19,2,-0.000502101,0.000115266,3.00287e-05,-0.832594,0.0532115,27,30,33,0.998627,0.000368502,50.206,0.998627,1.22424e-05
20,2,0.000901593,1.28888e-05,-0.000105284,-0.304118,0.0582503,27,30,33,0.997612,0.000267851,118.591,0.997612,3.16763e-05
21,2,0.000648608,0.000184516,-4.50381e-06,0.482398,0.0569696,31,34,37,0.964648,0.000225179,108.397,0.964648,3.35152e-05
22,2,-7.40114e-05,-0.000262513,-5.47422e-05,1.28021,0.0528022,28,31,34,0.998599,0.000286184,65.389,0.998599,2.85803e-05
23,2,3.8014e-05,-0.000198381,-5.26621e-05,1.2636,0.05783,28,31,34,0.997553,0.000297308,47.3,0.997553,2.72464e-05
0,3,-1.79159e-05,-2.30826e-05,-4.86577e-07,-0.224369,0.0598827,27,30,33,0.998734,1.36677e-05,0.0429125,0.998734,1.898e-07
1,3,2.40663e-05,-2.07714e-05,-7.15429e-06,-0.478524,0.055737,23,26,29,0.996803,5.60369e-06,0.0371296,0.996803,7.86755e-07
2,3,-1.26295e-05,-1.94846e-05,8.9598e-06,0.29387,0.060839,23,26,29,0.981179,8.8335e-06,0.0147615,0.981179,5.36687e-07
