// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998968,7.85762,0.998915
1,individual,1,0.998277,19.9622,0.997917
2,individual,2,0.991248,7.43538,0.987423
3,shared,1,0.998951,24.2798,0.998882
4,individual,4,0.99829,11.1491,0.997923
5,individual,5,0.998277,7.21396,0.997917
6,shared,0,0.998661,22.7529,0.998795
7,shared,1,0.998307,6.63432,0.99793
8,individual,8,0.99829,8.64063,0.997923
9,individual,9,0.989913,36.7083,0.98755
10,shared,0,0.998299,50.6694,0.997928
11,shared,1,0.998307,16.4528,0.99793
12,individual,12,0.989919,7.50397,0.987545
13,individual,13,0.998295,11.0507,0.997927
14,shared,0,0.998299,10.1665,0.997928
15,individual,15,0.98958,15.6271,0.986874
16,shared,0,0.998732,28.3383,0.998848
17,individual,17,0.998295,14.8544,0.997927
18,individual,18,0.987177,12.7808,0.985434
19,shared,1,0.998738,8.43577,0.998827
20,shared,0,0.998731,20.1195,0.998378
21,individual,21,0.983708,68.6343,0.976727
22,shared,0,0.998661,29.4818,0.998795
23,shared,1,0.998678,11.4835,0.998291
