// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0129089,0.0135373,-0.0113636,-0.44898,0.0635336,27,30,33,0.998438,0.0053162,72.2663,0.998438,0.000499079
1,0,-0.00429581,0.00674091,-0.00914186,1.38571,0.0591309,24,27,30,0.996502,0.004208,22.284,0.996502,0.000590687
2,0,-0.0197305,0.0142466,-0.0036277,0.0733044,0.0645505,24,27,30,0.980522,0.0030893,47.9821,0.980522,0.000517442
3,0,-0.00703,-0.00787054,0.00617239,-0.97869,0.0630822,27,30,33,0.99841,0.00373148,13.1885,0.99841,0.000845075
4,0,0.0200628,-0.015736,0.00986968,-0.445859,0.0586751,24,27,30,0.996502,0.00279693,29.4597,0.996502,0.000519926
5,0,0.0150694,-0.00758625,-0.00170027,0.333808,0.064084,24,27,30,0.996502,0.00290423,8.42445,0.996502,0.000999703
6,0,-0.00836914,-0.00613278,0.0078919,-0.972591,0.0626341,28,31,34,0.998382,0.00392449,12.6697,0.998382,0.000892534
7,0,0.0186895,-0.0101721,-0.00207323,-0.974908,0.0582229,25,28,31,0.996501,0.00277515,37.0073,0.996501,0.000503614
8,0,-0.011837,0.00660274,0.00125109,-0.450335,0.0636209,25,28,31,0.996502,0.00347741,6.64779,0.996502,0.0010789
9,0,0.0204734,-0.0112223,-0.0013594,-0.711742,0.0621893,29,32,35,0.985636,0.00364974,18.4758,0.985636,0.000863862
10,0,0.00656658,-0.0113536,0.00720801,0.0777153,0.0577743,25,28,31,0.996501,0.00392209,32.7855,0.996501,0.000526776
11,0,-0.00917466,0.0128354,-0.00427766,1.11595,0.0631611,25,28,31,0.996501,0.00402767,37.0959,0.996501,0.000555615
12,0,-0.0156128,0.0153963,-0.0094813,-0.449006,0.0617476,29,32,35,0.985636,0.00536052,62.9931,0.985636,0.000559541
13,0,0.0080537,-0.010741,0.0100969,0.338316,0.0573291,26,29,32,0.9965,0.00461274,44.3609,0.9965,0.000495125
14,0,0.0202014,-0.0116569,-0.00116758,-0.973975,0.0627047,26,29,32,0.996501,0.00324634,31.7035,0.996501,0.000633738
15,0,-0.00212884,-0.0112364,0.00291155,-0.979505,0.0613091,30,33,36,0.984852,0.00462251,16.7048,0.984852,0.00079922
16,0,0.0194362,-0.0142143,0.00613867,-0.445909,0.0568874,27,30,33,0.998438,0.00263618,16.708,0.998438,0.000711308
17,0,-0.0111483,0.0020523,0.00642404,-0.713641,0.0622516,27,30,33,0.9965,0.00404068,10.4502,0.9965,0.000979487
18,0,0.00369196,0.0102843,-0.00559469,0.0745793,0.0608739,30,33,36,0.984852,0.00487021,14.9918,0.984852,0.000858479
19,0,0.0180295,-0.00582047,-0.00557793,-0.975678,0.0564492,27,30,33,0.99841,0.00282934,26.1193,0.99841,0.000585168
20,0,-0.00774287,0.00112435,0.00623421,-0.45042,0.0618019,27,30,33,0.997594,0.00484865,9.52697,0.997594,0.00101705
21,0,-0.0187809,0.00659512,0.00587449,0.335307,0.0604417,31,34,37,0.964937,0.00412412,16.1673,0.964937,0.000927978
