// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998964,9.66117,0.998896
1,individual,1,0.998233,19.8164,0.997828
2,individual,2,0.990945,7.29354,0.987014
3,shared,1,0.998919,21.493,0.998856
4,individual,4,0.998246,58.5798,0.997834
5,individual,5,0.998233,7.7285,0.997828
6,shared,0,0.998663,20.6784,0.998779
7,shared,1,0.998265,6.73631,0.997841
8,individual,8,0.998246,7.89729,0.997834
9,individual,9,0.989698,113.14,0.987381
10,shared,0,0.998256,25.6673,0.997838
11,shared,1,0.998265,27.9745,0.997841
12,individual,12,0.9897,9.46979,0.987375
13,individual,13,0.998252,12.8514,0.997837
14,shared,0,0.998256,7.54238,0.997838
15,individual,15,0.989293,15.1399,0.986652
16,shared,0,0.998725,57.9875,0.998831
17,individual,17,0.998252,13.2296,0.997837
18,individual,18,0.986924,12.8465,0.9853
19,shared,1,0.998731,9.65949,0.998809
20,shared,0,0.998714,17.529,0.998331
21,individual,21,0.983088,56.6854,0.975874
22,shared,0,0.998663,14.5163,0.998779
23,shared,1,0.99863,19.0483,0.998232
