// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998951,8.44794,0.99891
1,individual,1,0.998234,23.9987,0.997828
2,individual,2,0.990946,9.08136,0.987014
3,shared,1,0.998956,27.4128,0.998884
4,individual,4,0.998247,6.57687,0.997834
5,individual,5,0.998234,15.6761,0.997828
6,shared,0,0.99868,24.2635,0.998801
7,shared,1,0.998264,6.89869,0.997841
8,individual,8,0.998247,26.679,0.997834
9,individual,9,0.989673,24.5988,0.987379
10,shared,0,0.998256,19.8029,0.997838
11,shared,1,0.998264,13.2755,0.997841
12,individual,12,0.98968,8.55682,0.987375
13,individual,13,0.998253,12.5516,0.997838
14,shared,0,0.998256,11.9776,0.997838
15,individual,15,0.989342,18.8041,0.986676
16,shared,0,0.998743,9.72961,0.998853
17,individual,17,0.998253,22.4571,0.997838
18,individual,18,0.986925,14.1643,0.985301
19,shared,1,0.998749,8.02818,0.998831
20,shared,0,0.998699,37.4206,0.998341
21,individual,21,0.983088,21.7737,0.975874
22,shared,0,0.99868,16.4515,0.998801
23,shared,1,0.998668,9.34955,0.998262
