// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0130643,0.0136179,-0.0113124,-0.449163,0.0617037,27,30,33,0.998423,0.00518219,77.1495,0.998423,0.000471481
1,0,-0.00470143,0.00705555,-0.00931509,1.38571,0.0574303,24,27,30,0.996311,0.00414871,24.7364,0.996311,0.000550156
2,0,-0.0194291,0.0140005,-0.00337544,0.0730799,0.0626909,24,27,30,0.980046,0.00301959,45.4505,0.980046,0.000510506
3,0,-0.00629655,-0.00818882,0.00615119,-0.978825,0.0612656,27,30,33,0.998395,0.00372572,13.7962,0.998395,0.00080456
4,0,0.0195827,-0.0154232,0.00961606,-0.445858,0.0569879,24,27,30,0.996311,0.00268177,27.2876,0.996311,0.00051527
5,0,0.0142586,-0.00700681,-0.00209828,0.333596,0.0622381,24,27,30,0.996311,0.00293412,8.68317,0.996311,0.000955075
6,0,-0.00759833,-0.00651852,0.00793892,-0.972775,0.0608306,28,31,34,0.998367,0.00391564,13.2604,0.998367,0.000849044
7,0,0.0182908,-0.00981315,-0.00238076,-0.974892,0.0565489,25,28,31,0.99631,0.00273383,36.0057,0.99631,0.000492071
8,0,-0.011018,0.00597861,0.00168791,-0.450559,0.0617885,25,28,31,0.996311,0.00350602,6.91885,0.996311,0.00102603
9,0,0.0198465,-0.0106778,-0.00177266,-0.711919,0.0603988,29,32,35,0.985534,0.0036216,18.2885,0.985534,0.000837394
10,0,0.0069124,-0.0114568,0.00711383,0.0777161,0.0561134,25,28,31,0.99631,0.00385379,34.8749,0.99631,0.000499038
11,0,-0.00947063,0.0128574,-0.00410509,1.11577,0.0613422,25,28,31,0.99631,0.00396321,39.0243,0.99631,0.000529066
12,0,-0.0156323,0.0152782,-0.00922562,-0.449189,0.0599701,29,32,35,0.985534,0.00520291,61.2067,0.985534,0.00054579
13,0,0.00835517,-0.0109024,0.0100856,0.33832,0.0556813,26,29,32,0.996309,0.00451644,48.6058,0.996309,0.000463446
