// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998928,8.201,0.998837
1,individual,1,0.998236,20.5615,0.997833
2,individual,2,0.99089,7.93504,0.986836
3,shared,1,0.998892,27.0151,0.998796
4,individual,4,0.998249,9.72783,0.997838
5,individual,5,0.998236,9.32589,0.997833
6,shared,0,0.998607,23.348,0.998707
7,shared,1,0.998268,7.09747,0.997846
8,individual,8,0.998249,11.6525,0.997838
9,individual,9,0.989349,34.8366,0.986837
10,shared,0,0.998259,26.1359,0.997843
11,shared,1,0.998268,13.8071,0.997846
12,individual,12,0.989352,8.00051,0.986831
13,individual,13,0.998255,11.5253,0.997841
14,shared,0,0.998259,11.7405,0.997843
15,individual,15,0.988964,16.7688,0.986103
16,shared,0,0.998686,17.5543,0.998765
17,individual,17,0.998255,17.5674,0.997841
18,individual,18,0.986595,12.7483,0.984673
19,shared,1,0.998693,9.05057,0.998743
20,shared,0,0.998721,21.9621,0.998364
21,individual,21,0.983007,39.1063,0.975609
22,shared,0,0.998607,21.9111,0.998707
23,shared,1,0.998648,9.92088,0.998265
