// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0130277,0.0136971,-0.0104655,-0.44921,0.0599372,27,30,33,0.998309,0.00491227,73.3194,0.998309,0.000463849
1,0,-0.00495733,0.00768739,-0.00933879,1.38563,0.0557935,24,27,30,0.996319,0.00396668,28.8329,0.996319,0.000503387
2,0,-0.0189895,0.013071,-0.00191675,0.0730031,0.0609076,24,27,30,0.97946,0.00292121,45.1703,0.97946,0.000489231
3,0,-0.00537071,-0.00886701,0.00487783,-0.979227,0.0595119,28,31,34,0.99828,0.00366563,14.7914,0.99828,0.000745941
4,0,0.0190207,-0.0147536,0.00840465,-0.44588,0.0553639,24,27,30,0.996318,0.00253635,26.0676,0.996318,0.000516147
5,0,0.0134954,-0.00570005,-0.00332443,0.333442,0.0604678,24,27,30,0.996319,0.00296483,9.69496,0.996319,0.000885917
6,0,-0.00670872,-0.00743509,0.00695241,-0.972822,0.0590896,28,31,34,0.99825,0.00384097,13.8665,0.99825,0.000792136
7,0,0.0177461,-0.00855511,-0.00337403,-0.975234,0.0549377,25,28,31,0.996318,0.00260547,36.1965,0.996318,0.000465484
8,0,-0.0103637,0.00474938,0.0029694,-0.450638,0.0600313,25,28,31,0.996318,0.00355244,7.98006,0.996318,0.000948651
9,0,0.0191269,-0.00928166,-0.00316324,-0.712022,0.0586704,29,32,35,0.984803,0.00355277,19.2305,0.984803,0.00078441
10,0,0.00719787,-0.0115201,0.00590141,0.0776926,0.0545149,26,29,32,0.996317,0.0037289,36.4987,0.996317,0.000467208
11,0,-0.0097296,0.0125296,-0.00268063,1.11543,0.0595979,26,29,32,0.996318,0.00383177,42.3887,0.996318,0.000488485
12,0,-0.0154532,0.0149126,-0.00779745,-0.449237,0.0582542,29,32,35,0.984803,0.00500469,56.4896,0.984803,0.000539883
13,0,0.00847553,-0.0111605,0.0094056,0.338224,0.0540953,26,29,32,0.996317,0.00429711,49.9722,0.996317,0.000440968
14,0,0.0191752,-0.00995986,-0.0027334,-0.974281,0.0591677,26,29,32,0.996317,0.00306905,31.3407,0.996317,0.000584473
15,0,-0.000623006,-0.0114212,0.0011614,-0.980079,0.057841,30,33,36,0.983972,0.00446797,19.4736,0.983972,0.000697095
16,0,0.0182446,-0.0128094,0.00427215,-0.445933,0.0536791,27,30,33,0.998309,0.00259945,16.8347,0.998309,0.000666784
17,0,-0.00961962,0.000247124,0.00742744,-0.71402,0.0587406,27,30,33,0.996317,0.00394295,12.1226,0.996317,0.00085758
18,0,0.00215945,0.010879,-0.00389667,0.0743468,0.0574308,31,34,37,0.983972,0.0047522,17.1466,0.983972,0.000752877
19,0,0.0168347,-0.00395671,-0.00612913,-0.976045,0.0532661,27,30,33,0.99828,0.00264793,25.4775,0.99828,0.000539667
20,0,-0.00637079,-0.000595189,0.00739579,-0.450727,0.0583167,27,30,33,0.997583,0.00472952,11.6544,0.997583,0.000880053
21,0,-0.0172671,0.00447869,0.00701469,0.335019,0.0570236,31,34,37,0.962994,0.00395058,16.8401,0.962994,0.000836048
22,0,-0.0105443,0.0122883,-0.00200434,1.12484,0.0528563,28,31,34,0.99825,0.00419452,49.7932,0.99825,0.000436509
23,0,-0.0131174,0.0117889,0.00160599,1.11898,0.0578959,28,31,34,0.997536,0.00417966,58.2519,0.997536,0.000457322
0,1,0.00579366,-0.000574186,-0.00142913,-0.374408,0.0599403,27,30,33,0.998463,0.00174674,107.441,0.998463,0.000235386
1,1,0.00578159,-0.00315455,3.64862e-05,1.46226,0.0557964,24,27,30,0.996586,0.00227359,608.237,0.996586,9.90445e-05
2,1,0.00506496,0.000198834,-0.000907631,0.146452,0.0609104,24,27,30,0.980066,0.00112237,107.505,0.980066,0.000192169
3,1,-0.0051249,0.000701121,0.000672742,-0.910956,0.0595149,27,30,33,0.998433,0.00230425,731.767,0.998433,9.25329e-05
4,1,-0.00418477,-4.18186e-05,0.00154219,-0.368154,0.0553669,24,27,30,0.996586,0.00136165,70.8433,0.996586,0.000235447
5,1,0.0015171,-0.00288981,0.00101572,0.405514,0.0604708,24,27,30,0.996586,0.00226375,120.983,0.996586,0.00020377
6,1,-0.00543655,0.000979181,0.00084787,-0.898036,0.0590926,28,31,34,0.998403,0.00248024,679.604,0.998403,0.00010306
7,1,-0.00297603,-0.00153811,0.000402699,-0.90329,0.0549408,25,28,31,0.996585,0.00105893,89.9529,0.996585,0.000181081
8,1,-0.00348133,0.00350408,-0.00120028,-0.377229,0.0600343,25,28,31,0.996586,0.0027361,217.64,0.996586,0.000174263
