// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998928,8.05223,0.998837
1,individual,1,0.998235,20.0736,0.997832
2,individual,2,0.990879,7.77998,0.986824
3,shared,1,0.998892,26.4736,0.998796
4,individual,4,0.998249,9.96335,0.997838
5,individual,5,0.998235,9.13031,0.997832
6,shared,0,0.998608,22.6778,0.998708
7,shared,1,0.998268,7.05331,0.997846
8,individual,8,0.998249,11.3965,0.997838
9,individual,9,0.989342,36.6184,0.986832
10,shared,0,0.998259,25.1336,0.997842
11,shared,1,0.998268,13.3065,0.997846
12,individual,12,0.989345,7.96541,0.986826
13,individual,13,0.998255,11.2019,0.997841
14,shared,0,0.998259,11.9297,0.997842
15,individual,15,0.988956,16.4716,0.986097
16,shared,0,0.998686,18.6847,0.998765
17,individual,17,0.998255,17.0691,0.997841
18,individual,18,0.986586,12.3328,0.984668
19,shared,1,0.998694,9.23441,0.998743
20,shared,0,0.998721,21.3127,0.998364
21,individual,21,0.982992,38.4226,0.975594
22,shared,0,0.998608,21.0047,0.998708
23,shared,1,0.998647,9.54583,0.998264
