// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.01377,0.0144795,-0.0110577,-0.449212,0.06327,27,30,33,0.998308,0.00518995,69.4339,0.998308,0.000517301
1,0,-0.00524401,0.00812833,-0.00986625,1.38563,0.0588913,24,27,30,0.996317,0.00419085,27.3074,0.996317,0.000561315
2,0,-0.0200635,0.0138171,-0.00202653,0.0730005,0.0642954,24,27,30,0.979452,0.00308668,42.7507,0.979452,0.000545764
3,0,-0.00566671,-0.00936881,0.00515113,-0.979228,0.0628205,28,31,34,0.998279,0.00387264,14.0032,0.998279,0.000831913
4,0,0.0200926,-0.0155945,0.00888434,-0.44588,0.0584374,24,27,30,0.996316,0.00267943,24.6645,0.996316,0.000575719
5,0,0.0142505,-0.00602336,-0.00350875,0.333439,0.0638307,24,27,30,0.996317,0.00313302,9.17725,0.996317,0.000988118
6,0,-0.00708009,-0.0078556,0.00734311,-0.972824,0.0623743,28,31,34,0.998249,0.00405817,13.128,0.998249,0.000883431
7,0,0.0187495,-0.00904477,-0.00356434,-0.975234,0.057987,25,28,31,0.996316,0.00275347,34.2658,0.996316,0.000519182
8,0,-0.0109411,0.00501729,0.00313349,-0.450641,0.0633693,25,28,31,0.996316,0.00375385,7.5531,0.996316,0.00105808
9,0,0.0202069,-0.00981302,-0.00334052,-0.712024,0.0619313,29,32,35,0.984801,0.00375389,18.1954,0.984801,0.000875
10,0,0.0076124,-0.0121772,0.00623356,0.0776926,0.0575402,26,29,32,0.996315,0.00393927,34.5598,0.996315,0.000520993
11,0,-0.0102871,0.0132437,-0.00283029,1.11543,0.0629114,26,29,32,0.996316,0.00404826,40.1319,0.996316,0.000544817
12,0,-0.016333,0.015764,-0.00823845,-0.449239,0.0614915,29,32,35,0.984801,0.00528751,53.4686,0.984801,0.000602165
13,0,0.00896169,-0.0117984,0.00993685,0.338224,0.0570968,26,29,32,0.996315,0.00453987,47.3301,0.996315,0.000491693
14,0,0.0202598,-0.0105296,-0.00288729,-0.974283,0.0624568,26,29,32,0.996315,0.00324304,29.6602,0.996315,0.000651978
15,0,-0.000649805,-0.0120678,0.00122398,-0.980081,0.0610549,30,33,36,0.983971,0.00472036,18.4359,0.983971,0.00077741
16,0,0.0192724,-0.0135401,0.00451752,-0.445933,0.056657,27,30,33,0.998308,0.00274622,15.9279,0.998308,0.000743707
17,0,-0.010155,0.000261252,0.00784441,-0.714022,0.0620055,27,30,33,0.996315,0.00416654,11.4754,0.996315,0.000956462
18,0,0.00227286,0.0114948,-0.00411411,0.074345,0.0606215,31,34,37,0.983971,0.00502091,16.2333,0.983971,0.000839615
19,0,0.0177864,-0.00418563,-0.00647566,-0.976045,0.0562206,27,30,33,0.998279,0.00279832,24.1169,0.998279,0.000601886
20,0,-0.00672178,-0.000630324,0.00781087,-0.45073,0.0615576,27,30,33,0.997582,0.00499765,11.0314,0.997582,0.000981519
