// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998926,8.61809,0.998832
1,individual,1,0.99824,19.8491,0.997758
2,individual,2,0.990581,8.28594,0.986388
3,shared,1,0.998892,25.8799,0.998794
4,individual,4,0.998253,10.9585,0.997763
5,individual,5,0.99824,9.87111,0.997758
6,shared,0,0.99868,22.1737,0.998728
7,shared,1,0.998273,7.78835,0.997771
8,individual,8,0.998253,11.9792,0.997763
9,individual,9,0.989102,36.0651,0.986653
10,shared,0,0.998263,25.7631,0.997767
11,shared,1,0.998273,13.7425,0.997771
12,individual,12,0.989104,8.73502,0.986647
13,individual,13,0.998258,11.7531,0.997765
14,shared,0,0.998263,12.4402,0.997767
15,individual,15,0.988679,17.4005,0.985876
16,shared,0,0.998744,20.6543,0.998783
17,individual,17,0.998258,17.3695,0.997765
18,individual,18,0.986315,12.9461,0.984521
19,shared,1,0.998749,10.4827,0.99876
20,shared,0,0.998699,21.2258,0.998324
21,individual,21,0.982333,39.7576,0.974679
22,shared,0,0.99868,22.0412,0.998728
23,shared,1,0.99862,10.116,0.998222
