// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0131014,0.0139357,-0.0108137,-0.449408,0.0597774,27,30,33,0.998285,0.00498702,71.533,0.998285,0.000473636
1,0,-0.00500557,0.00784655,-0.00967829,1.38563,0.055645,24,27,30,0.996113,0.00403003,29.0021,0.996113,0.000509243
2,0,-0.0191134,0.0133649,-0.00197714,0.0727564,0.0607452,24,27,30,0.97894,0.00299542,43.6066,0.97894,0.00050279
3,0,-0.00537359,-0.00914534,0.00514568,-0.979375,0.0593532,28,31,34,0.998256,0.00373719,14.7637,0.998256,0.000758216
4,0,0.0190828,-0.0149535,0.00863436,-0.445879,0.0552166,24,27,30,0.996113,0.00258842,25.6927,0.996113,0.000523326
5,0,0.0135299,-0.00576081,-0.00348627,0.333209,0.0603066,24,27,30,0.996113,0.00302912,9.72539,0.996113,0.000896429
6,0,-0.00671761,-0.00765339,0.00730428,-0.973021,0.058932,28,31,34,0.998226,0.00390597,13.8872,0.998226,0.000803629
7,0,0.0178603,-0.00874048,-0.00358239,-0.975217,0.0547915,25,28,31,0.996112,0.0026922,35.8191,0.996112,0.000474298
8,0,-0.0103746,0.00478079,0.00310273,-0.450885,0.0598712,25,28,31,0.996113,0.00360617,7.97966,0.996113,0.000959338
9,0,0.0192082,-0.00942373,-0.00332659,-0.712212,0.0585139,29,32,35,0.984689,0.00366811,19.1826,0.984689,0.000795489
10,0,0.00726653,-0.0117878,0.00615324,0.0776941,0.0543698,26,29,32,0.996112,0.00378224,35.7049,0.996112,0.000477854
11,0,-0.00982862,0.0128709,-0.00279923,1.11523,0.059439,26,29,32,0.996112,0.00390474,40.9408,0.996112,0.000502497
12,0,-0.0155312,0.0151567,-0.00803705,-0.449436,0.0580989,29,32,35,0.984689,0.00507859,54.2218,0.984689,0.00055394
13,0,0.00853453,-0.0113658,0.00972848,0.338229,0.0539514,26,29,32,0.996111,0.00435791,49.4982,0.996111,0.00044816
14,0,0.0192923,-0.0101663,-0.00290503,-0.974527,0.0590099,26,29,32,0.996112,0.00317047,30.9825,0.996112,0.000595656
15,0,-0.000590628,-0.0117543,0.00119477,-0.980224,0.0576868,30,33,36,0.98386,0.0045679,19.464,0.98386,0.000708642
16,0,0.0182986,-0.0129709,0.0043681,-0.445932,0.0535362,27,30,33,0.998285,0.00265215,16.6198,0.998285,0.000676055
17,0,-0.00963385,0.000210156,0.00773211,-0.714251,0.058584,27,30,33,0.996111,0.00402532,12.2665,0.996111,0.000865863
18,0,0.00213833,0.0111684,-0.00407038,0.0741483,0.0572778,31,34,37,0.98386,0.00484301,17.0595,0.98386,0.000765385
19,0,0.0169351,-0.00402042,-0.00646943,-0.976029,0.0531244,27,30,33,0.998256,0.00273337,25.4115,0.998256,0.000547688
20,0,-0.00636537,-0.000644381,0.00766122,-0.450973,0.0581613,27,30,33,0.997503,0.00481133,11.7526,0.997503,0.000888282
21,0,-0.0173335,0.0045248,0.00732042,0.33483,0.0568716,31,34,37,0.961697,0.00407382,16.9654,0.961697,0.000844855
22,0,-0.0106268,0.0125569,-0.00206398,1.12484,0.0527158,28,31,34,0.998226,0.00427162,47.9434,0.998226,0.000448476
