// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998937,7.69116,0.99885
1,individual,1,0.998279,20.9551,0.997921
2,individual,2,0.991197,7.46459,0.987263
3,shared,1,0.998904,27.7146,0.998809
4,individual,4,0.998292,8.72764,0.997927
5,individual,5,0.998279,8.70351,0.997921
6,shared,0,0.998597,24.0011,0.998713
7,shared,1,0.998311,6.5037,0.997935
8,individual,8,0.998292,11.2052,0.997927
9,individual,9,0.989585,35.0616,0.987019
10,shared,0,0.998301,25.5008,0.997932
11,shared,1,0.998311,13.3976,0.997935
12,individual,12,0.989588,7.38119,0.987012
13,individual,13,0.998297,11.0247,0.997931
14,shared,0,0.998301,11.1787,0.997932
15,individual,15,0.989232,15.9055,0.986323
16,shared,0,0.998686,16.1131,0.998773
17,individual,17,0.998297,17.4341,0.997931
18,individual,18,0.986862,12.1823,0.984823
19,shared,1,0.998694,8.1444,0.998751
20,shared,0,0.998741,22.2143,0.998401
21,individual,21,0.983633,37.8676,0.976483
22,shared,0,0.998597,20.9263,0.998713
23,shared,1,0.998672,9.40952,0.998304
