// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0136872,0.0142213,-0.0106893,-0.449026,0.0634305,27,30,33,0.998332,0.00511068,71.2387,0.998332,0.000506171
1,0,-0.00519059,0.00795627,-0.00950695,1.38562,0.0590403,24,27,30,0.996509,0.00412441,27.1549,0.996509,0.000554462
2,0,-0.0199254,0.0135018,-0.00196196,0.0732286,0.0644583,24,27,30,0.97993,0.00300824,44.2571,0.97993,0.000530918
3,0,-0.00566232,-0.00907341,0.0048744,-0.979091,0.0629799,28,31,34,0.998303,0.00379786,14.0151,0.998303,0.00081833
4,0,0.0200206,-0.0153757,0.00863835,-0.445881,0.0585853,24,27,30,0.996508,0.00262368,25.0192,0.996508,0.000567555
5,0,0.0142102,-0.00595671,-0.00333999,0.333654,0.0639925,24,27,30,0.996509,0.00306636,9.14431,0.996509,0.00097616
6,0,-0.00706896,-0.00762321,0.00697796,-0.972638,0.0625325,28,31,34,0.998273,0.00398982,13.1035,0.998273,0.000870532
7,0,0.0186215,-0.00884465,-0.0033496,-0.975251,0.0581338,25,28,31,0.996507,0.00266362,34.6282,0.996507,0.000509321
8,0,-0.0109272,0.00498222,0.00299367,-0.450413,0.06353,25,28,31,0.996508,0.00369738,7.55075,0.996508,0.00104584
9,0,0.0201146,-0.00965882,-0.00317065,-0.711846,0.0620884,29,32,35,0.984902,0.00363344,18.2352,0.984902,0.000862494
10,0,0.00753637,-0.0118891,0.00596887,0.0776917,0.0576858,26,29,32,0.996507,0.0038821,35.3321,0.996507,0.000509091
11,0,-0.0101779,0.0128799,-0.00270617,1.11562,0.0630709,26,29,32,0.996507,0.00397173,41.5427,0.996507,0.000529444
12,0,-0.016245,0.0154996,-0.00798415,-0.449054,0.0616474,29,32,35,0.984902,0.00520796,55.7632,0.984902,0.000586371
13,0,0.00889566,-0.0115757,0.00959431,0.338219,0.0572413,26,29,32,0.996507,0.0044753,47.8096,0.996507,0.000483422
14,0,0.020129,-0.0103077,-0.00271086,-0.974056,0.0626152,26,29,32,0.996507,0.00313787,29.9954,0.996507,0.000639547
15,0,-0.000684527,-0.0117136,0.00118766,-0.979947,0.0612097,30,33,36,0.98407,0.00461813,18.4252,0.98407,0.000764617
16,0,0.0192092,-0.0133629,0.0044138,-0.445934,0.0568003,27,30,33,0.998332,0.00268913,16.13,0.998332,0.000733154
17,0,-0.0101375,0.000300127,0.00752483,-0.713808,0.0621628,27,30,33,0.996507,0.00408171,11.3396,0.996507,0.000946856
18,0,0.00229518,0.0111859,-0.00393259,0.0745308,0.0607751,31,34,37,0.98407,0.004926,16.3006,0.98407,0.000825751
19,0,0.0176733,-0.00411584,-0.00612295,-0.976061,0.0563628,27,30,33,0.998303,0.0027099,24.192,0.998303,0.000592738
20,0,-0.00672639,-0.000577924,0.00753077,-0.450502,0.0617137,27,30,33,0.997656,0.00491231,10.9372,0.997656,0.000971952
21,0,-0.0181658,0.00468688,0.00709045,0.335194,0.0603437,31,34,37,0.964176,0.00404707,15.8192,0.964176,0.000922392
22,0,-0.0110567,0.0126992,-0.00205138,1.12483,0.0559287,28,31,34,0.998273,0.00434963,48.9832,0.998273,0.000473473
