// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998931,8.85846,0.998829
1,individual,1,0.998235,19.9528,0.997832
2,individual,2,0.990884,7.06446,0.98683
3,shared,1,0.99887,24.1379,0.99878
4,individual,4,0.998249,21.1784,0.997838
5,individual,5,0.998235,8.11901,0.997832
6,shared,0,0.998595,21.8581,0.998695
7,shared,1,0.998269,6.72579,0.997846
8,individual,8,0.998249,8.83472,0.997838
9,individual,9,0.989355,47.0414,0.986835
10,shared,0,0.998258,41.8105,0.997842
11,shared,1,0.998269,18.2971,0.997846
12,individual,12,0.989355,8.57721,0.986827
13,individual,13,0.998254,11.8113,0.997841
14,shared,0,0.998258,7.88132,0.997842
15,individual,15,0.988931,14.5905,0.986086
16,shared,0,0.998676,72.7436,0.998753
17,individual,17,0.998254,14.8481,0.997841
18,individual,18,0.98659,11.9966,0.98467
19,shared,1,0.998684,9.97279,0.998731
20,shared,0,0.998725,18.3721,0.998358
21,individual,21,0.982999,101.888,0.975601
22,shared,0,0.998595,22.5975,0.998695
23,shared,1,0.998624,13.34,0.998248
