// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0129821,0.0139156,-0.0109284,-0.44921,0.0616036,27,30,33,0.998304,0.00512242,68.7105,0.998304,0.000497798
1,0,-0.00463027,0.00757918,-0.00955975,1.38563,0.0573424,24,27,30,0.996318,0.0040949,26.1834,0.996318,0.000547061
2,0,-0.0194444,0.0136503,-0.00225775,0.0730011,0.0626015,24,27,30,0.979456,0.00305937,45.6553,0.979456,0.000511786
3,0,-0.00608151,-0.0088817,0.00523081,-0.97923,0.0611662,28,31,34,0.998274,0.00374389,14.1036,0.998274,0.000797588
4,0,0.0195786,-0.0153026,0.00892611,-0.44588,0.0569006,24,27,30,0.996317,0.00269663,27.4085,0.996317,0.000531062
5,0,0.0143303,-0.00632956,-0.00310842,0.333439,0.0621492,24,27,30,0.996318,0.00300576,9.39209,0.996318,0.000941074
6,0,-0.00746519,-0.00732025,0.00732455,-0.972823,0.060732,28,31,34,0.998244,0.00391803,13.2833,0.998244,0.000845661
7,0,0.0182842,-0.00912194,-0.0032819,-0.975234,0.0564624,25,28,31,0.996317,0.00273263,36.6149,0.996317,0.000487153
8,0,-0.0111767,0.00538675,0.00269149,-0.45064,0.0617003,25,28,31,0.996317,0.00358625,7.6317,0.996317,0.00101178
9,0,0.0198507,-0.00998162,-0.00293236,-0.712022,0.0603008,29,32,35,0.984802,0.00369617,19.2654,0.984802,0.000823561
10,0,0.00695716,-0.0117404,0.00629918,0.0776926,0.0560275,26,29,32,0.996316,0.00385035,33.803,0.996316,0.000503939
11,0,-0.00957411,0.0129049,-0.00301592,1.11544,0.0612546,26,29,32,0.996317,0.00396735,39.0652,0.996317,0.000527816
12,0,-0.015548,0.0153346,-0.00834338,-0.449238,0.0598729,29,32,35,0.984802,0.00522918,55.8082,0.984802,0.000568683
13,0,0.00826646,-0.0112601,0.00980001,0.338224,0.0555961,26,29,32,0.996316,0.00445712,45.907,0.996316,0.000476844
14,0,0.0197584,-0.0105981,-0.00255987,-0.974283,0.0608122,26,29,32,0.996316,0.00321912,31.7183,0.996316,0.000611623
15,0,-0.00123784,-0.0116724,0.00145749,-0.980082,0.059448,30,33,36,0.983971,0.00458487,18.3002,0.983971,0.000749013
16,0,0.0188882,-0.0134556,0.00477441,-0.445933,0.055168,27,30,33,0.998304,0.00271299,17.0741,0.998304,0.000695173
17,0,-0.0104351,0.000755224,0.00744486,-0.714022,0.0603731,27,30,33,0.996316,0.00402326,11.612,0.996316,0.000915676
18,0,0.00283724,0.0110052,-0.00429124,0.0743463,0.0590261,31,34,37,0.983971,0.0048634,16.149,0.983971,0.000808099
19,0,0.0174747,-0.0044758,-0.0062432,-0.976045,0.0547433,27,30,33,0.998274,0.00277082,25.7259,0.998274,0.000565325
20,0,-0.00714354,-8.43553e-05,0.00734909,-0.450729,0.0599372,27,30,33,0.997577,0.00482474,10.9719,0.997577,0.000944952
21,0,-0.0180721,0.0051319,0.00701713,0.335019,0.0586074,31,34,37,0.962988,0.0040904,16.7887,0.962988,0.000880126
22,0,-0.0104463,0.0126988,-0.0023582,1.12484,0.054322,28,31,34,0.998244,0.00434818,46.2816,0.998244,0.000469915
23,0,-0.0131308,0.012324,0.00140882,1.11897,0.0595044,28,31,34,0.99753,0.00435206,54.7609,0.99753,0.000490664
0,1,0.00614546,-0.000733101,-0.0014628,-0.374409,0.0616068,27,30,33,0.998456,0.00186178,108.509,0.998456,0.000247591
1,1,0.00592198,-0.003331,9.95293e-05,1.46226,0.0573455,24,27,30,0.996585,0.00238501,594.039,0.996585,0.000106046
2,1,0.00537894,0.000115885,-0.000954919,0.146448,0.0626045,24,27,30,0.980062,0.00119476,108.122,0.980062,0.000202644
3,1,-0.00526549,0.000812461,0.000708308,-0.910963,0.0611694,27,30,33,0.998427,0.00241286,698.81,0.998427,0.00010035
4,1,-0.00452482,9.18753e-05,0.00157743,-0.368154,0.0569038,24,27,30,0.996585,0.00140182,69.0602,0.996585,0.000250593
5,1,0.00136651,-0.00295967,0.00110507,0.405509,0.0621524,24,27,30,0.996585,0.00232397,110.811,0.996585,0.000222333
6,1,-0.00559101,0.00111213,0.000883791,-0.898037,0.0607351,28,31,34,0.998397,0.00260065,658.188,0.998397,0.000110798
7,1,-0.00325534,-0.00154612,0.000450433,-0.90329,0.0564656,25,28,31,0.996584,0.00109324,88.1342,0.996584,0.000192775
8,1,-0.00342195,0.00361442,-0.00130935,-0.377233,0.0617035,25,28,31,0.996585,0.00283092,194.506,0.996585,0.000191884
