// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.99892,8.70548,0.998843
1,individual,1,0.998236,52.6878,0.997832
2,individual,2,0.990885,9.27712,0.98683
3,shared,1,0.998911,30.1997,0.99881
4,individual,4,0.998249,6.31162,0.997838
5,individual,5,0.998236,21.0436,0.997832
6,shared,0,0.998616,25.2208,0.998719
7,shared,1,0.998268,6.76834,0.997846
8,individual,8,0.998249,50.4023,0.997838
9,individual,9,0.989332,20.899,0.986833
10,shared,0,0.998259,15.185,0.997842
11,shared,1,0.998268,11.9038,0.997846
12,individual,12,0.989338,9.03327,0.986828
13,individual,13,0.998255,20.1695,0.997841
14,shared,0,0.998259,11.3165,0.997842
15,individual,15,0.988985,20.1278,0.986113
16,shared,0,0.998695,9.15318,0.998776
17,individual,17,0.998255,25.3212,0.997841
18,individual,18,0.98659,14.1283,0.984671
19,shared,1,0.998703,8.21861,0.998754
20,shared,0,0.998713,39.6422,0.998369
21,individual,21,0.982999,20.838,0.975601
22,shared,0,0.998616,11.5979,0.998719
23,shared,1,0.998667,8.73884,0.99828
