// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0138043,0.014245,-0.010582,-0.449211,0.0616036,27,30,33,0.998314,0.00497734,73.4923,0.998314,0.00048398
1,0,-0.00556766,0.0082279,-0.00963384,1.38563,0.0573424,24,27,30,0.996318,0.00405997,30.1113,0.996318,0.00051691
2,0,-0.0195943,0.0132262,-0.00168641,0.0730025,0.0626015,24,27,30,0.979456,0.00294832,42.2107,0.979456,0.000522685
3,0,-0.00495156,-0.00934222,0.00479388,-0.979225,0.0611662,28,31,34,0.998285,0.00379303,14.7035,0.998285,0.000778646
4,0,0.0195201,-0.0150312,0.00835443,-0.44588,0.0569006,24,27,30,0.996317,0.00252152,23.5272,0.996317,0.000559671
5,0,0.0134051,-0.00539031,-0.00371788,0.333442,0.0621492,24,27,30,0.996318,0.00309204,9.48079,0.996318,0.000930948
6,0,-0.00631754,-0.00795955,0.00696277,-0.972824,0.060732,28,31,34,0.998254,0.00398034,13.7219,0.998254,0.000828144
7,0,0.0181969,-0.0084708,-0.00364998,-0.975234,0.0564624,25,28,31,0.996317,0.00262688,33.8385,0.996317,0.00049684
8,0,-0.0101195,0.00437697,0.00340477,-0.450639,0.0617003,25,28,31,0.996317,0.00371786,7.90728,0.996317,0.000992706
9,0,0.0194639,-0.00910342,-0.00356376,-0.712024,0.0603008,29,32,35,0.984802,0.00361364,18.1642,0.984802,0.000834283
10,0,0.00784677,-0.0119438,0.00583023,0.0776926,0.0560275,26,29,32,0.996316,0.00381575,37.3105,0.996316,0.000483654
11,0,-0.0104335,0.0128547,-0.00249462,1.11543,0.0612546,26,29,32,0.996317,0.00391027,43.5023,0.996317,0.000505018
12,0,-0.0162223,0.0153227,-0.00768304,-0.449239,0.0598729,29,32,35,0.984802,0.00506164,53.8111,0.984802,0.0005735
13,0,0.00916342,-0.0116853,0.00953051,0.338224,0.0555961,26,29,32,0.996316,0.00437751,51.3997,0.996316,0.000455657
14,0,0.0196593,-0.00988206,-0.00305412,-0.974281,0.0608122,26,29,32,0.996316,0.00309382,29.2788,0.996316,0.000623947
15,0,-3.50028e-05,-0.0118008,0.000929367,-0.980078,0.059448,30,33,36,0.983971,0.00460085,19.6419,0.983971,0.000724094
16,0,0.0186118,-0.0128797,0.00401174,-0.445933,0.055168,27,30,33,0.998314,0.00263911,15.7306,0.998314,0.000713728
17,0,-0.00933045,-0.000244811,0.00781458,-0.71402,0.0603731,27,30,33,0.996316,0.0040851,11.9916,0.996316,0.000896482
18,0,0.00159311,0.0113523,-0.00371632,0.0743454,0.0590261,31,34,37,0.983971,0.00490684,17.2629,0.983971,0.000782769
19,0,0.0171299,-0.00366396,-0.00635172,-0.976045,0.0547433,27,30,33,0.998285,0.00267839,23.8883,0.998285,0.000575205
20,0,-0.00594266,-0.00113833,0.00784462,-0.450728,0.0599372,27,30,33,0.997588,0.00489897,11.7357,0.997588,0.000914647
21,0,-0.0174164,0.00408039,0.00739413,0.335017,0.0586074,31,34,37,0.962988,0.00403974,15.9898,0.962988,0.000886717
22,0,-0.0112357,0.012563,-0.00176164,1.12484,0.054322,28,31,34,0.998254,0.00427473,50.5859,0.998254,0.000453129
23,0,-0.0138396,0.011912,0.00189091,1.11899,0.0595044,28,31,34,0.997541,0.00424092,58.3704,0.997541,0.000476791
0,1,0.00576443,-0.000446811,-0.0014729,-0.374411,0.0616068,27,30,33,0.998468,0.00173407,101.105,0.998468,0.000249745
1,1,0.00596064,-0.00315129,-2.22241e-05,1.46226,0.0573455,24,27,30,0.996585,0.00228957,597.663,0.996585,0.000103715
2,1,0.00503548,0.000293158,-0.000911305,0.146452,0.0626045,24,27,30,0.980062,0.00111646,101.79,0.980062,0.000203398
3,1,-0.00526402,0.000630622,0.000672285,-0.910953,0.0611694,27,30,33,0.998439,0.00232404,740.708,0.998439,9.57647e-05
4,1,-0.00408211,-0.000176963,0.00159296,-0.368154,0.0569038,24,27,30,0.996585,0.0014022,69.0028,0.996585,0.00024688
5,1,0.00174602,-0.00297846,0.00098562,0.405514,0.0621524,24,27,30,0.996585,0.00232999,125.83,0.996585,0.000208351
6,1,-0.00557889,0.000902514,0.000856301,-0.898039,0.0607351,28,31,34,0.998409,0.00249823,672.736,0.998409,0.000107578
7,1,-0.00286534,-0.00161624,0.0003787,-0.90329,0.0564656,25,28,31,0.996584,0.0010879,87.396,0.996584,0.000189807
8,1,-0.00372854,0.00358557,-0.00116074,-0.37723,0.0617035,25,28,31,0.996585,0.00279387,232.322,0.996585,0.000176594
9,1,0.00238267,-0.00301935,1.01903e-05,-0.638255,0.060304,29,32,35,0.9849,0.00271201,145.218,0.9849,0.000211628
10,1,-0.00585744,0.000807129,0.00096947,0.155392,0.0560307,25,28,31,0.996584,0.00186911,343.125,0.996584,0.000120561
11,1,0.00561003,-7.40566e-05,-0.000714826,1.18402,0.0612579,25,28,31,0.996584,0.00166906,278.749,0.996584,0.00013699
12,1,0.00248928,0.00203484,-0.00140031,-0.374467,0.059876,29,32,35,0.9849,0.00190306,75.4451,0.9849,0.000283849
13,1,-0.00623022,0.00130501,0.00119293,0.414649,0.0555993,26,29,32,0.996583,0.00195812,201.148,0.996583,0.000163059
14,1,-0.00182747,-0.00204067,0.000386719,-0.90092,0.0608155,26,29,32,0.996584,0.00143779,80.8688,0.996584,0.000228587
15,1,-0.00507727,-0.001094,0.00023875,-0.912666,0.059451,30,33,36,0.984031,0.00198624,270.061,0.984031,0.000146102
