// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998959,8.30236,0.998904
1,individual,1,0.998234,19.2502,0.997828
2,individual,2,0.990946,7.79982,0.987014
3,shared,1,0.998939,23.3679,0.998871
4,individual,4,0.998247,11.7577,0.997834
5,individual,5,0.998234,7.73327,0.997828
6,shared,0,0.998673,21.864,0.998791
7,shared,1,0.998264,7.20274,0.997841
8,individual,8,0.998247,9.0374,0.997834
9,individual,9,0.989688,36.1859,0.987381
10,shared,0,0.998256,51.5186,0.997838
11,shared,1,0.998264,16.5862,0.997841
12,individual,12,0.989692,8.11851,0.987375
13,individual,13,0.998253,11.3337,0.997838
14,shared,0,0.998256,10.6291,0.997838
15,individual,15,0.989319,16.0177,0.986664
16,shared,0,0.998735,28.885,0.998842
17,individual,17,0.998253,14.8718,0.997838
18,individual,18,0.986925,13.0228,0.9853
19,shared,1,0.99874,9.51066,0.99882
20,shared,0,0.998708,19.4871,0.998337
21,individual,21,0.983088,68.8369,0.975874
22,shared,0,0.998673,30.2449,0.998791
23,shared,1,0.99865,11.8644,0.998247
