// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.012636,0.0134047,-0.0114291,-0.449163,0.0617037,27,30,33,0.998418,0.00525651,73.0391,0.998418,0.000481678
1,0,-0.00422501,0.0067012,-0.0092243,1.38571,0.0574303,24,27,30,0.996311,0.00416102,23.0086,0.996311,0.000566502
2,0,-0.0193309,0.014175,-0.00366956,0.0730792,0.0626909,24,27,30,0.980046,0.00307637,47.3805,0.980046,0.000504627
3,0,-0.00685864,-0.00790695,0.00634402,-0.978827,0.0612656,27,30,33,0.99839,0.00369778,13.5582,0.99839,0.000813367
4,0,0.0195951,-0.0155223,0.00987029,-0.445858,0.0569879,24,27,30,0.996311,0.00278227,29.9244,0.996311,0.00049901
5,0,0.0147107,-0.00747202,-0.00175756,0.333595,0.0622381,24,27,30,0.996311,0.00288248,8.6574,0.996311,0.000959141
6,0,-0.00816676,-0.0061536,0.00807293,-0.972774,0.0608306,28,31,34,0.998362,0.00388493,13.0915,0.998362,0.00085713
7,0,0.01831,-0.0101164,-0.00215622,-0.974892,0.0565489,25,28,31,0.99631,0.00278647,37.4149,0.99631,0.000487316
8,0,-0.0115399,0.00648175,0.00129877,-0.45056,0.0617885,25,28,31,0.996311,0.00342749,6.81317,0.996311,0.00103435
9,0,0.0200144,-0.0110917,-0.00141574,-0.711918,0.0603988,29,32,35,0.985534,0.00366163,18.857,0.985534,0.000831283
10,0,0.00645397,-0.0113078,0.00732059,0.0777161,0.0561134,25,28,31,0.99631,0.00387074,33.2016,0.99631,0.000509458
11,0,-0.0090219,0.012831,-0.00436604,1.11577,0.0613422,25,28,31,0.99631,0.00398824,36.9752,0.99631,0.000540933
12,0,-0.0152727,0.0152286,-0.00951659,-0.449189,0.0599701,29,32,35,0.985534,0.00529407,62.3011,0.985534,0.000543594
13,0,0.00789404,-0.0106475,0.0101672,0.33832,0.0556813,26,29,32,0.996309,0.00455659,45.4468,0.996309,0.000475921
14,0,0.0197838,-0.0115805,-0.00123009,-0.9742,0.0608991,26,29,32,0.99631,0.0032573,32.0222,0.99631,0.000613217
15,0,-0.00205278,-0.0112575,0.00296816,-0.979639,0.0595445,30,33,36,0.984751,0.00459251,17.1223,0.984751,0.000770208
16,0,0.0189776,-0.0140089,0.00611941,-0.445908,0.0552525,27,30,33,0.998418,0.00261675,16.9434,0.998418,0.000683414
17,0,-0.010874,0.00198931,0.00651625,-0.713853,0.0604593,27,30,33,0.996309,0.004014,10.835,0.996309,0.000937867
18,0,0.00358426,0.0102798,-0.00570184,0.0743961,0.059122,30,33,36,0.984751,0.00482257,15.351,0.984751,0.000826603
19,0,0.0176554,-0.00576773,-0.00573435,-0.975662,0.0548272,27,30,33,0.99839,0.00284671,26.7803,0.99839,0.000562983
20,0,-0.00753863,0.00106919,0.00629424,-0.450644,0.0600228,27,30,33,0.997514,0.00479689,9.84241,0.997514,0.000973577
21,0,-0.0183529,0.00649732,0.00597444,0.335132,0.0587025,31,34,37,0.963746,0.00414232,16.6977,0.963746,0.000889446
22,0,-0.0100084,0.0127648,-0.00378843,1.12486,0.0544052,28,31,34,0.998362,0.00436122,44.3874,0.998362,0.000479287
23,0,-0.0126783,0.0128428,3.54159e-05,1.1193,0.0595894,28,31,34,0.997469,0.00442313,52.2671,0.997469,0.000501772
0,1,0.00630004,-0.00109072,-0.00137873,-0.374318,0.0617069,27,30,33,0.998568,0.0018986,111.644,0.998568,0.000245891
1,1,0.00582167,-0.00349081,0.000344544,1.46243,0.0574334,24,27,30,0.996579,0.00241182,594.031,0.996579,0.000106426
2,1,0.00555231,-0.000168175,-0.00101028,0.146602,0.062694,24,27,30,0.980654,0.00122911,112.046,0.980654,0.000201244
3,1,-0.00517858,0.00111565,0.000763775,-0.910155,0.0612688,27,30,33,0.998541,0.00243741,649.92,0.998541,0.000104837
4,1,-0.00471545,0.00040853,0.00149125,-0.368109,0.056991,24,27,30,0.996579,0.00137834,67.7721,0.996579,0.000252179
5,1,0.00111829,-0.00286337,0.00130057,0.405818,0.0622412,24,27,30,0.996579,0.00231442,105.383,0.996579,0.000227815
6,1,-0.00551213,0.00142775,0.000902011,-0.897944,0.0608338,28,31,34,0.998512,0.00263387,635.507,0.998512,0.00011342
7,1,-0.003511,-0.00138008,0.000612548,-0.902604,0.0565521,25,28,31,0.996578,0.00109445,88.6668,0.996578,0.000193792
