// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998928,8.12273,0.998837
1,individual,1,0.998235,20.315,0.997832
2,individual,2,0.990885,7.85474,0.98683
3,shared,1,0.998892,26.7449,0.998796
4,individual,4,0.998249,9.84595,0.997838
5,individual,5,0.998235,9.22244,0.997832
6,shared,0,0.998607,23.0107,0.998708
7,shared,1,0.998268,7.0733,0.997846
8,individual,8,0.998249,11.5175,0.997838
9,individual,9,0.989346,35.7342,0.986835
10,shared,0,0.998259,25.6237,0.997842
11,shared,1,0.998268,13.5514,0.997846
12,individual,12,0.989349,7.97775,0.986828
13,individual,13,0.998255,11.358,0.997841
14,shared,0,0.998259,11.8382,0.997842
15,individual,15,0.98896,16.6124,0.9861
16,shared,0,0.998686,18.109,0.998765
17,individual,17,0.998255,17.3108,0.997841
18,individual,18,0.98659,12.5346,0.984671
19,shared,1,0.998694,9.13707,0.998743
20,shared,0,0.998721,21.63,0.998364
21,individual,21,0.982999,38.7693,0.975601
22,shared,0,0.998607,21.4449,0.998708
23,shared,1,0.998647,9.72778,0.998265
