// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0133989,0.0140883,-0.0107616,-0.449211,0.0616036,27,30,33,0.998309,0.00505111,71.3241,0.998309,0.000490211
1,0,-0.00510067,0.00790786,-0.00960252,1.38563,0.0573424,24,27,30,0.996318,0.00407877,28.0495,0.996318,0.000531957
2,0,-0.0195265,0.013444,-0.00197164,0.0730018,0.0626015,24,27,30,0.979456,0.00300394,43.9274,0.979456,0.000517111
3,0,-0.00551871,-0.00911791,0.00501448,-0.979228,0.0611662,28,31,34,0.99828,0.00376914,14.3866,0.99828,0.000788341
4,0,0.0195567,-0.015174,0.0086445,-0.44588,0.0569006,24,27,30,0.996317,0.00260789,25.3467,0.996317,0.000545527
5,0,0.0138729,-0.0058617,-0.00341659,0.333441,0.0621492,24,27,30,0.996318,0.00304892,9.42901,0.996318,0.00093632
6,0,-0.00689441,-0.00764534,0.00714776,-0.972823,0.060732,28,31,34,0.998249,0.00394957,13.4872,0.998249,0.000837161
7,0,0.0182478,-0.00879994,-0.00346918,-0.975234,0.0564624,25,28,31,0.996317,0.00267947,35.2048,0.996317,0.000491967
8,0,-0.0106524,0.00488333,0.00305144,-0.450639,0.0617003,25,28,31,0.996317,0.00365314,7.76072,0.996317,0.00100262
9,0,0.0196669,-0.00954734,-0.00325188,-0.712023,0.0603008,29,32,35,0.984802,0.00365333,18.6986,0.984802,0.000829087
10,0,0.00740513,-0.0118487,0.00606748,0.0776926,0.0560275,26,29,32,0.996316,0.00383408,35.503,0.996316,0.000493735
11,0,-0.0100083,0.0128867,-0.00275546,1.11543,0.0612546,26,29,32,0.996317,0.00394002,41.2296,0.996317,0.000516267
12,0,-0.0158931,0.0153383,-0.00801795,-0.449238,0.0598729,29,32,35,0.984802,0.0051461,54.9378,0.984802,0.000570599
13,0,0.00871861,-0.0114794,0.00967122,0.338224,0.0555961,26,29,32,0.996316,0.00441849,48.6155,0.996316,0.000465986
14,0,0.0197175,-0.0102447,-0.00281034,-0.974282,0.0608122,26,29,32,0.996316,0.00315605,30.4774,0.996316,0.000617765
15,0,-0.000636406,-0.0117445,0.00119269,-0.98008,0.059448,30,33,36,0.983971,0.00459417,18.9406,0.983971,0.000736706
16,0,0.0187585,-0.0131747,0.00439484,-0.445933,0.055168,27,30,33,0.998309,0.00267283,16.3688,0.998309,0.000704721
