// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998947,9.70746,0.99886
1,individual,1,0.998238,19.275,0.997755
2,individual,2,0.990614,7.52171,0.986487
3,shared,1,0.998896,22.0289,0.998819
4,individual,4,0.998252,32.0845,0.997761
5,individual,5,0.998238,8.80337,0.997755
6,shared,0,0.998703,20.6032,0.998759
7,shared,1,0.998271,7.15768,0.997769
8,individual,8,0.998252,8.94928,0.997761
9,individual,9,0.989292,90.4938,0.986936
10,shared,0,0.998261,34.0472,0.997765
11,shared,1,0.998271,22.5679,0.997769
12,individual,12,0.989292,9.73991,0.98693
13,individual,13,0.998257,12.6131,0.997763
14,shared,0,0.998261,8.05875,0.997765
15,individual,15,0.988842,15.1762,0.986158
16,shared,0,0.99876,81.7906,0.998812
17,individual,17,0.998257,14.2405,0.997763
18,individual,18,0.986489,12.6972,0.984842
19,shared,1,0.998764,10.7188,0.998788
20,shared,0,0.998696,17.5486,0.998303
21,individual,21,0.982381,82.2186,0.974823
22,shared,0,0.998703,18.5599,0.998759
23,shared,1,0.998599,16.4744,0.998196
