// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.012313,0.0134169,-0.0113174,-0.449383,0.0598259,27,30,33,0.998338,0.00515609,70.0652,0.998338,0.0004761
1,0,-0.00411488,0.00691908,-0.00944516,1.38568,0.0556876,24,27,30,0.99611,0.00408507,24.6267,0.99611,0.000539614
2,0,-0.018925,0.0139258,-0.00313305,0.0727955,0.0607886,24,27,30,0.979237,0.00307984,46.7616,0.979237,0.000492594
3,0,-0.00657922,-0.00830122,0.00605938,-0.979176,0.0594013,27,30,33,0.998309,0.00367233,14.0621,0.998309,0.000778471
4,0,0.0191124,-0.0152414,0.00952771,-0.445867,0.0552588,24,27,30,0.996109,0.00276158,30.2735,0.996109,0.000486902
5,0,0.0143788,-0.00701767,-0.00233979,0.333286,0.0603496,24,27,30,0.99611,0.0029038,9.27775,0.99611,0.000911704
6,0,-0.00789573,-0.00658263,0.0079672,-0.972995,0.0589798,28,31,34,0.99828,0.00384049,13.5131,0.99828,0.000820289
7,0,0.0179147,-0.00971303,-0.00272621,-0.975045,0.0548335,25,28,31,0.996109,0.00279641,38.2615,0.996109,0.000467967
8,0,-0.0113145,0.00606448,0.00186179,-0.450844,0.0599139,25,28,31,0.996109,0.00342502,7.35364,0.996109,0.000982879
9,0,0.0195445,-0.0106135,-0.00207878,-0.712157,0.0585614,29,32,35,0.985057,0.00371382,19.7961,0.985057,0.000791753
10,0,0.00635734,-0.0114046,0.00702903,0.0777059,0.0544114,25,28,31,0.996108,0.00381121,33.059,0.996108,0.000494449
11,0,-0.00891199,0.0128544,-0.00389279,1.1154,0.0594814,26,29,32,0.996109,0.00394899,36.84,0.996109,0.000525251
12,0,-0.0148799,0.0150872,-0.0091185,-0.44941,0.058146,29,32,35,0.985057,0.00522667,58.5111,0.985057,0.000539343
13,0,0.00768413,-0.0107291,0.0101083,0.338277,0.0539927,26,29,32,0.996108,0.00446247,45.5134,0.996108,0.000462396
14,0,0.0193514,-0.0111767,-0.0018483,-0.974486,0.059052,26,29,32,0.996108,0.00328017,32.9045,0.996108,0.000588343
15,0,-0.00187499,-0.0114355,0.00238009,-0.980005,0.0577336,30,33,36,0.984252,0.00455547,17.8728,0.984252,0.000736317
16,0,0.0185211,-0.0136497,0.00561058,-0.445919,0.0535772,27,30,33,0.998338,0.00266313,17.6436,0.998338,0.0006566
17,0,-0.0106459,0.00156578,0.00697589,-0.714167,0.0586258,27,30,33,0.996108,0.00397628,11.5886,0.996108,0.000889404
18,0,0.00341574,0.0105305,-0.00523483,0.0741749,0.0573242,30,33,36,0.984252,0.00478177,15.8584,0.984252,0.000791678
