// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998938,9.0632,0.998875
1,individual,1,0.998239,32.8865,0.997756
2,individual,2,0.990615,9.8793,0.986487
3,shared,1,0.998935,28.1254,0.998848
4,individual,4,0.998252,7.83059,0.997761
5,individual,5,0.998239,19.425,0.997756
6,shared,0,0.998723,23.9027,0.998783
7,shared,1,0.99827,7.53879,0.997768
8,individual,8,0.998252,39.9881,0.997761
9,individual,9,0.989268,24.7673,0.986934
10,shared,0,0.998262,17.0117,0.997765
11,shared,1,0.99827,12.6763,0.997768
12,individual,12,0.989275,9.47574,0.98693
13,individual,13,0.998258,15.3379,0.997764
14,shared,0,0.998262,13.0651,0.997765
15,individual,15,0.988893,20.3065,0.986183
16,shared,0,0.99878,10.9949,0.998835
17,individual,17,0.998258,24.4333,0.997764
18,individual,18,0.98649,14.5141,0.984844
19,shared,1,0.998784,9.15685,0.998812
20,shared,0,0.998684,40.7949,0.998314
21,individual,21,0.982381,21.3182,0.974823
22,shared,0,0.998723,13.791,0.998783
23,shared,1,0.99864,9.35625,0.998227
