// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0131416,0.0138034,-0.011037,-0.449384,0.0598259,27,30,33,0.998348,0.00501395,76.1894,0.998348,0.000460307
1,0,-0.00504088,0.00759724,-0.00958428,1.38568,0.0556876,24,27,30,0.99611,0.00405806,28.3452,0.99611,0.000509879
2,0,-0.0191074,0.0135532,-0.00254139,0.0727968,0.0607886,24,27,30,0.979237,0.00297402,43.3546,0.979237,0.00050293
3,0,-0.00547862,-0.00882338,0.00563921,-0.979172,0.0594013,27,30,33,0.998319,0.00372639,14.5852,0.998319,0.000761688
4,0,0.0190835,-0.0150224,0.00899481,-0.445867,0.0552588,24,27,30,0.996109,0.00257555,25.5541,0.996109,0.000516426
5,0,0.013494,-0.00609686,-0.00299653,0.333288,0.0603496,24,27,30,0.99611,0.00299768,9.35343,0.99611,0.000903357
6,0,-0.00678245,-0.00727359,0.00765184,-0.972996,0.0589798,28,31,34,0.99829,0.0039018,13.8779,0.99829,0.000805099
7,0,0.0178655,-0.00909395,-0.00315025,-0.975045,0.0548335,25,28,31,0.996109,0.00269486,35.5346,0.996109,0.000476746
8,0,-0.0102957,0.00507291,0.00261531,-0.450843,0.0599139,25,28,31,0.996109,0.0035703,7.6006,0.996109,0.000966406
9,0,0.0192058,-0.00977686,-0.00276523,-0.712159,0.0585614,29,32,35,0.985057,0.00363617,18.6903,0.985057,0.000802438
10,0,0.00724591,-0.0116652,0.00658526,0.0777059,0.0544114,25,28,31,0.996108,0.00378103,36.2786,0.996108,0.000475527
11,0,-0.00977995,0.0128687,-0.00335775,1.1154,0.0594814,26,29,32,0.996109,0.00390147,40.8535,0.996109,0.000503416
12,0,-0.0155718,0.0151454,-0.00850135,-0.449411,0.058146,29,32,35,0.985057,0.00505914,56.4348,0.985057,0.000543985
13,0,0.00857815,-0.0112021,0.00990078,0.338277,0.0539927,26,29,32,0.996108,0.00438549,51.2574,0.996108,0.000440982
14,0,0.0192945,-0.0105008,-0.00239844,-0.974484,0.059052,26,29,32,0.996108,0.00316087,30.512,0.996108,0.000599701
15,0,-0.000691094,-0.0116416,0.00182319,-0.980001,0.0577336,30,33,36,0.984252,0.0045814,19.1306,0.984252,0.000712928
16,0,0.0182818,-0.0131269,0.00485973,-0.445919,0.0535772,27,30,33,0.998348,0.00257371,16.1297,0.998348,0.00067659
17,0,-0.00958083,0.000563186,0.0074188,-0.714165,0.0586258,27,30,33,0.996108,0.00404401,11.9669,0.996108,0.000871517
18,0,0.00219736,0.0109515,-0.00466583,0.074174,0.0573242,30,33,36,0.984252,0.00483568,16.8543,0.984252,0.000768732
19,0,0.0169535,-0.00446509,-0.00630822,-0.975837,0.053165,27,30,33,0.998319,0.00274618,25.4733,0.998319,0.000548751
20,0,-0.00626529,-0.000345958,0.00731245,-0.450929,0.0582028,27,30,33,0.997471,0.00482642,11.3348,0.997471,0.000894388
21,0,-0.0173221,0.0049458,0.00696531,0.334887,0.0569178,31,34,37,0.962078,0.00409262,16.7572,0.962078,0.000850493
22,0,-0.0106169,0.0126018,-0.00263607,1.12485,0.0527561,28,31,34,0.99829,0.00426075,47.8821,0.99829,0.000449286
23,0,-0.0132022,0.0122925,0.00119596,1.11914,0.0577828,28,31,34,0.997425,0.00428791,55.9292,0.997425,0.000471683
0,1,0.00612745,-0.000711369,-0.00160646,-0.37473,0.0598293,27,30,33,0.998498,0.00189211,103.498,0.998498,0.000249699
1,1,0.00611888,-0.0034941,0.000126389,1.46236,0.055691,24,27,30,0.996389,0.00240164,558.198,0.996389,0.000107976
2,1,0.00540645,0.000147796,-0.00109343,0.146073,0.0607919,24,27,30,0.979884,0.00123057,104.639,0.979884,0.000203912
3,1,-0.00547638,0.000887338,0.000825364,-0.91082,0.0594047,27,30,33,0.99847,0.00244909,654.165,0.99847,0.000103929
4,1,-0.00439743,1.92245e-05,0.00172368,-0.368128,0.0552622,24,27,30,0.996389,0.00146208,68.3743,0.996389,0.000248806
5,1,0.00161782,-0.0031566,0.00124058,0.405239,0.060353,24,27,30,0.996389,0.00238017,116.429,0.996389,0.000216701
6,1,-0.00579537,0.00119209,0.001008,-0.898357,0.0589832,28,31,34,0.998441,0.00263742,613.255,0.998441,0.000114065
7,1,-0.00319344,-0.00167745,0.000542281,-0.902909,0.0548369,25,28,31,0.996388,0.00115,87.509,0.996388,0.000192405
8,1,-0.00370013,0.00381958,-0.00144115,-0.377606,0.0599173,25,28,31,0.996389,0.00287931,208.229,0.996389,0.000185429
9,1,0.00226478,-0.00330228,0.000169765,-0.6385,0.0585647,29,32,35,0.985168,0.00277348,131.957,0.985168,0.000221373
10,1,-0.00613988,0.00106929,0.00111088,0.155418,0.0544148,25,28,31,0.996388,0.00200896,354.072,0.996388,0.000120861
11,1,0.005944,-0.000255637,-0.000881581,1.18399,0.0594848,25,28,31,0.996388,0.00181322,291.223,0.996388,0.00013721
12,1,0.00281411,0.00202167,-0.00167539,-0.374784,0.0581493,29,32,35,0.985168,0.00197963,74.4093,0.985168,0.000287793
13,1,-0.00652656,0.00160742,0.00126872,0.414756,0.053996,26,29,32,0.996387,0.00211126,208.173,0.996387,0.000162511
14,1,-0.00212769,-0.00215698,0.000562431,-0.901293,0.0590554,26,29,32,0.996388,0.00147896,79.2317,0.996388,0.000233347
15,1,-0.00544068,-0.00106249,0.000376378,-0.912485,0.0577368,30,33,36,0.984327,0.0021801,291.085,0.984327,0.000145803
16,1,-0.000338861,-0.0026551,0.00184142,-0.368232,0.0535806,27,30,33,0.998498,0.00227581,85.8276,0.998498,0.000236835
17,1,-0.00518238,0.00338681,0.000113671,-0.642472,0.0586292,27,30,33,0.996387,0.00293489,395.782,0.996387,0.000143341
18,1,0.00562818,0.000949841,-0.000669854,0.148785,0.0573274,30,33,36,0.984327,0.00231012,248.75,0.984327,0.000163957
19,1,0.000547952,-0.0024463,-0.000364508,-0.904491,0.0531683,27,30,33,0.99847,0.00179766,106.256,0.99847,0.000182833
20,1,-0.00645854,0.00354021,0.000152978,-0.37778,0.0582061,27,30,33,0.997566,0.0031145,512.374,0.997566,0.000138073
21,1,-0.00537038,0.00243737,0.0010653,0.408393,0.0569209,31,34,37,0.963243,0.00340274,418.687,0.963243,0.000149401
22,1,0.00471866,0.00120202,-0.000871644,1.20251,0.0527594,28,31,34,0.998441,0.00157601,125.358,0.998441,0.000182228
23,1,0.00407234,0.00166535,-0.000329121,1.19113,0.0577861,28,31,34,0.997513,0.00139563,110.408,0.997513,0.000202169
0,2,-0.000287336,-0.000327284,4.8787e-05,-0.299733,0.059832,27,30,33,0.998608,0.000324757,97.2449,0.998608,3.95366e-05
1,2,-0.000898255,0.0001397,7.98432e-05,1.53903,0.0556932,24,27,30,0.996617,0.000285648,77.8812,0.996617,1.67741e-05
2,2,-0.000555852,-0.000183584,3.23847e-05,0.219738,0.0607943,24,27,30,0.980424,0.000153224,49.8266,0.980424,3.06185e-05
3,2,0.0005699,0.000123918,3.27112e-05,-0.842217,0.0594074,27,30,33,0.99858,0.000133123,41.9404,0.99858,2.29045e-05
4,2,0.000360854,0.000298142,-0.00012992,-0.290387,0.0552646,24,27,30,0.996616,0.000322125,89.9717,0.996616,3.59679e-05
5,2,-0.00045453,0.000296755,4.08034e-06,0.477566,0.0603555,24,27,30,0.996617,0.000403256,78.4828,0.996617,1.95664e-05
6,2,0.000572129,0.000152252,3.04903e-05,-0.823376,0.0589859,28,31,34,0.998551,0.000140523,57.0802,0.998551,2.70376e-05
7,2,0.000126646,0.000218501,1.47084e-05,-0.830795,0.0548393,25,28,31,0.996616,0.000247681,41.7012,0.996616,2.52716e-05
8,2,0.000768087,-0.000300703,-3.32427e-05,-0.303978,0.0599199,25,28,31,0.996616,0.000414988,100.809,0.996616,1.53212e-05
9,2,-0.000805596,8.47399e-05,6.22488e-05,-0.564512,0.0585674,29,32,35,0.985262,0.000394757,98.9157,0.985262,1.54053e-05
10,2,0.000656617,0.000156553,-8.85492e-06,0.233131,0.0544173,25,28,31,0.996615,0.000139656,57.8414,0.996615,2.47549e-05
11,2,-0.000538104,-0.00016391,-1.62949e-05,1.25288,0.0594875,25,28,31,0.996616,0.000107279,42.433,0.996616,2.6195e-05
12,2,0.000574142,-0.000320679,-8.10955e-05,-0.299815,0.0581519,29,32,35,0.985262,0.000511134,124.565,0.985262,2.27221e-05
13,2,0.000622354,0.000213562,-6.04677e-05,0.491231,0.0539986,26,29,32,0.996615,0.000192437,84.9429,0.996615,3.24302e-05
14,2,-0.000182037,0.000227516,2.88858e-05,-0.827714,0.0590581,26,29,32,0.996615,0.000345645,54.5316,0.996615,2.38953e-05
15,2,1.82955e-05,0.000135458,5.71549e-05,-0.844725,0.0577395,30,33,36,0.984384,0.00025406,37.4699,0.984384,2.77882e-05
16,2,-0.000552813,0.000376075,2.39056e-05,-0.290543,0.0535831,27,30,33,0.998608,0.00047632,115.961,0.998608,1.99615e-05
17,2,0.000840477,-3.85095e-05,-6.25469e-05,-0.570404,0.0586319,27,30,33,0.996615,0.000297874,91.7458,0.996615,2.11199e-05
18,2,6.33658e-05,-0.000165731,-7.00236e-05,0.223737,0.05733,30,33,36,0.984384,0.000309304,53.9295,0.984384,2.91755e-05
19,2,-0.000524497,8.569e-05,2.34654e-05,-0.833165,0.0531709,27,30,33,0.99858,0.000352271,44.9289,0.99858,9.98335e-06
20,2,0.000839264,5.55864e-05,-9.36791e-05,-0.304239,0.0582088,27,30,33,0.997651,0.000239534,109.759,0.997651,3.21918e-05
21,2,0.000567657,0.00019706,1.16146e-05,0.482227,0.0569234,31,34,37,0.964271,0.000202316,99.1132,0.964271,3.36458e-05
22,2,2.91303e-07,-0.000243176,-5.77193e-05,1.28017,0.0527619,28,31,34,0.998551,0.000296516,59.771,0.998551,2.67104e-05
23,2,0.00010208,-0.000175503,-5.06537e-05,1.26316,0.0577888,28,31,34,0.997591,0.000304902,42.1498,0.997591,2.49399e-05
0,3,-1.75555e-05,-2.34519e-05,-5.92241e-07,-0.224461,0.0598341,27,30,33,0.998689,1.19052e-05,0.0379339,0.998689,2.40294e-07
1,3,2.25502e-05,-2.02502e-05,-7.02011e-06,-0.478693,0.0556944,23,26,29,0.996806,5.92867e-06,0.0326375,0.996806,7.46477e-07
2,3,-1.38113e-05,-1.99905e-05,8.91209e-06,0.293726,0.0607956,23,26,29,0.980883,8.32474e-06,0.0104073,0.980883,4.7616e-07
3,3,-2.31632e-05,-2.95782e-06,2.05862e-05,-0.773417,0.0594096,27,30,33,0.998661,9.35638e-06,0.0131644,0.998661,3.51288e-07
4,3,3.59726e-05,8.27555e-06,-1.98015e-05,-0.212647,0.0552661,24,27,30,0.996805,1.24088e-05,0.0471577,0.996805,2.71731e-07
