// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998957,8.76974,0.998875
1,individual,1,0.998278,20.6198,0.997919
2,individual,2,0.991222,6.86039,0.987343
3,shared,1,0.998907,23.6845,0.998831
4,individual,4,0.998291,40.8893,0.997925
5,individual,5,0.998278,7.17186,0.997919
6,shared,0,0.998619,22.204,0.998743
7,shared,1,0.998309,6.33976,0.997933
8,individual,8,0.998291,7.853,0.997925
9,individual,9,0.98976,100.018,0.987286
10,shared,0,0.9983,32.2316,0.99793
11,shared,1,0.998309,21.9075,0.997933
12,individual,12,0.989761,8.30956,0.987278
13,individual,13,0.998296,11.9731,0.997929
14,shared,0,0.9983,7.34697,0.99793
15,individual,15,0.989376,14.4305,0.986582
16,shared,0,0.9987,73.0346,0.998799
17,individual,17,0.998296,13.9506,0.997929
18,individual,18,0.987016,12.1421,0.985126
19,shared,1,0.998707,9.06334,0.998778
20,shared,0,0.998742,18.5555,0.998384
21,individual,21,0.983671,83.0305,0.976606
22,shared,0,0.998619,17.3705,0.998743
23,shared,1,0.998654,15.4547,0.998282
