// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0128669,0.013703,-0.0112038,-0.449002,0.063482,27,30,33,0.998381,0.0052837,68.6777,0.998381,0.000511788
1,0,-0.00426001,0.00701503,-0.00929233,1.38567,0.0590856,24,27,30,0.996505,0.00418231,23.0372,0.996505,0.000588234
2,0,-0.0197398,0.0140855,-0.00307591,0.0732659,0.0645044,24,27,30,0.980229,0.00310752,47.9117,0.980229,0.000518911
3,0,-0.00692015,-0.00824092,0.00574646,-0.978892,0.063031,27,30,33,0.998352,0.00373908,13.3232,0.998352,0.000841523
4,0,0.0200594,-0.0156848,0.00954147,-0.44587,0.0586302,24,27,30,0.996505,0.00279921,29.42,0.996505,0.000528867
5,0,0.0151051,-0.00724577,-0.00221924,0.333731,0.0640382,24,27,30,0.996505,0.00294441,8.76327,0.996505,0.000992682
6,0,-0.00830096,-0.00655406,0.00762553,-0.972614,0.0625833,28,31,34,0.998323,0.00392313,12.6851,0.998323,0.000890568
7,0,0.0186882,-0.00983542,-0.00254013,-0.975078,0.0581783,25,28,31,0.996504,0.00277625,37.3222,0.996504,0.000501206
8,0,-0.0119168,0.00630359,0.00176593,-0.450374,0.0635754,25,28,31,0.996505,0.00352179,6.98424,0.996505,0.00107176
9,0,0.0204752,-0.0108805,-0.0019555,-0.711793,0.0621388,29,32,35,0.985272,0.00369184,18.959,0.985272,0.000857076
10,0,0.00659075,-0.0115148,0.00682661,0.0777036,0.05773,25,28,31,0.996504,0.00391766,32.306,0.996504,0.000529258
11,0,-0.00922949,0.0128811,-0.00374868,1.11579,0.063116,26,29,32,0.996504,0.00402852,37.0736,0.996504,0.000555223
12,0,-0.0155691,0.015442,-0.00906525,-0.449029,0.0616975,29,32,35,0.985272,0.00536754,59.8153,0.985272,0.000572421
13,0,0.00800865,-0.0109349,0.00998434,0.338268,0.0572852,26,29,32,0.996503,0.00458129,43.4044,0.996503,0.000501211
14,0,0.0202014,-0.0113406,-0.00170236,-0.974016,0.0626599,26,29,32,0.996504,0.00326029,32.1702,0.996504,0.000629993
15,0,-0.00202153,-0.0114098,0.00230645,-0.979727,0.0612594,30,33,36,0.984464,0.00461255,16.967,0.984464,0.000794733
16,0,0.0194497,-0.0140717,0.00565865,-0.445922,0.0568439,27,30,33,0.998381,0.00270745,17.1591,0.998381,0.000712321
17,0,-0.0112011,0.00168418,0.00679438,-0.713725,0.0622072,27,30,33,0.996503,0.00402994,10.7508,0.996503,0.00097253
18,0,0.00362826,0.0105565,-0.00505194,0.0745555,0.0608245,30,33,36,0.984464,0.00487535,15.13,0.984464,0.000855351
19,0,0.0180136,-0.00537641,-0.00581122,-0.975868,0.056406,27,30,33,0.998352,0.00281847,26.1342,0.998352,0.000583453
20,0,-0.00784472,0.000810454,0.00663481,-0.450462,0.0617578,27,30,33,0.997621,0.00484186,9.91128,0.997621,0.00100966
21,0,-0.0187909,0.00617107,0.00630242,0.335252,0.0603927,31,34,37,0.96456,0.00411745,16.4398,0.96456,0.000920932
22,0,-0.0102162,0.0128301,-0.00319685,1.12485,0.0559716,28,31,34,0.998323,0.00441571,44.5767,0.998323,0.000492648
23,0,-0.0129494,0.0127063,0.000554601,1.11913,0.0613117,28,31,34,0.997575,0.00443848,53.0854,0.997575,0.00051299
0,1,0.00611505,-0.000945589,-0.00127124,-0.374022,0.0634851,27,30,33,0.99853,0.00180478,113.201,0.99853,0.000244389
1,1,0.00565227,-0.00324416,0.000236298,1.46234,0.0590883,24,27,30,0.996759,0.00234896,634.737,0.996759,0.000103125
2,1,0.00534163,-8.62457e-05,-0.000867927,0.146946,0.0645071,24,27,30,0.980795,0.00115136,112.142,0.980795,0.000200139
3,1,-0.00497742,0.000933162,0.000646466,-0.91031,0.0630341,27,30,33,0.998502,0.00235737,715.664,0.998502,9.85619e-05
4,1,-0.00460952,0.000323674,0.00138247,-0.368133,0.0586331,24,27,30,0.996759,0.00132084,68.5524,0.996759,0.000251867
5,1,0.00107329,-0.00269817,0.00110538,0.40606,0.0640411,24,27,30,0.996759,0.00226221,106.545,0.996759,0.000226208
6,1,-0.00531,0.00122752,0.000787578,-0.897649,0.0625863,28,31,34,0.998473,0.00254631,692.767,0.998473,0.000108037
7,1,-0.00336485,-0.00131358,0.000481714,-0.902981,0.0581813,25,28,31,0.996758,0.00103375,88.7782,0.996758,0.000192625
8,1,-0.00310337,0.00336731,-0.00132264,-0.376734,0.0635784,25,28,31,0.996759,0.00277369,186.084,0.996759,0.000195438
9,1,0.00166583,-0.00291251,0.000259957,-0.637821,0.0621418,29,32,35,0.985361,0.00259782,121.281,0.985361,0.000230586
10,1,-0.00582746,0.00115335,0.000872139,0.155413,0.057733,25,28,31,0.996758,0.00195512,432.225,0.996758,0.000112456
11,1,0.00564743,-0.000417302,-0.000701755,1.1847,0.063119,25,28,31,0.996758,0.00175619,351.426,0.996758,0.000127586
12,1,0.00318957,0.00155139,-0.00146265,-0.374077,0.0617005,29,32,35,0.985361,0.00178669,74.5786,0.985361,0.000291462
13,1,-0.00633264,0.00170619,0.000974427,0.414736,0.0572882,26,29,32,0.996757,0.00206071,246.443,0.996757,0.000154609
14,1,-0.0024425,-0.00174591,0.000517268,-0.900422,0.062663,26,29,32,0.996758,0.00133062,78.4985,0.996758,0.000235988
15,1,-0.00523611,-0.000740367,0.000354856,-0.911987,0.0612624,30,33,36,0.984515,0.00210004,352.039,0.984515,0.000134921
16,1,-0.000842641,-0.0021872,0.00162519,-0.368237,0.0568469,27,30,33,0.99853,0.00210631,80.4256,0.99853,0.000246306
17,1,-0.00461212,0.00311229,-3.32724e-05,-0.641656,0.0622103,27,30,33,0.996757,0.00283475,379.289,0.996757,0.00014688
18,1,0.00545961,0.000618163,-0.000596049,0.149492,0.0608274,30,33,36,0.984515,0.00224099,302.505,0.984515,0.000152772
19,1,8.18153e-05,-0.00212939,-0.000222265,-0.904558,0.056409,27,30,33,0.998502,0.00164757,99.5396,0.998502,0.000187855
20,1,-0.00596958,0.00334693,-3.14557e-05,-0.376909,0.0617608,27,30,33,0.997704,0.00304521,586.676,0.997704,0.000132659
21,1,-0.00480252,0.00235129,0.000788534,0.40907,0.0603956,31,34,37,0.965561,0.00325789,400.83,0.965561,0.00015298
22,1,0.00476228,0.000849939,-0.000765811,1.20251,0.0559746,28,31,34,0.998473,0.001503,137.95,0.998473,0.000177662
23,1,0.00415937,0.00129049,-0.000326349,1.1911,0.0613147,28,31,34,0.997651,0.00129057,117.338,0.997651,0.000198091
0,2,-0.000295377,-0.000230586,3.8402e-05,-0.298742,0.0634875,27,30,33,0.998638,0.000258243,67.139,0.998638,3.46577e-05
1,2,-0.000700016,0.000112498,4.4428e-05,1.539,0.0590897,23,26,29,0.996965,0.000242488,48.9949,0.996965,1.30288e-05
2,2,-0.000478952,-0.000125407,2.73176e-05,0.220964,0.0645085,24,27,30,0.981267,0.000118221,31.4716,0.981267,2.60672e-05
3,2,0.000449708,7.42832e-05,2.79082e-05,-0.841519,0.0630365,27,30,33,0.99861,0.000106097,24.3575,0.99861,1.84042e-05
4,2,0.000364476,0.000203305,-0.000101208,-0.290395,0.0586348,24,27,30,0.996964,0.000263559,63.0962,0.996964,3.19454e-05
5,2,-0.000296791,0.000217067,-1.43882e-05,0.478717,0.0640429,24,27,30,0.996965,0.000340862,49.2438,0.996965,1.76571e-05
6,2,0.000464829,9.33401e-05,2.62296e-05,-0.822385,0.0625888,28,31,34,0.998581,0.00010881,34.528,0.998581,2.21072e-05
7,2,0.000154753,0.000159398,1.93047e-06,-0.83091,0.0581833,25,28,31,0.996964,0.000201513,25.6517,0.996964,2.19475e-05
8,2,0.000565777,-0.000229827,-3.93237e-06,-0.302752,0.0635804,25,28,31,0.996964,0.000354463,63.6621,0.996964,1.25755e-05
9,2,-0.000613535,8.98538e-05,3.32317e-05,-0.563563,0.0621442,28,31,34,0.985435,0.000333538,60.1295,0.985435,1.14386e-05
10,2,0.000538645,0.000103744,-2.67458e-06,0.233124,0.0577351,25,28,31,0.996963,0.000107495,36.0929,0.996963,2.05706e-05
11,2,-0.000441762,-0.000111691,-1.3633e-05,1.25388,0.0631212,25,28,31,0.996964,7.84366e-05,25.5279,0.996964,2.17267e-05
12,2,0.000397149,-0.000254899,-4.67512e-05,-0.298823,0.0617029,29,32,35,0.985435,0.000425344,78.7883,0.985435,2.06702e-05
13,2,0.000541429,0.000142229,-4.0889e-05,0.4912,0.0572904,26,29,32,0.996963,0.000146365,57.7434,0.996963,2.77605e-05
