// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998944,8.04338,0.998889
1,individual,1,0.998279,29.7424,0.997919
2,individual,2,0.991223,8.50417,0.987344
3,shared,1,0.998945,30.0132,0.99886
4,individual,4,0.998291,5.51858,0.997925
5,individual,5,0.998279,17.8178,0.997919
6,shared,0,0.998636,25.6895,0.998766
7,shared,1,0.998308,6.40172,0.997933
8,individual,8,0.998291,38.8319,0.997925
9,individual,9,0.989735,20.7368,0.987284
10,shared,0,0.9983,16.8947,0.99793
11,shared,1,0.998308,12.4028,0.997933
12,individual,12,0.989742,8.14367,0.987279
13,individual,13,0.998297,14.07,0.997929
14,shared,0,0.9983,10.352,0.99793
15,individual,15,0.989429,18.6517,0.986609
16,shared,0,0.998717,8.09385,0.998821
17,individual,17,0.998297,23.9976,0.997929
18,individual,18,0.987017,13.6959,0.985127
19,shared,1,0.998725,7.30091,0.9988
20,shared,0,0.998727,39.8051,0.998395
21,individual,21,0.983671,20.9953,0.976606
22,shared,0,0.998636,12.8639,0.998766
23,shared,1,0.998694,8.70249,0.998313
