// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0137278,0.0140875,-0.010915,-0.449003,0.063482,27,30,33,0.998391,0.00513375,75.6526,0.998391,0.000492439
1,0,-0.0052269,0.00770244,-0.00941943,1.38567,0.0590856,24,27,30,0.996505,0.0041516,26.5694,0.996505,0.000555001
2,0,-0.0199176,0.0136956,-0.00250443,0.0732674,0.0645044,24,27,30,0.980229,0.00298967,44.0538,0.980229,0.000530908
3,0,-0.00577149,-0.00875485,0.0053435,-0.978887,0.063031,27,30,33,0.998363,0.00379217,13.8413,0.998363,0.000822129
4,0,0.0200195,-0.0154479,0.00900093,-0.44587,0.0586302,24,27,30,0.996505,0.00260655,24.8202,0.996505,0.000560729
5,0,0.0141715,-0.00630033,-0.00286139,0.333733,0.0640382,24,27,30,0.996505,0.00303974,8.81554,0.996505,0.000983227
6,0,-0.00713631,-0.00724325,0.00731532,-0.972615,0.0625833,28,31,34,0.998334,0.00398686,13.0611,0.998334,0.0008726
7,0,0.0186259,-0.00920304,-0.00294112,-0.975078,0.0581783,25,28,31,0.996504,0.00266609,34.4127,0.996504,0.000511526
8,0,-0.0108436,0.00528215,0.0025116,-0.450373,0.0635754,25,28,31,0.996505,0.00366676,7.20763,0.996505,0.00105312
9,0,0.0201105,-0.0100198,-0.00262423,-0.711795,0.0621388,29,32,35,0.985272,0.00360435,17.8039,0.985272,0.000869493
10,0,0.00751417,-0.011768,0.00639021,0.0777036,0.05773,25,28,31,0.996504,0.00388168,35.8107,0.996504,0.000506968
11,0,-0.0101266,0.0128821,-0.00323714,1.11578,0.063116,26,29,32,0.996504,0.00397169,41.4918,0.996504,0.000530142
12,0,-0.0162859,0.0154897,-0.00844635,-0.44903,0.0616975,29,32,35,0.985272,0.00518706,57.9589,0.985272,0.000576153
13,0,0.00894038,-0.0114098,0.00976918,0.338268,0.0572852,26,29,32,0.996503,0.00449996,49.3766,0.996503,0.000476122
14,0,0.0201299,-0.0106478,-0.00222772,-0.974015,0.0626599,26,29,32,0.996504,0.00312934,29.5997,0.996504,0.000643373
15,0,-0.00078916,-0.011605,0.00177955,-0.979722,0.0612594,30,33,36,0.984465,0.00463613,18.1826,0.984465,0.000768435
16,0,0.0191898,-0.0135243,0.00490516,-0.445922,0.0568439,27,30,33,0.998391,0.0026108,15.6502,0.998391,0.000734009
17,0,-0.0100813,0.000660242,0.00722159,-0.713723,0.0622072,27,30,33,0.996503,0.00410166,11.0831,0.996503,0.00095256
18,0,0.00235676,0.0109707,-0.00450329,0.0745546,0.0608245,30,33,36,0.984465,0.00492521,16.1189,0.984465,0.000829114
19,0,0.0176915,-0.0045644,-0.005975,-0.975868,0.056406,27,30,33,0.998363,0.00271712,24.1866,0.998363,0.000594128
20,0,-0.00662108,-0.000272022,0.0071881,-0.45046,0.0617578,27,30,33,0.997631,0.00493003,10.5722,0.997631,0.000978049
21,0,-0.0181525,0.00511614,0.00674759,0.33525,0.0603927,31,34,37,0.96456,0.00406361,15.6315,0.96456,0.000928267
22,0,-0.0110455,0.0127476,-0.00260457,1.12485,0.0559716,28,31,34,0.998334,0.00434233,49.0019,0.998334,0.000474003
23,0,-0.0137022,0.0123429,0.00106119,1.11916,0.0613117,28,31,34,0.997586,0.00432767,57.2537,0.997586,0.000496402
0,1,0.00575111,-0.000668555,-0.00129307,-0.374024,0.0634851,27,30,33,0.998542,0.00167257,104.877,0.998542,0.000246872
1,1,0.00569907,-0.00308076,0.000118774,1.46234,0.0590883,24,27,30,0.996759,0.00225282,647.877,0.996759,0.000100102
2,1,0.00501268,8.74814e-05,-0.000834244,0.146949,0.0645071,24,27,30,0.980795,0.00106988,105.058,0.980795,0.000201095
3,1,-0.00498987,0.000761472,0.000619631,-0.910301,0.0630341,27,30,33,0.998513,0.00226955,773.63,0.998513,9.29982e-05
4,1,-0.00417863,6.00464e-05,0.00140871,-0.368133,0.0586331,24,27,30,0.996759,0.00132085,68.3164,0.996759,0.000248265
5,1,0.00144937,-0.00272863,0.00099833,0.406066,0.0640411,24,27,30,0.996759,0.00226886,120.866,0.996759,0.000211863
6,1,-0.00531254,0.00103021,0.000770533,-0.897651,0.0625863,28,31,34,0.998484,0.00244509,722.554,0.998484,0.000103833
7,1,-0.00298721,-0.00139049,0.000416956,-0.902981,0.0581813,25,28,31,0.996758,0.00102664,87.6983,0.996758,0.000189772
8,1,-0.00341068,0.0033531,-0.00118802,-0.376731,0.0635784,25,28,31,0.996759,0.00273725,223.228,0.996759,0.000179404
9,1,0.00204808,-0.00284791,0.000146955,-0.637826,0.0621418,29,32,35,0.985361,0.00261952,139.142,0.985361,0.00021537
10,1,-0.00569195,0.000948544,0.000864043,0.155413,0.057733,25,28,31,0.996758,0.00183636,378.107,0.996758,0.000116077
11,1,0.00545964,-0.00024765,-0.000666422,1.18469,0.063119,25,28,31,0.996758,0.00163294,304.012,0.996758,0.00013208
12,1,0.00268366,0.00173157,-0.0013673,-0.374079,0.0617005,29,32,35,0.985361,0.00180295,75.4705,0.985361,0.000284989
13,1,-0.00611771,0.00144671,0.00101914,0.414736,0.0572882,26,29,32,0.996757,0.00191822,216.216,0.996757,0.000159246
14,1,-0.0020136,-0.00180439,0.00043827,-0.900418,0.062663,26,29,32,0.996758,0.00136168,80.2462,0.996758,0.000229469
15,1,-0.00499368,-0.000860863,0.000295802,-0.911977,0.0612624,30,33,36,0.984516,0.00194222,296.868,0.984516,0.000140779
16,1,-0.000374872,-0.00232378,0.00152518,-0.368237,0.0568469,27,30,33,0.998542,0.00215279,86.8755,0.998542,0.000235272
17,1,-0.00478976,0.00295721,8.05057e-05,-0.64165,0.0622103,27,30,33,0.996757,0.00276315,455.045,0.996757,0.000134459
18,1,0.00519566,0.000774678,-0.000525025,0.14949,0.0608274,30,33,36,0.984516,0.00207494,259.732,0.984516,0.000158318
19,1,0.000454761,-0.00206097,-0.000270335,-0.904558,0.056409,27,30,33,0.998513,0.00168622,107.529,0.998513,0.000178847
20,1,-0.006022,0.00313691,0.000110456,-0.376905,0.0617608,27,30,33,0.997716,0.00291991,604.7,0.997716,0.000128493
21,1,-0.00495629,0.00212551,0.000838374,0.409065,0.0603956,31,34,37,0.965561,0.00318366,480.816,0.965561,0.000140346
22,1,0.00440774,0.000997582,-0.000690244,1.20251,0.0559746,28,31,34,0.998484,0.00139022,127.602,0.998484,0.000179366
23,1,0.0037772,0.00136821,-0.000261372,1.19115,0.0613147,28,31,34,0.997663,0.00119646,109.996,0.997663,0.000198608
0,2,-0.000226546,-0.000231397,2.97567e-05,-0.298745,0.0634875,27,30,33,0.998651,0.000265151,61.6389,0.998651,3.25049e-05
1,2,-0.000676031,8.83977e-05,4.38339e-05,1.539,0.0590897,23,26,29,0.996965,0.000216012,44.3308,0.996965,1.36017e-05
2,2,-0.000425202,-0.000127842,2.37764e-05,0.22097,0.0645085,24,27,30,0.981267,0.000124226,28.2913,0.981267,2.50917e-05
3,2,0.000408065,7.59161e-05,2.92763e-05,-0.841502,0.0630365,27,30,33,0.998622,8.50617e-05,21.6991,0.998622,1.85857e-05
4,2,0.00029521,0.000209695,-9.12475e-05,-0.290395,0.0586348,24,27,30,0.996964,0.000267055,58.1053,0.996964,2.98978e-05
5,2,-0.000322235,0.000199369,-1.02425e-05,0.478726,0.0640429,24,27,30,0.996965,0.000322133,44.0887,0.996965,1.52153e-05
6,2,0.000415065,9.56629e-05,2.85721e-05,-0.822388,0.0625888,28,31,34,0.998593,9.23404e-05,30.8804,0.998593,2.20373e-05
7,2,0.000107734,0.000150859,2.91921e-06,-0.83091,0.0581833,25,28,31,0.996964,0.00020369,22.7962,0.996964,2.03242e-05
8,2,0.000567424,-0.000204616,-8.78001e-06,-0.302746,0.0635804,25,28,31,0.996964,0.000325991,57.1388,0.996964,1.15262e-05
9,2,-0.000594599,6.86444e-05,2.92188e-05,-0.563571,0.0621442,28,31,34,0.985435,0.000301033,54.1821,0.985435,1.1927e-05
10,2,0.000488793,0.000110245,1.11817e-06,0.233124,0.0577351,25,28,31,0.996963,9.59889e-05,32.5062,0.996963,2.04218e-05
11,2,-0.000394113,-0.000112538,-1.56528e-05,1.25386,0.0631212,25,28,31,0.996964,7.72473e-05,22.7506,0.996964,2.13125e-05
12,2,0.000426413,-0.000231255,-4.92946e-05,-0.298827,0.0617029,29,32,35,0.985435,0.00040721,71.217,0.985435,1.77375e-05
13,2,0.000475695,0.000152625,-3.34632e-05,0.4912,0.0572904,26,29,32,0.996963,0.000148885,52.5517,0.996963,2.69275e-05
14,2,-0.000120908,0.000159032,1.06465e-05,-0.826484,0.0626653,26,29,32,0.996963,0.000277982,29.6194,0.996963,1.88529e-05
15,2,1.02093e-05,8.53615e-05,4.2594e-05,-0.844026,0.0612648,30,33,36,0.984551,0.000207288,19.6964,0.984551,2.18704e-05
16,2,-0.000406171,0.000268483,4.43208e-06,-0.29055,0.0568491,26,29,32,0.998651,0.000382706,67.8329,0.998651,1.57137e-05
17,2,0.000622509,-2.7842e-05,-2.57499e-05,-0.569251,0.0622126,27,30,33,0.996963,0.00022115,51.8558,0.996963,1.71896e-05
18,2,4.91046e-05,-0.000106965,-5.07266e-05,0.224725,0.0608298,30,33,36,0.984551,0.000250967,29.2884,0.984551,2.31011e-05
