// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998944,8.7062,0.998868
1,individual,1,0.998239,19.162,0.997756
2,individual,2,0.990615,8.23143,0.986487
3,shared,1,0.998917,24.2071,0.998834
4,individual,4,0.998252,11.2745,0.997761
5,individual,5,0.998239,9.0665,0.997756
6,shared,0,0.998715,21.6673,0.998772
7,shared,1,0.998271,7.84376,0.997768
8,individual,8,0.998252,10.6073,0.997761
9,individual,9,0.989282,35.4292,0.986936
10,shared,0,0.998261,36.8127,0.997765
11,shared,1,0.998271,14.97,0.997768
12,individual,12,0.989285,8.78216,0.986931
13,individual,13,0.998258,11.6155,0.997763
14,shared,0,0.998261,11.748,0.997765
15,individual,15,0.988869,16.8097,0.986171
16,shared,0,0.998771,23.3275,0.998824
17,individual,17,0.998258,16.1831,0.997763
18,individual,18,0.986489,13.093,0.984843
19,shared,1,0.998774,10.6931,0.998801
20,shared,0,0.998692,20.058,0.998309
21,individual,21,0.982381,48.949,0.974823
22,shared,0,0.998715,28.3943,0.998772
23,shared,1,0.998621,10.9788,0.998212
