// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0127325,0.0136178,-0.011184,-0.449383,0.0598259,27,30,33,0.998343,0.00508635,73.3362,0.998343,0.000467529
1,0,-0.0045793,0.00726207,-0.00952044,1.38568,0.0556876,24,27,30,0.99611,0.00407295,26.3902,0.99611,0.000524741
2,0,-0.0190231,0.0137455,-0.00283739,0.0727962,0.0607886,24,27,30,0.979237,0.00302703,45.0553,0.979237,0.000497639
3,0,-0.00603145,-0.00856788,0.00585215,-0.979174,0.0594013,27,30,33,0.998314,0.00369987,14.3076,0.998314,0.000770304
4,0,0.0191051,-0.015139,0.00926599,-0.445867,0.0552588,24,27,30,0.996109,0.00266772,27.7553,0.996109,0.000501802
5,0,0.0139417,-0.00655953,-0.00267107,0.333287,0.0603496,24,27,30,0.99611,0.00295068,9.30813,0.99611,0.000907841
6,0,-0.00734245,-0.00693303,0.00781426,-0.972995,0.0589798,28,31,34,0.998285,0.00387128,13.6809,0.998285,0.000812941
7,0,0.0178972,-0.0094075,-0.00294115,-0.975045,0.0548335,25,28,31,0.996109,0.00274549,36.8829,0.996109,0.000472312
8,0,-0.0108096,0.00557067,0.00224124,-0.450844,0.0599139,25,28,31,0.996109,0.00349866,7.4688,0.996109,0.000975026
9,0,0.0193846,-0.0102005,-0.00242515,-0.712158,0.0585614,29,32,35,0.985057,0.00367356,19.2269,0.985057,0.000797253
10,0,0.00680442,-0.0115412,0.00681055,0.0777059,0.0544114,25,28,31,0.996108,0.00379706,34.6208,0.996108,0.000484938
11,0,-0.00935007,0.0128685,-0.00362614,1.1154,0.0594814,26,29,32,0.996109,0.0039264,38.7941,0.996109,0.000514219
12,0,-0.0152334,0.0151258,-0.00881544,-0.44941,0.058146,29,32,35,0.985057,0.00514358,57.6189,0.985057,0.000541156
13,0,0.00813444,-0.010972,0.0100109,0.338277,0.0539927,26,29,32,0.996108,0.0044252,48.335,0.996108,0.000451437
14,0,0.0193314,-0.0108439,-0.00212622,-0.974485,0.059052,26,29,32,0.996108,0.00322025,31.6915,0.996108,0.000593989
15,0,-0.00128352,-0.0115464,0.0021017,-0.980003,0.0577336,30,33,36,0.984252,0.00456974,18.4726,0.984252,0.000724788
16,0,0.0184097,-0.0133955,0.00523766,-0.445919,0.0535772,27,30,33,0.998343,0.00261508,16.8472,0.998343,0.000666856
17,0,-0.010118,0.0010641,0.00720325,-0.714166,0.0586258,27,30,33,0.996108,0.00401077,11.7662,0.996108,0.000880727
18,0,0.002808,0.0107487,-0.00495286,0.0741744,0.0573242,30,33,36,0.984252,0.00481,16.33,0.984252,0.000780435
19,0,0.0171112,-0.00486805,-0.00622353,-0.975837,0.053165,27,30,33,0.998314,0.00279452,26.4408,0.998314,0.000543933
20,0,-0.00685095,0.00018101,0.00703618,-0.45093,0.0582028,27,30,33,0.997466,0.00478416,10.9532,0.997466,0.000908924
21,0,-0.0176329,0.00546438,0.00674071,0.334888,0.0569178,31,34,37,0.962078,0.00411832,17.1499,0.962078,0.000847442
22,0,-0.0102219,0.0126448,-0.00294187,1.12485,0.0527561,28,31,34,0.998285,0.00429312,45.8685,0.998285,0.000457223
23,0,-0.0128433,0.0124748,0.00093022,1.11913,0.0577828,28,31,34,0.997419,0.00433951,54.0502,0.997419,0.000478787
0,1,0.00631893,-0.000867145,-0.00159303,-0.374729,0.0598293,27,30,33,0.998493,0.00195808,107.284,0.998493,0.000248468
1,1,0.00609173,-0.00358461,0.000197472,1.46236,0.055691,24,27,30,0.996389,0.002448,553.394,0.996389,0.000109351
2,1,0.00558037,4.70957e-05,-0.00111449,0.146071,0.0607919,24,27,30,0.979884,0.00127295,107.996,0.979884,0.000203356
3,1,-0.00546816,0.000988613,0.00084292,-0.910825,0.0594047,27,30,33,0.998465,0.00249131,630.519,0.998465,0.000106551
4,1,-0.00462296,0.000165826,0.00170772,-0.368128,0.0552622,24,27,30,0.996389,0.00146413,68.4404,0.996389,0.00025049
5,1,0.00141738,-0.00313817,0.0013057,0.405236,0.060353,24,27,30,0.996389,0.00237536,109.572,0.996389,0.000223525
6,1,-0.00579267,0.00130697,0.00101887,-0.898356,0.0589832,28,31,34,0.998435,0.00268696,602.21,0.998435,0.000115986
7,1,-0.00339487,-0.00163209,0.000583838,-0.902909,0.0548369,25,28,31,0.996388,0.00115613,87.9797,0.996388,0.000193715
8,1,-0.00353627,0.00382634,-0.00152153,-0.377608,0.0599173,25,28,31,0.996389,0.00289595,191.134,0.996389,0.000192963
9,1,0.00206055,-0.00333868,0.000239648,-0.638497,0.0585647,29,32,35,0.985168,0.00276063,123.452,0.985168,0.000228669
10,1,-0.00621031,0.00118675,0.00111574,0.155418,0.0544148,25,28,31,0.996388,0.00206802,376.537,0.996388,0.000119165
11,1,0.00604309,-0.0003551,-0.000904378,1.18399,0.0594848,25,28,31,0.996388,0.00187454,311.184,0.996388,0.000135112
