// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998953,7.76987,0.998883
1,individual,1,0.998278,20.3811,0.997919
2,individual,2,0.991222,7.43365,0.987344
3,shared,1,0.998928,25.9885,0.998846
4,individual,4,0.998291,9.47927,0.997925
5,individual,5,0.998278,7.90462,0.997919
6,shared,0,0.998629,23.4392,0.998755
7,shared,1,0.998309,6.56922,0.997933
8,individual,8,0.998291,9.75165,0.997925
9,individual,9,0.989749,35.4442,0.987285
10,shared,0,0.9983,36.3837,0.99793
11,shared,1,0.998309,14.6496,0.997933
12,individual,12,0.989754,7.41502,0.987279
13,individual,13,0.998296,10.9447,0.997929
14,shared,0,0.9983,10.6904,0.99793
15,individual,15,0.989404,15.6538,0.986596
16,shared,0,0.998709,19.3522,0.998811
17,individual,17,0.998296,16.1119,0.997929
18,individual,18,0.987017,12.4414,0.985127
19,shared,1,0.998716,8.2669,0.998789
20,shared,0,0.998737,21.1261,0.99839
21,individual,21,0.983671,47.1962,0.976606
22,shared,0,0.998629,27.1134,0.998755
23,shared,1,0.998676,10.2203,0.998298
