// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.013303,0.0139032,-0.0110661,-0.449003,0.063482,27,30,33,0.998386,0.00521013,72.3479,0.998386,0.000501374
1,0,-0.00474509,0.00736292,-0.00936159,1.38567,0.0590856,24,27,30,0.996505,0.00416839,24.7091,0.996505,0.00057162
2,0,-0.019836,0.0138965,-0.00279011,0.0732667,0.0645044,24,27,30,0.980229,0.00304872,45.9757,0.980229,0.000524763
3,0,-0.00634827,-0.00850364,0.00554752,-0.97889,0.063031,27,30,33,0.998358,0.00376624,13.5665,0.998358,0.000832071
4,0,0.0200469,-0.0155737,0.00927578,-0.44587,0.0586302,24,27,30,0.996505,0.00270195,26.9656,0.996505,0.000544955
5,0,0.0146438,-0.00677514,-0.00254341,0.333732,0.0640382,24,27,30,0.996505,0.00299201,8.78237,0.996505,0.000988296
6,0,-0.00772196,-0.00690383,0.00747486,-0.972615,0.0625833,28,31,34,0.998328,0.0039553,12.8587,0.998328,0.000881859
7,0,0.0186645,-0.00952311,-0.00274358,-0.975078,0.0581783,25,28,31,0.996504,0.00272092,35.8451,0.996504,0.000506327
8,0,-0.0113847,0.00579467,0.00214168,-0.450374,0.0635754,25,28,31,0.996505,0.00359535,7.08814,0.996505,0.00106286
9,0,0.0203027,-0.0104554,-0.00229318,-0.711794,0.0621388,29,32,35,0.985272,0.00364638,18.3636,0.985272,0.000863468
10,0,0.00705555,-0.011648,0.00661156,0.0777036,0.05773,25,28,31,0.996504,0.00390073,33.9995,0.996504,0.000518055
11,0,-0.00968249,0.0128886,-0.00349353,1.11578,0.063116,26,29,32,0.996504,0.00400135,39.2191,0.996504,0.000542542
12,0,-0.0159355,0.0154757,-0.00876109,-0.44903,0.0616975,29,32,35,0.985272,0.00527812,59.0597,0.985272,0.000573685
13,0,0.00847814,-0.011179,0.00988295,0.338268,0.0572852,26,29,32,0.996503,0.00454193,46.318,0.996503,0.000488403
14,0,0.0201745,-0.0109992,-0.001968,-0.974015,0.0626599,26,29,32,0.996504,0.00319441,30.8619,0.996504,0.000636657
15,0,-0.00140563,-0.0115153,0.00204284,-0.979724,0.0612594,30,33,36,0.984464,0.00462568,17.5457,0.984464,0.000781768
16,0,0.0193284,-0.0138054,0.00528419,-0.445922,0.0568439,27,30,33,0.998386,0.00265569,16.3656,0.998386,0.000723451
17,0,-0.010646,0.00117156,0.00701396,-0.713724,0.0622072,27,30,33,0.996503,0.00406641,10.906,0.996503,0.000962847
18,0,0.00299381,0.0107716,-0.00477984,0.0745551,0.0608245,30,33,36,0.984464,0.00490167,15.598,0.984464,0.000842482
19,0,0.017861,-0.00497212,-0.00589795,-0.975868,0.056406,27,30,33,0.998358,0.00276638,25.1312,0.998358,0.000588871
20,0,-0.00723631,0.000268175,0.00691764,-0.450461,0.0617578,27,30,33,0.997626,0.00488778,10.2243,0.997626,0.000994197
21,0,-0.0184822,0.00564626,0.00653155,0.335251,0.0603927,31,34,37,0.96456,0.00408799,16.0211,0.96456,0.000924842
22,0,-0.0106363,0.0127966,-0.00290127,1.12485,0.0559716,28,31,34,0.998328,0.0043805,46.7738,0.998328,0.000483108
23,0,-0.0133328,0.0125318,0.000810245,1.11915,0.0613117,28,31,34,0.99758,0.00438447,55.2368,0.99758,0.000504305
0,1,0.00593587,-0.000806326,-0.00128369,-0.374023,0.0634851,27,30,33,0.998536,0.00173707,108.824,0.998536,0.000245752
1,1,0.00567918,-0.00316403,0.000176953,1.46234,0.0590883,24,27,30,0.996759,0.00230169,644.728,0.996759,0.000101392
2,1,0.00517902,1.69071e-06,-0.000851716,0.146947,0.0645071,24,27,30,0.980795,0.00110917,108.423,0.980795,0.000200712
3,1,-0.00498733,0.000847068,0.000633545,-0.910305,0.0630341,27,30,33,0.998508,0.0023146,748.594,0.998508,9.55212e-05
4,1,-0.00439534,0.000190705,0.00139717,-0.368133,0.0586331,24,27,30,0.996759,0.00131891,68.3572,0.996759,0.000250185
5,1,0.00126352,-0.00271578,0.00105223,0.406063,0.0640411,24,27,30,0.996759,0.00226657,113.282,0.996759,0.00021908
6,1,-0.00531527,0.0011288,0.000779821,-0.89765,0.0625863,28,31,34,0.998478,0.00249688,711.938,0.998478,0.000105662
7,1,-0.00317667,-0.00135366,0.000449336,-0.902981,0.0581813,25,28,31,0.996758,0.00102849,88.1354,0.996758,0.000191292
8,1,-0.00326024,0.00336295,-0.00125579,-0.376732,0.0635784,25,28,31,0.996759,0.00275684,203.49,0.996759,0.000187385
9,1,0.00185979,-0.00288274,0.000202945,-0.637824,0.0621418,29,32,35,0.985361,0.00261001,129.639,0.985361,0.000223032
10,1,-0.00576309,0.00105069,0.00086897,0.155413,0.057733,25,28,31,0.996758,0.00189617,404.766,0.996758,0.000114209
11,1,0.0055566,-0.000331685,-0.000684559,1.1847,0.063119,25,28,31,0.996758,0.00169478,326.887,0.996758,0.000129824
12,1,0.00293713,0.0016441,-0.00141608,-0.374078,0.0617005,29,32,35,0.985361,0.00179232,74.9076,0.985361,0.00028839
13,1,-0.00622874,0.00157649,0.000998163,0.414736,0.0572882,26,29,32,0.996757,0.0019895,230.719,0.996757,0.000156949
14,1,-0.00222792,-0.00177718,0.000477724,-0.90042,0.062663,26,29,32,0.996758,0.00134513,79.2594,0.996758,0.000232845
15,1,-0.0051182,-0.000802213,0.00032524,-0.911982,0.0612624,30,33,36,0.984515,0.00202166,323.223,0.984515,0.000137847
16,1,-0.000607639,-0.00225826,0.00157638,-0.368237,0.0568469,27,30,33,0.998536,0.00212999,83.4547,0.998536,0.000240888
17,1,-0.00470504,0.00303675,2.44017e-05,-0.641653,0.0622103,27,30,33,0.996757,0.00280041,415.984,0.996757,0.000140505
18,1,0.00533119,0.000698107,-0.000560699,0.149491,0.0608274,30,33,36,0.984515,0.00215832,280.199,0.984515,0.000155556
19,1,0.000269915,-0.00209687,-0.000246959,-0.904558,0.056409,27,30,33,0.998508,0.00166724,103.277,0.998508,0.000183432
20,1,-0.00600051,0.00324395,4.04524e-05,-0.376907,0.0617608,27,30,33,0.99771,0.00298392,599.489,0.99771,0.000130255
21,1,-0.00488434,0.00223974,0.00081487,0.409067,0.0603956,31,34,37,0.965561,0.0032228,439.859,0.965561,0.000146458
22,1,0.00458729,0.000925555,-0.000728357,1.20251,0.0559746,28,31,34,0.998478,0.00144516,132.504,0.998478,0.000178609
23,1,0.00396987,0.00133124,-0.000293678,1.19113,0.0613147,28,31,34,0.997657,0.00124138,113.453,0.997657,0.000198468
0,2,-0.000260596,-0.000231292,3.40352e-05,-0.298743,0.0634875,27,30,33,0.998644,0.000261899,64.3801,0.998644,3.35998e-05
1,2,-0.000688508,0.000100357,4.42139e-05,1.539,0.0590897,23,26,29,0.996965,0.00022917,46.62,0.996965,1.33123e-05
2,2,-0.000452004,-0.000126811,2.55239e-05,0.220967,0.0645085,24,27,30,0.981267,0.000121149,29.8608,0.981267,2.55951e-05
3,2,0.000429028,7.52573e-05,2.86183e-05,-0.84151,0.0630365,27,30,33,0.998616,9.50969e-05,23.0057,0.998616,1.85182e-05
4,2,0.000329489,0.000206831,-9.6223e-05,-0.290395,0.0586348,24,27,30,0.996964,0.000265528,60.5982,0.996964,3.09336e-05
5,2,-0.000310151,0.000208327,-1.22268e-05,0.478721,0.0640429,24,27,30,0.996965,0.000331679,46.6315,0.996965,1.64147e-05
6,2,0.000440049,9.46915e-05,2.74408e-05,-0.822386,0.0625888,28,31,34,0.998587,9.97539e-05,32.673,0.998587,2.20986e-05
7,2,0.000130919,0.000155219,2.46035e-06,-0.83091,0.0581833,25,28,31,0.996964,0.000202804,24.2038,0.996964,2.11432e-05
8,2,0.000567313,-0.000217274,-6.48502e-06,-0.302749,0.0635804,25,28,31,0.996964,0.00034033,60.3403,0.996964,1.19832e-05
9,2,-0.000604746,7.90971e-05,3.12727e-05,-0.563567,0.0621442,28,31,34,0.985435,0.000317379,57.1041,0.985435,1.16386e-05
10,2,0.000513834,0.00010721,-7.53132e-07,0.233124,0.0577351,25,28,31,0.996963,0.000101101,34.271,0.996963,2.05156e-05
11,2,-0.000417959,-0.000112278,-1.46691e-05,1.25387,0.0631212,25,28,31,0.996964,7.71457e-05,24.1163,0.996964,2.15392e-05
12,2,0.000412648,-0.000243154,-4.81474e-05,-0.298825,0.0617029,29,32,35,0.985435,0.000416646,74.9801,0.985435,1.91817e-05
13,2,0.000508533,0.000147721,-3.71634e-05,0.4912,0.0572904,26,29,32,0.996963,0.000147167,55.1108,0.996963,2.73669e-05
14,2,-0.000102491,0.000165895,1.05708e-05,-0.826487,0.0626653,26,29,32,0.996963,0.000281702,31.4224,0.996963,2.00309e-05
15,2,3.33939e-05,9.0715e-05,4.33189e-05,-0.844034,0.0612648,30,33,36,0.984551,0.000202657,20.9524,0.984551,2.28051e-05
