// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998948,9.2141,0.998863
1,individual,1,0.998234,19.8748,0.99783
2,individual,2,0.990913,7.16237,0.986916
3,shared,1,0.998895,22.7718,0.998819
4,individual,4,0.998248,36.5315,0.997836
5,individual,5,0.998234,7.90092,0.99783
6,shared,0,0.998629,21.3079,0.998738
7,shared,1,0.998267,6.72372,0.997844
8,individual,8,0.998248,8.3201,0.997836
9,individual,9,0.989528,95.2449,0.98711
10,shared,0,0.998257,33.0194,0.99784
11,shared,1,0.998267,22.2076,0.997844
12,individual,12,0.989528,8.95027,0.987103
13,individual,13,0.998253,12.2675,0.997839
14,shared,0,0.998257,7.67076,0.99784
15,individual,15,0.989113,14.7871,0.986371
16,shared,0,0.998701,77.5277,0.998792
17,individual,17,0.998253,14.0055,0.997839
18,individual,18,0.986753,12.3924,0.984982
19,shared,1,0.998707,9.83957,0.99877
20,shared,0,0.99872,17.9531,0.998345
21,individual,21,0.983041,82.5547,0.975732
22,shared,0,0.998629,17.9253,0.998738
23,shared,1,0.998627,15.9241,0.998241
