// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998936,8.51458,0.998877
1,individual,1,0.998235,30.7575,0.99783
2,individual,2,0.990913,9.18295,0.986916
3,shared,1,0.998934,29.0276,0.998848
4,individual,4,0.998248,6.35806,0.997836
5,individual,5,0.998235,18.5651,0.99783
6,shared,0,0.998648,24.7246,0.998761
7,shared,1,0.998266,6.82229,0.997843
8,individual,8,0.998248,39.4402,0.997836
9,individual,9,0.989504,22.6784,0.987108
10,shared,0,0.998258,16.9337,0.99784
11,shared,1,0.998266,12.5205,0.997843
12,individual,12,0.989511,8.72858,0.987104
13,individual,13,0.998254,14.6389,0.99784
14,shared,0,0.998258,11.6608,0.99784
15,individual,15,0.989165,19.4358,0.986397
16,shared,0,0.998719,9.3358,0.998815
17,individual,17,0.998254,24.1176,0.99784
18,individual,18,0.986754,14.0713,0.984984
19,shared,1,0.998726,8.07883,0.998793
20,shared,0,0.998706,40.1899,0.998356
21,individual,21,0.983041,21.0643,0.975732
22,shared,0,0.998648,13.29,0.998761
23,shared,1,0.998668,8.99562,0.998272
