// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0134393,0.0139551,-0.0109863,-0.449187,0.0616536,27,30,33,0.998369,0.00507613,75.8539,0.998369,0.000476667
1,0,-0.00513651,0.0076561,-0.00951165,1.38567,0.0573863,24,27,30,0.996315,0.00410643,27.4297,0.996315,0.000532547
2,0,-0.0195196,0.0136352,-0.00252551,0.0730414,0.0626462,24,27,30,0.979754,0.002984,43.6994,0.979754,0.000517183
3,0,-0.00562585,-0.00879735,0.00549622,-0.979024,0.0612159,27,30,33,0.998341,0.00376091,14.2092,0.998341,0.000791991
4,0,0.0195565,-0.0152446,0.00900633,-0.445869,0.0569442,24,27,30,0.996314,0.00259288,25.1776,0.996314,0.000538649
5,0,0.0138356,-0.00620176,-0.00293198,0.33352,0.0621936,24,27,30,0.996315,0.00301991,9.07924,0.996315,0.000943329
6,0,-0.00696053,-0.00726515,0.00749056,-0.972799,0.0607813,28,31,34,0.998311,0.00394592,13.4599,0.998311,0.000838937
7,0,0.0182526,-0.00915616,-0.00304848,-0.975062,0.0565056,25,28,31,0.996313,0.00268214,34.9581,0.996313,0.000494294
8,0,-0.0105712,0.00517953,0.00256626,-0.450599,0.0617444,25,28,31,0.996314,0.00361989,7.40003,0.996314,0.0010098
9,0,0.0196637,-0.00990464,-0.00269747,-0.711971,0.0603498,29,32,35,0.985171,0.00362288,18.2381,0.985171,0.00083607
10,0,0.00738373,-0.0117267,0.00649461,0.0777045,0.0560704,25,28,31,0.996313,0.00383325,36.0275,0.996313,0.00049151
11,0,-0.0099583,0.0128866,-0.00330067,1.1156,0.0612984,26,29,32,0.996313,0.00393845,41.1593,0.996313,0.000517087
12,0,-0.0159339,0.0153277,-0.00848161,-0.449214,0.0599214,29,32,35,0.985171,0.0051259,57.1399,0.985171,0.000560503
13,0,0.00876281,-0.0113145,0.00984496,0.338272,0.0556386,26,29,32,0.996312,0.00444463,50.2755,0.996312,0.000458738
14,0,0.0197191,-0.0105823,-0.00231505,-0.97424,0.0608557,26,29,32,0.996313,0.00314709,30.0466,0.996313,0.000621704
