// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998944,8.2082,0.99887
1,individual,1,0.998235,19.6845,0.99783
2,individual,2,0.990913,7.80989,0.986916
3,shared,1,0.998916,25.0258,0.998834
4,individual,4,0.998248,10.3948,0.997836
5,individual,5,0.998235,8.42055,0.99783
6,shared,0,0.998641,22.4715,0.99875
7,shared,1,0.998266,7.14358,0.997844
8,individual,8,0.998248,10.1026,0.997836
9,individual,9,0.989518,35.5778,0.98711
10,shared,0,0.998257,36.5945,0.99784
11,shared,1,0.998266,14.7891,0.997844
12,individual,12,0.989521,8.0206,0.987104
13,individual,13,0.998254,11.2506,0.997839
14,shared,0,0.998257,11.2367,0.99784
15,individual,15,0.989141,16.2001,0.986384
16,shared,0,0.998711,21.083,0.998804
17,individual,17,0.998254,16.0587,0.997839
18,individual,18,0.986753,12.7383,0.984983
19,shared,1,0.998717,9.3037,0.998782
20,shared,0,0.998715,20.4977,0.998351
21,individual,21,0.983041,48.0559,0.975732
22,shared,0,0.998641,27.7116,0.99875
23,shared,1,0.998649,10.564,0.998257
